# File: NREL_offshore_energy.csv
# Title: Offshore Wind Resource Potential by Country from NREL
# Units: PWh
# Comments: distance -  near =  0-50 miles; transitional = 50-100 miles; far = 100-5000 miles
# Source: Eurek et. al (2017); https://doi.org/10.1016/j.eneco.2016.11.015; raw data at https://catalog.data.gov/dataset/global-cfdda-based-onshore-and-offshore-wind-potential-supply-curves-by-country-class-and--912c6
# Column types: cccnnnnnnnnnn
#  ----------
IAM_country,depth_class,distance_to_shore,c1,c2,c3,c4,c5,c6,c7,c8,c9,total
Albania,shallow,near,0,0,0,0,0,0,0,0,0,0
Albania,transitional,near,0,3.74E-05,0.000755115,0,0,0,0,0,0,0.000792538
Albania,deep,near,0,0.03942722,0.006835775,0,0,0,0,0,0,0.046262996
Algeria,shallow,near,0,0,0,0,0,0,0,0,0,0
Algeria,transitional,near,0,0.000321722,0,0,0,0,0,0,0,0.000321722
Algeria,deep,near,0,0.039282557,0.02488157,0.00018641,0,0,0,0,0,0.064350537
Angola,shallow,near,0.00483028,0,3.96E-05,0,0,0,0,0,0,0.004869889
Angola,transitional,near,0.01362975,0,0.000594149,0,5.58E-05,0,0,0,0,0.014279686
Angola,deep,near,0.056555285,0,0.01196221,0.012919547,0.001617804,0,0,0,0,0.083054846
Argentina,shallow,near,0,0.004233201,0.030982679,0.158208635,0.126136905,0.00249132,0.038294471,0.072781448,0.041864235,0.474992895
Argentina,transitional,near,0,0,0.000227226,0.078735861,0.099813714,0.075355055,0.123033389,0.08113259,0.109837638,0.568135472
Argentina,deep,near,0,0,0.003635609,0.072553073,0.07580302,0.146942977,0.207623185,0.062536901,0.192727601,0.761822367
Australia,shallow,near,0.160058427,0.363083509,0.677790876,0.561390813,0.589003172,0.37466316,0.029615,0.000382355,0,2.755987312
Australia,transitional,near,0.105604617,0.049466792,0.18513382,0.271847397,0.712036213,0.488166213,0.05974335,0.001216779,0,1.87321518
Australia,deep,near,0.114355367,0.091677478,0.117601445,0.32015576,0.904885455,1.221146703,0.210770672,0.040167619,0,3.020760499
Bahamas,shallow,near,0.017640093,0.130541662,0.219395943,0.058310396,0,0,0,0,0,0.425888093
Bahamas,transitional,near,2.85E-05,0.007137038,0.006373252,0.002954564,0,0,0,0,0,0.016493359
Bahamas,deep,near,0.003199873,0.079582532,0.205907669,0.045618298,0,0,0,0,0,0.334308371
Bahrain,shallow,near,0.020327421,0.001140562,0,0,0,0,0,0,0,0.021467983
Bahrain,transitional,near,0,0,0,0,0,0,0,0,0,0
Bahrain,deep,near,0,0,0,0,0,0,0,0,0,0
Bangladesh,shallow,near,0.063978849,0.021620793,0,0,0,0,0,0,0,0.085599643
Bangladesh,transitional,near,0.015578861,0.006925067,0,0,0,0,0,0,0,0.022503928
Bangladesh,deep,near,0.000967751,0.000690949,0,0,0,0,0,0,0,0.0016587
Barbados,shallow,near,0,0,0,0,0,0,0,0,0,0
Barbados,transitional,near,0,0,0,0,0,0,0,0,0,0
Barbados,deep,near,0,0,0,5.09E-05,0.009376555,0.012051056,0,0,0,0.021478556
Belgium,shallow,near,0,0,0,0,0.014723212,0.01094923,0,0,0,0.025672442
Belgium,transitional,near,0,0,0,0,0,0,0,0,0,0
Belgium,deep,near,0,0,0,0,0,0,0,0,0,0
Belize,shallow,near,0.003260291,0.000595316,0.000797198,0,0,0,0,0,0,0.004652805
Belize,transitional,near,4.52E-05,3.51E-05,0.000251747,0,0,0,0,0,0,0.000332049
Belize,deep,near,0.001120976,0.006313387,0.010794749,0.00660775,0,0,0,0,0,0.024836861
Benin,shallow,near,0.000530105,0,0,0,0,0,0,0,0,0.000530105
Benin,transitional,near,0.004649149,0,0,0,0,0,0,0,0,0.004649149
Benin,deep,near,0.007319748,0,0,0,0,0,0,0,0,0.007319748
Brazil,shallow,near,0.222007542,0.226486485,0.126028524,0.207670036,0.226108314,0.026120219,0,0,0,1.03442112
Brazil,transitional,near,0.077279557,0.125708841,0.065233111,0.075234395,0.065104122,0.006880068,0,0,0,0.415440094
Brazil,deep,near,0.040588518,0.085949997,0.09373371,0.035960195,0.036102701,0.007294362,0,0,0,0.299629484
Bulgaria,shallow,near,0,0.004443504,0.003943767,0,0,0,0,0,0,0.008387271
Bulgaria,transitional,near,0,0.007701411,0.01865189,0,0,0,0,0,0,0.026353301
Bulgaria,deep,near,0,0.003846566,0.034849963,0,0,0,0,0,0,0.038696529
Cambodia,shallow,near,0.063404861,0.007667766,0,0,0,0,0,0,0,0.071072627
Cambodia,transitional,near,0.011153121,0.023586801,0,0,0,0,0,0,0,0.034739922
Cambodia,deep,near,0.00043352,0.002768943,0,0,0,0,0,0,0,0.003202462
Cameroon,shallow,near,0.006187143,0,0,0,0,0,0,0,0,0.006187143
Cameroon,transitional,near,0.007591458,0,0,0,0,0,0,0,0,0.007591458
Cameroon,deep,near,0.005968276,0,0,0,0,0,0,0,0,0.005968276
Canada,shallow,near,0,0.003112912,0.093197917,0.54765013,0.489091714,0.428404557,0.032269576,0.002958526,0,1.596685334
Canada,transitional,near,0,0.001548027,0.046493542,0.484961364,0.646592131,0.746992241,0.372896382,0.018290433,0,2.31777412
Canada,deep,near,0.002652103,0.029708072,0.584695039,1.56724667,2.84701057,2.549403925,1.615645582,0.562454997,0,9.758816958
Cape Verde,shallow,near,0,0,0.000774965,4.87E-05,0,0,0,0,0,0.000823671
Cape Verde,transitional,near,0,0,0.002851867,0.000242338,5.46E-05,0,0,0,0,0.003148782
Cape Verde,deep,near,0,0,0.025615982,0.013449328,0.005335445,0,0,0,0,0.044400754
Chile,shallow,near,0.000210721,0.002041366,0.000623138,0.000729107,0.000163237,0.000775891,0.000364196,0.04964273,0.038380945,0.09293133
Chile,transitional,near,0.000221237,0.002725559,0.005102063,0.002829251,0.003177869,0.011941171,0.000876664,0.015464645,0.092332571,0.134671029
Chile,deep,near,0.039720232,0.01887628,0.159196313,0.182305265,0.132809743,0.146112523,0.095286108,0.096306724,0.598227283,1.46884047
China,shallow,near,0,0.068256472,0.587824331,0.541760665,0.126718252,0.053539927,0.009206424,0,0,1.387306071
China,transitional,near,0,0.013372064,0.078746927,0.334819452,0.311673623,0.055375901,0.125752683,0,0,0.91974065
China,deep,near,0,0.000180359,0.009259155,0.038926295,0.123843478,0.019657095,0.05420026,0,0,0.246066641
Colombia,shallow,near,0.008624738,0,0.003400656,0,0.000965872,0.025265554,0.009179897,0.000223249,0,0.047659965
Colombia,transitional,near,0.016254386,0,0.004015232,0,0.004668381,0.020847635,0.013309408,0.002976473,0,0.062071515
Colombia,deep,near,0.057662664,0.005136029,0.006760339,0,0.00842455,0.027054682,0.079583991,0.052732092,0.034132923,0.27148727
Comoros,shallow,near,0,0,0,0,0,0,0,0,0,0
Comoros,transitional,near,9.77E-05,0,0,0,0,0,0,0,0,9.77E-05
Comoros,deep,near,0.003558834,0,0,0,0,0,0,0,0,0.003558834
Congo,shallow,near,0.000765057,0,0,0,0,0,0,0,0,0.000765057
Congo,transitional,near,0.00140842,0,0,0,0,0,0,0,0,0.00140842
Congo,deep,near,0.002927676,0,0,0,0,0,0,0,0,0.002927676
Costa Rica,shallow,near,0,0,0,0,0,0.000240541,0,0,0,0.000240541
Costa Rica,transitional,near,0.000921236,0,0,0.000154829,0,0.000420947,0,0,0,0.001497013
Costa Rica,deep,near,0.028906959,0,0.006304924,0.017598921,0.02125543,0.012739701,0,0,0,0.086805936
Cote dIvoire,shallow,near,0.001517646,0,0,0,0,0,0,0,0,0.001517646
Cote dIvoire,transitional,near,0.006439817,0,0,0,0,0,0,0,0,0.006439817
Cote dIvoire,deep,near,0.023017442,0,0,0,0,0,0,0,0,0.023017442
Croatia,shallow,near,0.003252077,0.000288378,0,0,0,0,0,0,0,0.003540455
Croatia,transitional,near,0.013811367,0.02095779,0.000920751,0,0,0,0,0,0,0.035689909
Croatia,deep,near,0,0.139895355,0.036453797,0,0,0,0,0,0,0.176349151
Cuba,shallow,near,0.000811739,0.073800606,0.031467932,0.009248222,0,0,0,0,0,0.115328499
Cuba,transitional,near,0,0.003801797,0.000417987,0.000933353,0,0,0,0,0,0.005153137
Cuba,deep,near,0.000967842,0.029762794,0.093659082,0.024209868,0,0,0,0,0,0.148599586
Cyprus,shallow,near,0,0,0,0,0,0,0,0,0,0
Cyprus,transitional,near,0,0,0,0,0,0,0,0,0,0
Cyprus,deep,near,0.055975789,0.017074938,0,0,0,0,0,0,0,0.073050727
