# File: A54.globaltranTech_shrwt.csv
# Title: Transportation technology default shareweights
# Units: Unitless
# Column types: cccnnnnnnnnc
# ----------
supplysector,tranSubsector,tranTechnology,1971,2010,2015,2020,2025,2030,2050,2100,sce
trn_aviation_intl,International Aviation,Liquids,1,1,1,1,1,1,1,1,CORE
trn_freight,Domestic Ship,Liquids,1,1,1,1,1,1,1,1,CORE
trn_freight,Freight Rail,Coal,1,1,0,0,0,0,0,0,CORE
trn_freight,Freight Rail,Electric,1,1,1,1,1,1,1,1,CORE
trn_freight,Freight Rail,Liquids,1,1,1,1,1,1,1,1,CORE
trn_freight_road,3W Rural,Liquids,1,1,1,1,1,1,1,1,CORE
trn_freight_road,3W Rural,NG,0,0,1,1,1,1,1,1,CORE
trn_freight_road,Truck,Liquids,1,1,1,1,1,1,1,1,CORE
trn_freight_road,Truck,NG,0,0,1,1,1,1,1,1,CORE
trn_freight_road,Truck (>12t),Liquids,1,1,1,1,1,1,1,1,CORE
trn_freight_road,Truck (>12t),NG,0,0,1,1,1,1,1,1,CORE
trn_freight_road,Truck (>14t),Liquids,1,1,1,1,1,1,1,1,CORE
trn_freight_road,Truck (>14t),NG,0,0,1,1,1,1,1,1,CORE
trn_freight_road,Truck (>15t),Liquids,1,1,1,1,1,1,1,1,CORE
trn_freight_road,Truck (>15t),NG,0,0,1,1,1,1,1,1,CORE
trn_freight_road,Truck (>32t),Liquids,1,1,1,1,1,1,1,1,CORE
trn_freight_road,Truck (>32t),NG,0,0,1,1,1,1,1,1,CORE
trn_freight_road,Truck (0-1t),Liquids,1,1,1,1,1,1,1,1,CORE
trn_freight_road,Truck (0-1t),NG,0,0,1,1,1,1,1,1,CORE
trn_freight_road,Truck (0-2.7t),Liquids,1,1,1,1,1,1,1,1,CORE
trn_freight_road,Truck (0-2.7t),NG,0,0,1,1,1,1,1,1,CORE
trn_freight_road,Truck (0-2t),Liquids,1,1,1,1,1,1,1,1,CORE
trn_freight_road,Truck (0-2t),NG,0,0,1,1,1,1,1,1,CORE
trn_freight_road,Truck (0-3.5t),Liquids,1,1,1,1,1,1,1,1,CORE
trn_freight_road,Truck (0-3.5t),NG,0,0,1,1,1,1,1,1,CORE
trn_freight_road,Truck (0-4.5t),Liquids,1,1,1,1,1,1,1,1,CORE
trn_freight_road,Truck (0-4.5t),NG,0,0,1,1,1,1,1,1,CORE
trn_freight_road,Truck (0-6t),Liquids,1,1,1,1,1,1,1,1,CORE
trn_freight_road,Truck (0-6t),NG,0,0,1,1,1,1,1,1,CORE
trn_freight_road,Truck (1-6t),Liquids,1,1,1,1,1,1,1,1,CORE
trn_freight_road,Truck (1-6t),NG,0,0,1,1,1,1,1,1,CORE
trn_freight_road,Truck (16-32t),Liquids,1,1,1,1,1,1,1,1,CORE
