# File: A25.globaltech_cost.csv
# Title: Hydrogen non-energy costs
# Units: 1975$/GJ
# Comments: Source: NREL HDSAM v4.1 for transmission distribution and dispensing technologies.
# Column types: ccccnnnnnnnnnnnnnnnnnn
# ----------
supplysector,subsector,technology,minicam.non.energy.input,1971,final-calibration-year,initial-future-year,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
H2 pipeline,H2 pipeline,H2 pipeline,non-energy,2.542390844,2.542390844,2.542390844,2.542390844,2.542390844,2.542390844,2.542390844,2.542390844,2.542390844,2.542390844,2.542390844,2.542390844,2.542390844,2.542390844,2.542390844,2.542390844,2.542390844,2.542390844
H2 liquid truck,H2 liquid truck,H2 liquid truck,non-energy,3.394714401,3.394714401,3.394714401,3.394714401,3.394714401,3.394714401,3.394714401,3.394714401,3.394714401,3.394714401,3.394714401,3.394714401,3.394714401,3.394714401,3.394714401,3.394714401,3.394714401,3.394714401
H2 retail delivery,H2 retail delivery,H2 retail delivery,non-energy,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25
H2 LDV,H2 delivery,H2 pipeline,non-energy,6.614939131,6.614939131,6.614939131,6.614939131,6.510340577,6.407395984,6.306079201,6.206364486,6.108226508,6.011640334,5.916581426,5.823025635,5.730949192,5.640328706,5.551141154,5.463363877,5.376974577,5.291951305
H2 LDV,H2 delivery,H2 liquid truck,non-energy,5.491672769,5.491672769,5.491672769,5.491672769,5.450498932,5.409633797,5.369075049,5.328820389,5.28886754,5.249214236,5.209858234,5.170797303,5.132029232,5.093551825,5.055362902,5.0174603,4.979841874,4.942505492
H2 LDV,onsite production,natural gas steam reforming,compression and storage,6.614939131,6.614939131,6.614939131,6.614939131,6.510340577,6.407395984,6.306079201,6.206364486,6.108226508,6.011640334,5.916581426,5.823025635,5.730949192,5.640328706,5.551141154,5.463363877,5.376974577,5.291951305
H2 LDV,onsite production,electrolysis,compression and storage,6.614939131,6.614939131,6.614939131,6.614939131,6.510340577,6.407395984,6.306079201,6.206364486,6.108226508,6.011640334,5.916581426,5.823025635,5.730949192,5.640328706,5.551141154,5.463363877,5.376974577,5.291951305
H2 MHDV,H2 delivery,H2 pipeline,non-energy,2.470105123,2.470105123,2.470105123,2.470105123,2.431046649,2.392605787,2.354772769,2.317537986,2.280891976,2.244825431,2.209329186,2.174394226,2.140011673,2.106172794,2.072868991,2.040091803,2.007832904,1.976084098
H2 MHDV,H2 delivery,H2 liquid truck,non-energy,6.272167026,6.272167026,6.272167026,6.272167026,6.225141431,6.178468411,6.132145322,6.086169541,6.040538463,5.995249504,5.9503001,5.905687704,5.861409789,5.817463848,5.773847392,5.730557951,5.687593072,5.644950323
H2 MHDV,onsite production,natural gas steam reforming,compression and storage,2.470105123,2.470105123,2.470105123,2.470105123,2.431046649,2.392605787,2.354772769,2.317537986,2.280891976,2.244825431,2.209329186,2.174394226,2.140011673,2.106172794,2.072868991,2.040091803,2.007832904,1.976084098
H2 MHDV,onsite production,electrolysis,compression and storage,2.470105123,2.470105123,2.470105123,2.470105123,2.431046649,2.392605787,2.354772769,2.317537986,2.280891976,2.244825431,2.209329186,2.174394226,2.140011673,2.106172794,2.072868991,2.040091803,2.007832904,1.976084098
LH2,H2 delivery,H2 pipeline,liquefier,3.125403981,3.125403981,3.125403981,3.125403981,3.061836286,2.999561496,2.938553315,2.878785981,2.820234257,2.762873419,2.706679245,2.651628006,2.597696455,2.544861821,2.493101792,2.442394512,2.392718568,2.344052986
LH2,onsite production,natural gas steam reforming,liquefier,3.125403981,3.125403981,3.125403981,3.125403981,3.061836286,2.999561496,2.938553315,2.878785981,2.820234257,2.762873419,2.706679245,2.651628006,2.597696455,2.544861821,2.493101792,2.442394512,2.392718568,2.344052986
LH2,onsite production,electrolysis,liquefier,3.125403981,3.125403981,3.125403981,3.125403981,3.061836286,2.999561496,2.938553315,2.878785981,2.820234257,2.762873419,2.706679245,2.651628006,2.597696455,2.544861821,2.493101792,2.442394512,2.392718568,2.344052986
