# File: A323.globaltech_shrwt.csv
# Title: Iron and steel default shareweights
# Units: Unitless
# Column types: cccnnnnnn
# ----------
supplysector,subsector,technology,1971,final-calibration-year,initial-future-year,2030,2050,2100
iron and steel,BLASTFUR,BLASTFUR,1,1,1,1,1,1
iron and steel,BLASTFUR,BLASTFUR CCS,0,0,0,0.2,1,1
iron and steel,BLASTFUR,Biomass-based,0,0,0,0.1,0.2,0.2
iron and steel,EAF with DRI,EAF with DRI,1,1,1,1,1,1
iron and steel,EAF with DRI,EAF with DRI CCS,0,0,0,0.2,1,1
iron and steel,EAF with DRI,Hydrogen-based DRI,0,0,0,0.1,0.2,0.2
iron and steel,EAF with scrap,EAF with scrap,1,1,1,1,1,1
iron and steel,BLASTFUR,BLASTFUR with hydrogen,0,0,0,0.1,0.2,0.2
iron and steel,BLASTFUR,BLASTFUR CCS with hydrogen,0,0,0,0,0,0
