# File: UCD_trn_data_SSP3.csv
# Title: SSP3 UCD transportation database
# Units: Various
# Description: UC Davis transportation database for SSP3
# Source: Mishra et al. 2013
# Column types: ccccccccnnnnnnnnnnnnnnnnnnnn 
# ----------
UCD_region,UCD_sector,mode,size.class,UCD_technology,UCD_fuel,variable,unit,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
Africa,Passenger,Air Domestic,All,Liquids,Liquids,CAPEX,2005$/vkt,5.0155,4.893233333,4.770966667,4.6487,4.591133333,4.533566667,4.476,4.521366667,4.566733333,4.6121,4.6121,4.6121,4.6121,4.6121,4.6121,4.6121,4.6121,4.6121,4.6121,4.6121
Africa,Passenger,Air International,All,Liquids,Liquids,CAPEX,2005$/vkt,8.681,8.4694,8.2578,8.0462,7.946533333,7.846866667,7.7472,7.825766667,7.904333333,7.9829,7.9829,7.9829,7.9829,7.9829,7.9829,7.9829,7.9829,7.9829,7.9829,7.9829
Australia_NZ,Passenger,Air Domestic,All,Liquids,Liquids,CAPEX,2005$/vkt,4.9221,4.8021,4.6821,4.5621,4.5056,4.4491,4.3926,4.437166667,4.481733333,4.5263,4.5263,4.5263,4.5263,4.5263,4.5263,4.5263,4.5263,4.5263,4.5263,4.5263
Australia_NZ,Passenger,Air International,All,Liquids,Liquids,CAPEX,2005$/vkt,9.0112,8.791533333,8.571866667,8.3522,8.248766667,8.145333333,8.0419,8.123466667,8.205033333,8.2866,8.2866,8.2866,8.2866,8.2866,8.2866,8.2866,8.2866,8.2866,8.2866,8.2866
Canada,Passenger,Air Domestic,All,Liquids,Liquids,CAPEX,2005$/vkt,5.0469,4.947666667,4.848433333,4.7492,4.713533333,4.677866667,4.6422,4.6893,4.7364,4.7835,4.7835,4.7835,4.7835,4.7835,4.7835,4.7835,4.7835,4.7835,4.7835,4.7835
Canada,Passenger,Air International,All,Liquids,Liquids,CAPEX,2005$/vkt,9.3831,9.1986,9.0141,8.8296,8.7633,8.697,8.6307,8.718233333,8.805766667,8.8933,8.8933,8.8933,8.8933,8.8933,8.8933,8.8933,8.8933,8.8933,8.8933,8.8933
China,Passenger,Air Domestic,All,Liquids,Liquids,CAPEX,2005$/vkt,4.9221,4.8021,4.6821,4.5621,4.5056,4.4491,4.3926,4.437166667,4.481733333,4.5263,4.5263,4.5263,4.5263,4.5263,4.5263,4.5263,4.5263,4.5263,4.5263,4.5263
China,Passenger,Air International,All,Liquids,Liquids,CAPEX,2005$/vkt,9.0112,8.791533333,8.571866667,8.3522,8.248766667,8.145333333,8.0419,8.123466667,8.205033333,8.2866,8.2866,8.2866,8.2866,8.2866,8.2866,8.2866,8.2866,8.2866,8.2866,8.2866
Eastern Europe,Passenger,Air Domestic,All,Liquids,Liquids,CAPEX,2005$/vkt,4.8774,4.758533333,4.639666667,4.5208,4.4648,4.4088,4.3528,4.396933333,4.441066667,4.4852,4.4852,4.4852,4.4852,4.4852,4.4852,4.4852,4.4852,4.4852,4.4852,4.4852
Eastern Europe,Passenger,Air International,All,Liquids,Liquids,CAPEX,2005$/vkt,9.0329,8.8127,8.5925,8.3723,8.268633333,8.164966667,8.0613,8.143033333,8.224766667,8.3065,8.3065,8.3065,8.3065,8.3065,8.3065,8.3065,8.3065,8.3065,8.3065,8.3065
Former Soviet Union,Passenger,Air Domestic,All,Liquids,Liquids,CAPEX,2005$/vkt,4.8774,4.758533333,4.639666667,4.5208,4.4648,4.4088,4.3528,4.396933333,4.441066667,4.4852,4.4852,4.4852,4.4852,4.4852,4.4852,4.4852,4.4852,4.4852,4.4852,4.4852
Former Soviet Union,Passenger,Air International,All,Liquids,Liquids,CAPEX,2005$/vkt,9.0329,8.8127,8.5925,8.3723,8.268633333,8.164966667,8.0613,8.143033333,8.224766667,8.3065,8.3065,8.3065,8.3065,8.3065,8.3065,8.3065,8.3065,8.3065,8.3065,8.3065
