# File: steel_prod.csv
# Title: Crude steel production by country and sector
# Units: Thousand tonnes
# Description: National steel production
# Source: World Steel Association
# Column types: cinnnc
# ----------
iso,year,BLASTFUR,EAF with scrap,EAF with DRI,unit_prod
alb,1971,0,1.14,2.42,thousand tons
are,1971,0,15.4,48.7,thousand tons
arg,1971,1590,385,1220,thousand tons
aus,1971,4290,188,597,thousand tons
aut,1971,3680,217,170,thousand tons
bel,1971,6350,1090,854,thousand tons
bgr,1971,1010,240,189,thousand tons
bih,1971,38.1,5.36,11.4,thousand tons
blr,1971,0,342,728,thousand tons
bra,1971,15800,982,3110,thousand tons
can,1971,6850,3730,1240,thousand tons
che,1971,0,399,313,thousand tons
chl,1971,809,37,117,thousand tons
chn,1971,77200,13700,720,thousand tons
col,1971,199,65,206,thousand tons
cub,1971,0,57.4,182,thousand tons
cze,1971,4060,209,164,thousand tons
deu,1971,23500,5320,4180,thousand tons
dnk,1971,0,320,251,thousand tons
dom,1971,0.0712,6.65,21.1,thousand tons
dza,1971,536,15.4,48.7,thousand tons
ecu,1971,0,9.92,31.4,thousand tons
egy,1971,839,284,899,thousand tons
esp,1971,3000,4650,3650,thousand tons
est,1971,0.712,0,0,thousand tons
fin,1971,2230,385,302,thousand tons
fra,1971,8910,3370,2650,thousand tons
gbr,1971,8230,1380,1090,thousand tons
gha,1971,0,4.27,13.5,thousand tons
grc,1971,0,434,341,thousand tons
gtm,1971,0.356,28.5,90.1,thousand tons
hrv,1971,0,16.2,34.4,thousand tons
hun,1971,1170,93,73,thousand tons
idn,1971,0,487,1540,thousand tons
ind,1971,12300,1660,5250,thousand tons
irl,1971,0,144,113,thousand tons
irn,1971,1570,752,2380,thousand tons
isr,1971,0,47.9,152,thousand tons
ita,1971,7610,6420,5040,thousand tons
jor,1971,0,5.13,16.2,thousand tons
jpn,1971,54000,7640,14200,thousand tons
kaz,1971,3400,0,0,thousand tons
ken,1971,0,3.42,10.8,thousand tons
kor,1971,17600,6570,6570,thousand tons
lby,1971,0,180,571,thousand tons
lka,1971,0,5.13,16.2,thousand tons
lux,1971,0,1030,806,thousand tons
lva,1971,353,0.798,0.627,thousand tons
mar,1971,3.56,0,0,thousand tons
mda,1971,0,207,440,thousand tons
mex,1971,3730,1780,5630,thousand tons
mkd,1971,0.0712,36.7,77.9,thousand tons
mmr,1971,0,4.27,13.5,thousand tons
mys,1971,0,624,1980,thousand tons
nld,1971,3920,63.4,49.8,thousand tons
nor,1971,0,271,213,thousand tons
nzl,1971,394,25.6,81,thousand tons
pak,1971,606,17.1,54.1,thousand tons
per,1971,204,79.4,251,thousand tons
phl,1971,0,72.8,231,thousand tons
pol,1971,5130,1310,1030,thousand tons
prk,1971,1070,0,0,thousand tons
prt,1971,292,270,213,thousand tons
pry,1971,54.9,0,0,thousand tons
qat,1971,0,125,395,thousand tons
rom,1971,2380,529,416,thousand tons
rus,1971,36000,1960,4170,thousand tons
sau,1971,0,510,1610,thousand tons
sgp,1971,0,103,326,thousand tons
slv,1971,0.356,6.92,21.9,thousand tons
svk,1971,2460,114,89.6,thousand tons
svn,1971,0,207,163,thousand tons
swe,1971,2300,795,624,thousand tons
syr,1971,0,12,37.9,thousand tons
tha,1971,0,359,1140,thousand tons
tto,1971,0,127,401,thousand tons
tun,1971,121,10.1,31.9,thousand tons
tur,1971,3730,2070,4410,thousand tons
twn,1971,7100,1180,3750,thousand tons
ukr,1971,21900,225,477,thousand tons
ury,1971,0,6.5,20.6,thousand tons
usa,1971,38500,25600,8520,thousand tons
uzb,1971,81.2,50.1,159,thousand tons
ven,1971,0.285,656,2080,thousand tons
vnm,1971,0,52.3,166,thousand tons
zaf,1971,3330,651,2060,thousand tons
alb,1972,0,1.16,2.46,thousand tons
are,1972,0,15.6,49.5,thousand tons
arg,1972,1610,391,1240,thousand tons
aus,1972,4360,192,606,thousand tons
aut,1972,3740,220,173,thousand tons
bel,1972,6450,1110,868,thousand tons
bgr,1972,1030,244,192,thousand tons
bih,1972,38.7,5.44,11.6,thousand tons
blr,1972,0,348,739,thousand tons
bra,1972,16000,998,3160,thousand tons
can,1972,6960,3790,1260,thousand tons
che,1972,0,405,319,thousand tons
chl,1972,822,37.6,119,thousand tons
chn,1972,78400,13900,731,thousand tons
col,1972,202,66.1,209,thousand tons
cub,1972,0,58.4,185,thousand tons
cze,1972,4120,212,167,thousand tons
deu,1972,23900,5400,4240,thousand tons
dnk,1972,0,325,255,thousand tons
dom,1972,0.0724,6.76,21.4,thousand tons
dza,1972,544,15.6,49.5,thousand tons
ecu,1972,0,10.1,31.9,thousand tons
egy,1972,853,288,913,thousand tons
esp,1972,3050,4730,3710,thousand tons
est,1972,0.724,0,0,thousand tons
fin,1972,2270,391,307,thousand tons
fra,1972,9060,3420,2690,thousand tons
gbr,1972,8360,1410,1100,thousand tons
gha,1972,0,4.34,13.8,thousand tons
grc,1972,0,441,347,thousand tons
gtm,1972,0.362,28.9,91.6,thousand tons
hrv,1972,0,16.4,35,thousand tons
hun,1972,1190,94.5,74.2,thousand tons
idn,1972,0,495,1570,thousand tons
ind,1972,12500,1680,5330,thousand tons
irl,1972,0,146,115,thousand tons
irn,1972,1590,764,2420,thousand tons
isr,1972,0,48.6,154,thousand tons
ita,1972,7730,6520,5120,thousand tons
jor,1972,0,5.21,16.5,thousand tons
jpn,1972,54900,7770,14400,thousand tons
kaz,1972,3450,0,0,thousand tons
ken,1972,0,3.47,11,thousand tons
kor,1972,17900,6680,6680,thousand tons
lby,1972,0,183,580,thousand tons
lka,1972,0,5.21,16.5,thousand tons
lux,1972,0,1040,819,thousand tons
lva,1972,359,0.811,0.637,thousand tons
mar,1972,3.62,0,0,thousand tons
mda,1972,0,210,447,thousand tons
mex,1972,3790,1810,5720,thousand tons
mkd,1972,0.0724,37.3,79.2,thousand tons
mmr,1972,0,4.34,13.8,thousand tons
mys,1972,0,634,2010,thousand tons
nld,1972,3990,64.5,50.6,thousand tons
nor,1972,0,275,216,thousand tons
nzl,1972,400,26,82.3,thousand tons
pak,1972,615,17.4,55,thousand tons
per,1972,208,80.7,255,thousand tons
phl,1972,0,74,234,thousand tons
pol,1972,5220,1330,1050,thousand tons
prk,1972,1090,0,0,thousand tons
prt,1972,297,275,216,thousand tons
pry,1972,55.7,0,0,thousand tons
qat,1972,0,127,401,thousand tons
rom,1972,2420,537,422,thousand tons
rus,1972,36600,1990,4240,thousand tons
sau,1972,0,518,1640,thousand tons
sgp,1972,0,105,332,thousand tons
slv,1972,0.362,7.04,22.3,thousand tons
svk,1972,2500,116,91.1,thousand tons
svn,1972,0,210,165,thousand tons
swe,1972,2340,808,635,thousand tons
syr,1972,0,12.2,38.5,thousand tons
tha,1972,0,365,1160,thousand tons
tto,1972,0,129,408,thousand tons
tun,1972,123,10.3,32.5,thousand tons
tur,1972,3790,2110,4480,thousand tons
twn,1972,7220,1200,3810,thousand tons
ukr,1972,22300,228,485,thousand tons
ury,1972,0,6.6,20.9,thousand tons
usa,1972,39100,26000,8660,thousand tons
uzb,1972,82.5,50.9,161,thousand tons
ven,1972,0.29,666,2110,thousand tons
vnm,1972,0,53.2,168,thousand tons
zaf,1972,3380,661,2090,thousand tons
alb,1973,0,1.18,2.5,thousand tons
are,1973,0,15.9,50.3,thousand tons
arg,1973,1640,397,1260,thousand tons
aus,1973,4430,195,616,thousand tons
aut,1973,3800,224,176,thousand tons
bel,1973,6550,1120,882,thousand tons
bgr,1973,1040,248,195,thousand tons
bih,1973,39.3,5.53,11.8,thousand tons
blr,1973,0,354,751,thousand tons
bra,1973,16300,1010,3210,thousand tons
can,1973,7070,3850,1280,thousand tons
che,1973,0,412,324,thousand tons
chl,1973,835,38.2,121,thousand tons
chn,1973,79700,14100,743,thousand tons
col,1973,206,67.1,213,thousand tons
cub,1973,0,59.3,188,thousand tons
cze,1973,4190,215,169,thousand tons
deu,1973,24300,5490,4310,thousand tons
dnk,1973,0,330,259,thousand tons
dom,1973,0.0735,6.87,21.7,thousand tons
dza,1973,553,15.9,50.3,thousand tons
ecu,1973,0,10.2,32.4,thousand tons
egy,1973,866,293,928,thousand tons
esp,1973,3100,4800,3770,thousand tons
est,1973,0.735,0,0,thousand tons
fin,1973,2300,397,312,thousand tons
fra,1973,9200,3480,2730,thousand tons
gbr,1973,8500,1430,1120,thousand tons
gha,1973,0,4.41,14,thousand tons
grc,1973,0,448,352,thousand tons
gtm,1973,0.368,29.4,93.1,thousand tons
hrv,1973,0,16.7,35.5,thousand tons
hun,1973,1200,96,75.4,thousand tons
idn,1973,0,503,1590,thousand tons
ind,1973,12700,1710,5420,thousand tons
irl,1973,0,148,117,thousand tons
irn,1973,1620,777,2460,thousand tons
isr,1973,0,49.4,157,thousand tons
ita,1973,7850,6620,5200,thousand tons
jor,1973,0,5.3,16.8,thousand tons
jpn,1973,55700,7890,14700,thousand tons
kaz,1973,3510,0,0,thousand tons
ken,1973,0,3.53,11.2,thousand tons
kor,1973,18100,6780,6780,thousand tons
lby,1973,0,186,590,thousand tons
lka,1973,0,5.3,16.8,thousand tons
lux,1973,0,1060,832,thousand tons
lva,1973,365,0.824,0.647,thousand tons
mar,1973,3.68,0,0,thousand tons
mda,1973,0,214,454,thousand tons
