# File: A32.globaltech_coef.csv
# Title: Industry default coefficients
# Units: unitless
# Column types: ccccn 
# ----------
supplysector,subsector,technology,minicam.energy.input,terminal_coef
other industry,other industry,other industry,other industrial energy use,0.93
other industry,other industry,other industry,other industrial feedstocks,0.07
