# File: A44.satiation_flsp_SSPs.csv
# Title: Assumed satiation levels of commercial floorspace 
# Units: m2 per capita
# Column types: ccn 
# ----------
SSP,region.class,comm
SSP1,A,24
SSP1,B,22
SSP1,C,19
SSP1,D,17
SSP1,E,15
SSP2,A,27
SSP2,B,24
SSP2,C,21
SSP2,D,19
SSP2,E,17
SSP3,A,27
SSP3,B,24
SSP3,C,21
SSP3,D,19
SSP3,E,17
SSP4,A,24.3
SSP4,B,21.6
SSP4,C,18.9
SSP4,D,16.15
SSP4,E,14.45
SSP5,A,30
SSP5,B,26
SSP5,C,23
SSP5,D,21
SSP5,E,19
