# File: assumption_steel.csv
# Title: Crude steel production by region
# Units: Mt
# Description: Crude steel production 2020 for deep dive regions
# Source: World Steel Association
# Column types: cnnnnnnnnnnnnnnnnnnn
# ----------
region,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
Africa_Eastern,0.02,0.032292914,0.02,0.022181268,0.024362108,0.026507991,0.028581451,0.03054741,0.032374087,0.034046631,0.03555618,0.036902674,0.038088984,0.039114011,0.039961925,0.040632727,0.041127456,0.041468174,0.041659893
Africa_Northern,8.136,7.526092449,8.307,8.757217508,9.152243666,9.501379403,9.810854583,10.07667683,10.28533347,10.43792132,10.53523007,10.58405994,10.58541998,10.54606653,10.47850319,10.3891792,10.28533347,10.16507951,10.03258517
Africa_Southern,0.01,0.002238461,0.01,0.023197002,0.055949943,0.117121456,0.244361263,0.49537866,0.933617161,1.602842399,2.496947534,3.561037512,4.707662553,5.840724412,6.885728159,7.790707444,8.525210797,9.078731743,9.456004747
Africa_Western,0.125,0.133938944,0.125,0.139522874,0.154535675,0.169857752,0.185212045,0.200370893,0.215183714,0.228844623,0.241402779,0.253150994,0.263961356,0.273690681,0.282284084,0.289641335,0.295803002,0.300907498,0.305052663
Argentina,5.138,5.029,4.624,4.769289328,4.89834106,5.011261327,5.109217535,5.184780721,5.240285701,5.274777324,5.288786229,5.288361717,5.270744457,5.237420243,5.189874868,5.135749552,5.076105577,5.011579711,4.94291485
Australia_NZ,8.149004,5.7214,5.985,6.384595155,6.76187198,7.120129706,7.469848244,7.813356464,8.145802555,8.461364344,8.755578164,9.006707902,9.217082428,9.387672104,9.514983625,9.596105905,9.625604916,9.600375499,9.526433899
Brazil,32.948,33.22,34.494,35.58687824,36.47057594,37.1452568,37.6199231,37.89653898,37.95169848,37.77721769,37.42743773,36.9172533,36.26794254,35.49407279,34.63148955,33.70769072,32.75573927,31.79642232,30.83939685
Canada,13.009,12.48,13.614,14.29066238,14.91901748,15.4987048,16.056762,16.60760915,17.15449078,17.68370782,18.19273673,18.63795678,19.02080998,19.33985431,19.5831932,19.7400116,19.80778599,19.76668875,19.61996441
Central America and Caribbean,1.188,1.4023,0.611,0.636697545,0.659263589,0.678368498,0.693819988,0.70572107,0.713906926,0.718535506,0.71968235,0.71896128,0.716633255,0.712574664,0.70710827,0.700137931,0.692116891,0.683306108,0.674062683
Central Asia,5.056002,4.7328,5.31,5.467391085,5.58500803,5.673692789,5.741363647,5.782416894,5.790030627,5.76651942,5.719070637,5.659927161,5.588845351,5.505398839,5.410684003,5.310487279,5.210838744,5.114174792,5.018424488
China,638.74295,803.47,1053,1057.735688,1054.586152,1043.16434,1023.89525,997.9400356,966.2473531,930.1680877,891.1138387,850.6859365,810.2428558,770.0729879,730.1861988,691.2078422,654.3521971,620.3812236,589.3055467
Colombia,1.208,1.211,1.253,1.317337603,1.375222254,1.425454521,1.468706086,1.504928972,1.532875768,1.552858327,1.566387935,1.572816897,1.573368637,1.568187085,1.557152298,1.540792028,1.521073344,1.498619953,1.473767695
EU-12,24.4983,25.2,23.399811,23.25163614,23.02846479,22.72484267,22.38463137,22.03669315,21.67830088,21.29013727,20.85424864,20.342909,19.7749811,19.18773593,18.61662637,18.08074243,17.58417482,17.11896938,16.66967228
EU-15,147.662,141.0242,146.012589,148.2405408,150.2759886,152.1415798,153.851823,155.3352369,156.5047701,157.3335285,157.9011325,158.0971753,158.0706352,157.8745924,157.4757834,156.8402368,155.8625,154.534434,152.7590791
Europe_Eastern,36.202,2.065,24.215,23.62980526,23.10142554,22.63685347,22.23958534,21.87815438,21.53245682,21.20292968,20.89394336,20.54911988,20.17719999,19.77730964,19.35381919,18.9150324,18.47143818,18.02259949,17.55759038
Europe_Non_EU,30.04995,25.949,40.15,41.52010329,42.71789063,43.72919381,44.55286406,45.18085998,45.61164987,45.83106551,45.86093361,45.71695406,45.40333902,44.92851284,44.31659975,43.6047434,42.85038245,42.06309,41.23903682
European Free Trade Association,1.85,33.7673,2.053,2.130068547,2.206252943,2.277869222,2.344770026,2.408576299,2.470172194,2.528526199,2.582164729,2.62622495,2.661738372,2.690178582,2.711840296,2.725839363,2.72922861,2.721271246,2.70196727
India,68.976,89,111.350704,117.261214,122.6222263,127.5829476,132.0310716,135.9361154,139.083093,141.3965989,142.7330415,143.1758485,142.8894679,141.8915479,140.2061541,137.8910439,135.1226983,131.9532595,128.5856807
Indonesia,3.664,4.852,5.195,5.367501672,5.505840469,5.612219809,5.683503296,5.716137674,5.707482815,5.667583118,5.598066334,5.503398846,5.388563153,5.258641008,5.118356852,4.971601402,4.821054489,4.668760723,4.516367704
Japan,109.59895,105.12,99.284114,97.72262028,95.78169074,93.60212233,91.28255244,88.85957237,86.39443277,83.93963419,81.46733542,78.82639851,76.06136938,73.27963553,70.54960678,67.75116821,64.97818445,62.26565588,59.61278703
