# File: NREL_ATB_capital_2022.csv
# Title: Technology overnight capital cost assumptions by year from NREL 2022 ATB
# Units: $2020/kW
# Source: NREL 2022 Annual Technology Baseline for 2020-2050 (https://data.openei.org/submissions/5716)
# Comments: tech_type corresponds to tab within the ATB workbooks; tech_detail corresponds to the more detailed technologies within those tabs
# Users can specify how ATB technologies are mapped to GCAM technologies in energy/mappings/atb_gcam_mapping.csv
# Column types: ccccnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# -------------
tech_type,tech_detail,input,case,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Offshore Wind,Class 1,capital,adv tech,2239.83,1986.24,1879.01,1802.93,1743.92,1695.7,1654.93,1619.62,1588.47,1560.61,1535.4,1512.39,1491.22,1471.62,1453.37,1436.31,1420.27,1405.16,1390.86,1377.29,1364.39,1352.09,1340.33,1329.08,1318.28,1307.91,1297.93,1288.31,1279.03,1270.06,1261.39
Offshore Wind,Class 1,capital,central,2351.32,2141.53,2040.57,1968.93,1913.37,1867.97,1829.58,1796.33,1767,1740.77,1717.04,1695.37,1675.44,1656.99,1639.81,1623.74,1608.64,1594.41,1580.94,1568.17,1556.02,1544.44,1533.37,1522.77,1512.61,1502.84,1493.44,1484.39,1475.65,1467.21,1459.04
Offshore Wind,Class 1,capital,low tech,2556.02,2440.77,2363.77,2309.13,2266.75,2232.13,2202.85,2177.49,2155.12,2135.11,2117.01,2100.49,2085.28,2071.21,2058.11,2045.85,2034.34,2023.48,2013.21,2003.47,1994.2,1985.37,1976.93,1968.84,1961.09,1953.64,1946.48,1939.57,1932.9,1926.47,1920.24
Offshore Wind,Class 2,capital,adv tech,2246.69,1992.33,1884.77,1808.45,1749.26,1700.89,1660,1624.58,1593.33,1565.39,1540.1,1517.02,1495.79,1476.13,1457.83,1440.71,1424.62,1409.46,1395.12,1381.51,1368.57,1356.23,1344.44,1333.15,1322.32,1311.91,1301.9,1292.25,1282.95,1273.95,1265.25
Offshore Wind,Class 2,capital,central,2358.52,2148.09,2046.82,1974.96,1919.23,1873.69,1835.19,1801.84,1772.42,1746.1,1722.3,1700.56,1680.57,1662.06,1644.83,1628.71,1613.57,1599.29,1585.79,1572.97,1560.79,1549.17,1538.07,1527.44,1517.24,1507.44,1498.02,1488.93,1480.17,1471.7,1463.51
Offshore Wind,Class 2,capital,low tech,2563.85,2448.25,2371.01,2316.2,2273.7,2238.96,2209.6,2184.16,2161.72,2141.65,2123.5,2106.92,2091.67,2077.55,2064.41,2052.12,2040.57,2029.68,2019.38,2009.61,2000.31,1991.45,1982.98,1974.88,1967.1,1959.63,1952.44,1945.51,1938.82,1932.37,1926.12
Offshore Wind,Class 3,capital,adv tech,2363.55,2095.96,1982.8,1902.52,1840.24,1789.36,1746.34,1709.08,1676.21,1646.81,1620.21,1595.93,1573.59,1552.91,1533.65,1515.64,1498.72,1482.77,1467.68,1453.37,1439.75,1426.77,1414.37,1402.49,1391.1,1380.15,1369.62,1359.47,1349.68,1340.22,1331.06
Offshore Wind,Class 3,capital,central,2481.2,2259.82,2153.28,2077.69,2019.05,1971.15,1930.64,1895.56,1864.61,1836.92,1811.88,1789.02,1767.98,1748.51,1730.38,1713.42,1697.49,1682.48,1668.27,1654.79,1641.97,1629.75,1618.07,1606.88,1596.16,1585.85,1575.94,1566.38,1557.16,1548.25,1539.64
Offshore Wind,Class 3,capital,low tech,2697.21,2575.59,2494.33,2436.68,2391.96,2355.42,2324.53,2297.77,2274.16,2253.05,2233.95,2216.51,2200.47,2185.62,2171.79,2158.85,2146.7,2135.25,2124.41,2114.13,2104.36,2095.03,2086.13,2077.6,2069.41,2061.55,2053.99,2046.7,2039.67,2032.88,2026.3
Offshore Wind,Class 4,capital,adv tech,2468,2188.58,2070.42,1986.59,1921.57,1868.44,1823.52,1784.6,1750.28,1719.58,1691.81,1666.45,1643.13,1621.53,1601.43,1582.62,1564.95,1548.3,1532.54,1517.59,1503.38,1489.82,1476.87,1464.46,1452.57,1441.14,1430.14,1419.54,1409.32,1399.44,1389.88
Offshore Wind,Class 4,capital,central,2590.84,2359.68,2248.43,2169.5,2108.28,2058.25,2015.96,1979.32,1947,1918.1,1891.95,1868.07,1846.11,1825.78,1806.85,1789.14,1772.51,1756.82,1741.99,1727.92,1714.53,1701.77,1689.57,1677.89,1666.69,1655.93,1645.58,1635.6,1625.97,1616.67,1607.67
