# File: A10.subrsrc_info.csv
# Title: Information about resources types in each region
# Units: NA
# Column types: cccc
# ----------
resource,resource_type,subresource,subresource_type
coal,resource,coal,subresource
crude oil,resource,crude oil,subresource
natural gas,resource,natural gas,subresource
crude oil,resource,unconventional oil,subresource
uranium,resource,uranium,subresource
biomass,renewresource,generic waste biomass,smooth-renewable-subresource
distributed_solar,renewresource,distributed_solar,smooth-renewable-subresource
geothermal,renewresource,hydrothermal,sub-renewable-resource
onshore wind resource,renewresource,onshore wind resource,smooth-renewable-subresource
traditional biomass,renewresource,traditional biomass,sub-renewable-resource
offshore wind resource,renewresource,offshore wind resource,smooth-renewable-subresource
