# File: A61.subsector_shrwt.csv
# Title: Carbon storage subsector shareweights
# Units: Unitless for share weight
# Column types: cccic 
# ----------
supplysector,subsector,year.fillout,share.weight,logit.type
carbon-storage,onshore carbon-storage,start-year,1,
carbon-storage,offshore carbon-storage,start-year,1,
