# File: A44.hab_land_flsp.csv
# Title: Habitable land per GCAM region
# Units: pop/km2
# Source: GCAM land data
# Column types: ccinc
# ----------
region,landleaf,year,value,Units
Africa_Eastern,biomassGrass,1975,0,thous km2
Africa_Eastern,biomassGrass,1990,0,thous km2
Africa_Eastern,biomassGrass,2005,0,thous km2
Africa_Eastern,biomassGrass,2010,0,thous km2
Africa_Eastern,biomassGrass,2015,0,thous km2
Africa_Eastern,biomassGrass,2020,12.15652496,thous km2
Africa_Eastern,biomassGrass,2025,24.36376763,thous km2
Africa_Eastern,biomassGrass,2030,41.03272945,thous km2
Africa_Eastern,biomassGrass,2035,57.14892729,thous km2
Africa_Eastern,biomassGrass,2040,63.6037854,thous km2
Africa_Eastern,biomassGrass,2045,72.33664039,thous km2
Africa_Eastern,biomassGrass,2050,81.2494555,thous km2
Africa_Eastern,biomassGrass,2055,88.02457173,thous km2
Africa_Eastern,biomassGrass,2060,93.0340841,thous km2
Africa_Eastern,biomassGrass,2065,97.3531783,thous km2
Africa_Eastern,biomassGrass,2070,100.2628257,thous km2
Africa_Eastern,biomassGrass,2075,102.5373952,thous km2
Africa_Eastern,biomassGrass,2080,105.1189961,thous km2
Africa_Eastern,biomassGrass,2085,107.9998885,thous km2
Africa_Eastern,biomassGrass,2090,109.8788746,thous km2
Africa_Eastern,biomassGrass,2095,111.0834721,thous km2
Africa_Eastern,biomassGrass,2100,111.890288,thous km2
Africa_Eastern,biomassTree,1975,0,thous km2
Africa_Eastern,biomassTree,1990,0,thous km2
Africa_Eastern,biomassTree,2005,0,thous km2
Africa_Eastern,biomassTree,2010,0,thous km2
Africa_Eastern,biomassTree,2015,0,thous km2
Africa_Eastern,biomassTree,2020,0.170405486,thous km2
Africa_Eastern,biomassTree,2025,0.338065503,thous km2
Africa_Eastern,biomassTree,2030,0.570175639,thous km2
Africa_Eastern,biomassTree,2035,0.823236763,thous km2
Africa_Eastern,biomassTree,2040,0.914575292,thous km2
Africa_Eastern,biomassTree,2045,1.035576024,thous km2
Africa_Eastern,biomassTree,2050,1.155469668,thous km2
Africa_Eastern,biomassTree,2055,1.267029163,thous km2
Africa_Eastern,biomassTree,2060,1.358368499,thous km2
Africa_Eastern,biomassTree,2065,1.442727471,thous km2
Africa_Eastern,biomassTree,2070,1.509039579,thous km2
Africa_Eastern,biomassTree,2075,1.56665463,thous km2
Africa_Eastern,biomassTree,2080,1.629558533,thous km2
Africa_Eastern,biomassTree,2085,1.698345,thous km2
Africa_Eastern,biomassTree,2090,1.751219343,thous km2
Africa_Eastern,biomassTree,2095,1.793163941,thous km2
Africa_Eastern,biomassTree,2100,1.828418911,thous km2
Africa_Eastern,crops,1975,258.7244659,thous km2
Africa_Eastern,crops,1990,294.5100994,thous km2
Africa_Eastern,crops,2005,405.497693,thous km2
Africa_Eastern,crops,2010,426.594697,thous km2
Africa_Eastern,crops,2015,424.8654558,thous km2
Africa_Eastern,crops,2020,448.2106598,thous km2
Africa_Eastern,crops,2025,469.2198526,thous km2
Africa_Eastern,crops,2030,487.628647,thous km2
Africa_Eastern,crops,2035,500.0656694,thous km2
Africa_Eastern,crops,2040,511.3963944,thous km2
Africa_Eastern,crops,2045,519.7250108,thous km2
Africa_Eastern,crops,2050,524.4442985,thous km2
Africa_Eastern,crops,2055,535.1932651,thous km2
Africa_Eastern,crops,2060,543.6932957,thous km2
Africa_Eastern,crops,2065,550.4200064,thous km2
Africa_Eastern,crops,2070,555.8934765,thous km2
Africa_Eastern,crops,2075,560.1827082,thous km2
Africa_Eastern,crops,2080,563.2327485,thous km2
Africa_Eastern,crops,2085,565.0260011,thous km2
Africa_Eastern,crops,2090,565.8655192,thous km2
Africa_Eastern,crops,2095,565.9046154,thous km2
Africa_Eastern,crops,2100,565.2091431,thous km2
Africa_Eastern,forest (managed),1975,59.993523,thous km2
Africa_Eastern,forest (managed),1990,87.732962,thous km2
Africa_Eastern,forest (managed),2005,115.7667624,thous km2
Africa_Eastern,forest (managed),2010,122.994862,thous km2
Africa_Eastern,forest (managed),2015,126.37195,thous km2
Africa_Eastern,forest (managed),2020,129.824611,thous km2
Africa_Eastern,forest (managed),2025,131.563434,thous km2
Africa_Eastern,forest (managed),2030,131.671538,thous km2
Africa_Eastern,forest (managed),2035,130.223218,thous km2
Africa_Eastern,forest (managed),2040,127.908087,thous km2
Africa_Eastern,forest (managed),2045,124.943496,thous km2
Africa_Eastern,forest (managed),2050,121.397804,thous km2
Africa_Eastern,forest (managed),2055,118.673611,thous km2
Africa_Eastern,forest (managed),2060,115.776682,thous km2
Africa_Eastern,forest (managed),2065,112.948073,thous km2
Africa_Eastern,forest (managed),2070,110.109964,thous km2
Africa_Eastern,forest (managed),2075,107.429526,thous km2
Africa_Eastern,forest (managed),2080,104.977396,thous km2
Africa_Eastern,forest (managed),2085,102.6645717,thous km2
Africa_Eastern,forest (managed),2090,100.4707888,thous km2
Africa_Eastern,forest (managed),2095,98.3282534,thous km2
Africa_Eastern,forest (managed),2100,96.2562858,thous km2
Africa_Eastern,forest (unmanaged),1975,107.831474,thous km2
Africa_Eastern,forest (unmanaged),1990,72.4854681,thous km2
Africa_Eastern,forest (unmanaged),2005,27.0552276,thous km2
Africa_Eastern,forest (unmanaged),2010,11.6232595,thous km2
Africa_Eastern,forest (unmanaged),2015,0,thous km2
Africa_Eastern,forest (unmanaged),2020,0,thous km2
Africa_Eastern,forest (unmanaged),2025,0,thous km2
Africa_Eastern,forest (unmanaged),2030,0,thous km2
