# File: A25.globaltech_shrwt.csv
# Title: Hydrogen technology shareweights
# Units: Unitless
# Column types: cccnnnnnnn
# ----------
supplysector,subsector,technology,1971,2010,final-calibration-year,initial-future-year,2030,2035,2100
H2 central production,gas,natural gas steam reforming,1,1,1,1,1,1,1
H2 central production,gas,gas ATR CCS,0,0,0,0,0.5,1,1
H2 central production,biomass,biomass to H2,1,1,1,1,1,1,1
H2 central production,biomass,biomass to H2 CCS,0,0,0,0,0.5,1,1
H2 central production,nuclear,electrolysis,1,1,1,1,1,1,1
H2 central production,electricity,electrolysis,1,1,1,1,1,1,1
H2 central production,hybrid,electrolysis,1,1,1,1,1,1,1
H2 pipeline,H2 pipeline,H2 pipeline,1,1,1,1,1,1,1
H2 liquid truck,H2 liquid truck,H2 liquid truck,1,1,1,1,1,1,1
H2 wholesale delivery,H2 pipeline,H2 pipeline,1,1,1,1,1,1,1
H2 wholesale delivery,H2 liquid truck,H2 liquid truck,1,1,1,1,1,1,1
H2 industrial,H2 delivery,H2 delivery,1,1,1,1,1,1,1
H2 industrial,onsite production,electrolysis,1,1,1,1,1,1,1
H2 retail delivery,H2 retail delivery,H2 retail delivery,1,1,1,1,1,1,1
H2 LDV,H2 delivery,H2 pipeline,1,1,1,1,1,1,1
H2 LDV,H2 delivery,H2 liquid truck,1,1,1,1,1,1,1
H2 LDV,onsite production,natural gas steam reforming,1,1,1,1,1,1,1
H2 LDV,onsite production,electrolysis,1,1,1,1,1,1,1
H2 MHDV,H2 delivery,H2 pipeline,1,1,1,1,1,1,1
H2 MHDV,H2 delivery,H2 liquid truck,1,1,1,1,1,1,1
H2 MHDV,onsite production,natural gas steam reforming,1,1,1,1,1,1,1
H2 MHDV,onsite production,electrolysis,1,1,1,1,1,1,1
LH2,H2 delivery,H2 pipeline,1,1,1,1,1,1,1
LH2,onsite production,natural gas steam reforming,1,1,1,1,1,1,1
LH2,onsite production,electrolysis,1,1,1,1,1,1,1
