# File: aluminum_prod_USGS.csv
# Title: Aluminum production by country
# Units: Thousand tons
# Description: National aluminum production
# Source: USGS Mineral Yearbooks - Aluminum
# Column types: ccinc
# ----------
country,iso,year,value,unit
Argentina,arg,1990,166,Thousand metric tons
Australia,aus,1990,1234,Thousand metric tons
Austria,aut,1990,89,Thousand metric tons
Bahrain,bhr,1990,213,Thousand metric tons
Brazil,bra,1990,931,Thousand metric tons
Cameroon,cmr,1990,93,Thousand metric tons
Canada,can,1990,1567,Thousand metric tons
China,chn,1990,850,Thousand metric tons
Slovakia,svk,1990,70,Thousand metric tons
Egypt,egy,1990,179,Thousand metric tons
France,fra,1990,326,Thousand metric tons
Germany,deu,1990,740,Thousand metric tons
Ghana,gha,1990,174,Thousand metric tons
Greece,grc,1990,150,Thousand metric tons
Hungary,hun,1990,75,Thousand metric tons
Iceland,isl,1990,87,Thousand metric tons
India,ind,1990,433,Thousand metric tons
Indonesia,idn,1990,186,Thousand metric tons
Iran,irn,1990,60,Thousand metric tons
Italy,ita,1990,232,Thousand metric tons
Japan,jpn,1990,34,Thousand metric tons
Mexico,mex,1990,68,Thousand metric tons
Netherlands,nld,1990,270,Thousand metric tons
New Zealand,nzl,1990,260,Thousand metric tons
Norway,nor,1990,845,Thousand metric tons
Poland,pol,1990,46,Thousand metric tons
Romania,rom,1990,168,Thousand metric tons
South Africa,zaf,1990,159,Thousand metric tons
Spain,esp,1990,353,Thousand metric tons
Suriname,sur,1990,32,Thousand metric tons
Sweden,swe,1990,96,Thousand metric tons
Switzerland,che,1990,72,Thousand metric tons
Turkey,tur,1990,61,Thousand metric tons
United Arab Emirates,are,1990,174,Thousand metric tons
United Kingdom,gbr,1990,294,Thousand metric tons
United States,usa,1990,4048,Thousand metric tons
Venezuela,ven,1990,590,Thousand metric tons
Argentina,arg,1991,165,Thousand metric tons
Australia,aus,1991,1228,Thousand metric tons
Austria,aut,1991,80,Thousand metric tons
Bahrain,bhr,1991,227,Thousand metric tons
Brazil,bra,1991,1140,Thousand metric tons
Cameroon,cmr,1991,83,Thousand metric tons
Canada,can,1991,1822,Thousand metric tons
China,chn,1991,963,Thousand metric tons
Slovakia,svk,1991,68,Thousand metric tons
Egypt,egy,1991,178,Thousand metric tons
France,fra,1991,286,Thousand metric tons
Germany,deu,1991,690,Thousand metric tons
Ghana,gha,1991,175,Thousand metric tons
Greece,grc,1991,152,Thousand metric tons
Hungary,hun,1991,63,Thousand metric tons
Iceland,isl,1991,89,Thousand metric tons
India,ind,1991,504,Thousand metric tons
Indonesia,idn,1991,187,Thousand metric tons
Iran,irn,1991,80,Thousand metric tons
Italy,ita,1991,206,Thousand metric tons
Japan,jpn,1991,32,Thousand metric tons
Mexico,mex,1991,51,Thousand metric tons
Netherlands,nld,1991,264,Thousand metric tons
New Zealand,nzl,1991,258,Thousand metric tons
Norway,nor,1991,833,Thousand metric tons
Poland,pol,1991,46,Thousand metric tons
Romania,rom,1991,113,Thousand metric tons
South Africa,zaf,1991,169,Thousand metric tons
Spain,esp,1991,355,Thousand metric tons
Suriname,sur,1991,29,Thousand metric tons
Sweden,swe,1991,97,Thousand metric tons
Switzerland,che,1991,66,Thousand metric tons
Turkey,tur,1991,56,Thousand metric tons
United Arab Emirates,are,1991,239,Thousand metric tons
United Kingdom,gbr,1991,294,Thousand metric tons
United States,usa,1991,4121,Thousand metric tons
Venezuela,ven,1991,601,Thousand metric tons
Argentina,arg,1992,165,Thousand metric tons
Australia,aus,1992,1236,Thousand metric tons
Austria,aut,1992,33,Thousand metric tons
Azerbaijan,aze,1992,25,Thousand metric tons
Bahrain,bhr,1992,292,Thousand metric tons
Bosnia and Herzegovina,bih,1992,30,Thousand metric tons
Brazil,bra,1992,1200,Thousand metric tons
Cameroon,cmr,1992,82,Thousand metric tons
Canada,can,1992,1972,Thousand metric tons
China,chn,1992,1100,Thousand metric tons
Croatia,hrv,1992,20,Thousand metric tons
Slovakia,svk,1992,68,Thousand metric tons
Egypt,egy,1992,178,Thousand metric tons
France,fra,1992,418,Thousand metric tons
Germany,deu,1992,603,Thousand metric tons
Ghana,gha,1992,180,Thousand metric tons
Greece,grc,1992,153,Thousand metric tons
Hungary,hun,1992,27,Thousand metric tons
Iceland,isl,1992,89,Thousand metric tons
India,ind,1992,490,Thousand metric tons
Indonesia,idn,1992,173,Thousand metric tons
Iran,irn,1992,92,Thousand metric tons
Italy,ita,1992,161,Thousand metric tons
Japan,jpn,1992,19,Thousand metric tons
Mexico,mex,1992,25,Thousand metric tons
Netherlands,nld,1992,235,Thousand metric tons
New Zealand,nzl,1992,243,Thousand metric tons
Norway,nor,1992,813,Thousand metric tons
Poland,pol,1992,44,Thousand metric tons
Romania,rom,1992,112,Thousand metric tons
Russia,rus,1992,2700,Thousand metric tons
Serbia and Montenegro,scg,1992,76,Thousand metric tons
Slovenia,svn,1992,85,Thousand metric tons
South Africa,zaf,1992,173,Thousand metric tons
Spain,esp,1992,359,Thousand metric tons
Suriname,sur,1992,32,Thousand metric tons
Sweden,swe,1992,77,Thousand metric tons
Switzerland,che,1992,52,Thousand metric tons
Tajikistan,tjk,1992,400,Thousand metric tons
Turkey,tur,1992,59,Thousand metric tons
Ukraine,ukr,1992,90,Thousand metric tons
United Arab Emirates,are,1992,240,Thousand metric tons
United Kingdom,gbr,1992,244,Thousand metric tons
United States,usa,1992,4042,Thousand metric tons
Venezuela,ven,1992,561,Thousand metric tons
Argentina,arg,1993,165,Thousand metric tons
Australia,aus,1993,1345,Thousand metric tons
Azerbaijan,aze,1993,20,Thousand metric tons
Bahrain,bhr,1993,450,Thousand metric tons
Bosnia and Herzegovina,bih,1993,15,Thousand metric tons
Brazil,bra,1993,1200,Thousand metric tons
Cameroon,cmr,1993,82,Thousand metric tons
Canada,can,1993,2308,Thousand metric tons
China,chn,1993,1220,Thousand metric tons
Croatia,hrv,1993,20,Thousand metric tons
Egypt,egy,1993,177,Thousand metric tons
France,fra,1993,456,Thousand metric tons
Germany,deu,1993,552,Thousand metric tons
Ghana,gha,1993,175,Thousand metric tons
Greece,grc,1993,145,Thousand metric tons
Hungary,hun,1993,28,Thousand metric tons
Iceland,isl,1993,91,Thousand metric tons
India,ind,1993,435,Thousand metric tons
Indonesia,idn,1993,180,Thousand metric tons
Iran,irn,1993,100,Thousand metric tons
Italy,ita,1993,170,Thousand metric tons
Japan,jpn,1993,18,Thousand metric tons
Mexico,mex,1993,26,Thousand metric tons
Netherlands,nld,1993,229,Thousand metric tons
New Zealand,nzl,1993,268,Thousand metric tons
Norway,nor,1993,814,Thousand metric tons
Poland,pol,1993,47,Thousand metric tons
Romania,rom,1993,112,Thousand metric tons
Russia,rus,1993,2900,Thousand metric tons
Serbia and Montenegro,scg,1993,70,Thousand metric tons
Slovakia,svk,1993,60,Thousand metric tons
Slovenia,svn,1993,80,Thousand metric tons
South Africa,zaf,1993,175,Thousand metric tons
Spain,esp,1993,355,Thousand metric tons
Suriname,sur,1993,30,Thousand metric tons
Sweden,swe,1993,77,Thousand metric tons
Switzerland,che,1993,45,Thousand metric tons
Tajikistan,tjk,1993,300,Thousand metric tons
Turkey,tur,1993,59,Thousand metric tons
Ukraine,ukr,1993,90,Thousand metric tons
United Arab Emirates,are,1993,225,Thousand metric tons
United Kingdom,gbr,1993,235,Thousand metric tons
United States,usa,1993,3695,Thousand metric tons
Venezuela,ven,1993,570,Thousand metric tons
Argentina,arg,1994,175,Thousand metric tons
Australia,aus,1994,1317,Thousand metric tons
Azerbaijan,aze,1994,15,Thousand metric tons
Bahrain,bhr,1994,447,Thousand metric tons
Bosnia and Herzegovina,bih,1994,10,Thousand metric tons
Brazil,bra,1994,1185,Thousand metric tons
Cameroon,cmr,1994,89,Thousand metric tons
Canada,can,1994,2255,Thousand metric tons
China,chn,1994,1450,Thousand metric tons
Croatia,hrv,1994,26,Thousand metric tons
Egypt,egy,1994,188,Thousand metric tons
France,fra,1994,438,Thousand metric tons
Germany,deu,1994,505,Thousand metric tons
Ghana,gha,1994,141,Thousand metric tons
Greece,grc,1994,144,Thousand metric tons
