# File: steel_intensity.csv
# Title: IO in steel production by subsector and technology and ratio of IO coefficients relative to conventional tech
# Units: GJ/t
# Description: Energy coefficient in steel production
# Source: Literature
# Column types: cccncn
# ----------
subsector,technology,fuel,value,Unit,ratio
BLASTFUR,Biomass-based,biomass,16.777903,GJ/t,
BLASTFUR,Biomass-based,refined liquids,0.01,GJ/t,1
BLASTFUR,Biomass-based,electricity,0.548226,GJ/t,1
BLASTFUR,Biomass-based,gas,0.01,GJ/t,1
BLASTFUR,BLASTFUR,coal,16.777903,GJ/t,1
BLASTFUR,BLASTFUR,refined liquids,0.01,GJ/t,1
BLASTFUR,BLASTFUR,electricity,0.548226,GJ/t,1
BLASTFUR,BLASTFUR,gas,0.01,GJ/t,1
BLASTFUR,BLASTFUR CCS,coal,13.390014,GJ/t,0.798074348
BLASTFUR,BLASTFUR CCS,refined liquids,0.01,GJ/t,1
BLASTFUR,BLASTFUR CCS,electricity,1.061098,GJ/t,1.935511997
BLASTFUR,BLASTFUR CCS,gas,0.01,GJ/t,1
BLASTFUR,BLASTFUR with hydrogen,coal,13.657903,GJ/t,0.814041123
BLASTFUR,BLASTFUR with hydrogen,electricity,0.548226,GJ/t,1
BLASTFUR,BLASTFUR with hydrogen,Hydrogen,3.2989,GJ/t,
BLASTFUR,BLASTFUR with hydrogen,refined liquids,0.01,GJ/t,1
BLASTFUR,BLASTFUR with hydrogen,gas,0.01,GJ/t,1
BLASTFUR,BLASTFUR CCS with hydrogen,coal,10.270014,GJ/t,0.612115471
BLASTFUR,BLASTFUR CCS with hydrogen,electricity,1.061098,GJ/t,1.935511997
BLASTFUR,BLASTFUR CCS with hydrogen,Hydrogen,3.2989,GJ/t,
BLASTFUR,BLASTFUR CCS with hydrogen,refined liquids,0.01,GJ/t,1
BLASTFUR,BLASTFUR CCS with hydrogen,gas,0.01,GJ/t,1
EAF with DRI,EAF with DRI,coal,2.3401,GJ/t,1
EAF with DRI,EAF with DRI,refined liquids,2.5312,GJ/t,1
EAF with DRI,EAF with DRI,electricity,1.315008,GJ/t,1
EAF with DRI,EAF with DRI,gas,14.36931,GJ/t,1
EAF with DRI,EAF with DRI CCS,coal,2.3401,GJ/t,1
EAF with DRI,EAF with DRI CCS,refined liquids,2.5312,GJ/t,1
EAF with DRI,EAF with DRI CCS,electricity,1.315008,GJ/t,1
EAF with DRI,EAF with DRI CCS,gas,14.36931,GJ/t,1
EAF with DRI,Hydrogen-based DRI,Hydrogen,14.36931,GJ/t,
EAF with DRI,Hydrogen-based DRI,electricity,1.240346,GJ/t,0.943223159
EAF with scrap,EAF with scrap,refined liquids,0.562694,GJ/t,1
EAF with scrap,EAF with scrap,electricity,1.54741,GJ/t,1
EAF with scrap,EAF with scrap,scrap,1.1,GJ/t,1
EAF with scrap,EAF with scrap,gas,0.562694,GJ/t,1
