# File: A22.globaltech_cost_low.csv
# Title: Primary energy transformation technologies default cost assumptions
# Units: 1975$US/GJ
# Description: global capital cost assumptions for energy transformation technologies used to interpolate model capital costs. Low tech assumptions are more expensive
# Column types: ccccnnnn 
# ----------
supplysector,subsector,technology,minicam.non.energy.input,1971,2010,2015,2100
gas processing,biomass gasification,biomass gasification,non-energy,3.85,3.85,3.85,4.065
refining,biomass liquids,cellulosic ethanol,non-energy,2.37,2.37,2.37,3.3
refining,biomass liquids,cellulosic ethanol CCS level 1,non-energy,3.99,3.99,3.99,5.55
refining,biomass liquids,cellulosic ethanol CCS level 2,non-energy,4.69,4.69,4.69,6.525
refining,biomass liquids,FT biofuels,non-energy,2.76,2.76,2.76,3.84
refining,biomass liquids,FT biofuels CCS level 1,non-energy,3.46,3.46,3.46,4.815
refining,biomass liquids,FT biofuels CCS level 2,non-energy,3.93,3.93,3.93,5.46
refining,biomass liquids,BTL with hydrogen,non-energy,2.76,2.76,2.76,3.84
