# File: A323.globaltech_coef.csv
# Title: IRONSTL production default coefficients
# Units: scrap input is unitless (Mt scrap per Mt IRONSTL); all others are GJ per ton
# Column types: cccccnnn
# ----------
steel_region,supplysector,subsector,technology,minicam.energy.input,1971,2025,2100
global,iron and steel,BLASTFUR,Biomass-based,delivered biomass,23.6,23.6,13.8
global,iron and steel,BLASTFUR,Biomass-based,refined liquids industrial,0.1,0.1,0.1
global,iron and steel,BLASTFUR,Biomass-based,elect_td_ind,1.6,1.6,0.9
global,iron and steel,BLASTFUR,Biomass-based,wholesale gas,0.1,0.1,0
gas_intensive,iron and steel,BLASTFUR,BLASTFUR,delivered coal,17.1,17.1,10
gas_intensive,iron and steel,BLASTFUR,BLASTFUR,refined liquids industrial,0.1,0.1,0.1
gas_intensive,iron and steel,BLASTFUR,BLASTFUR,elect_td_ind,1.6,1.6,0.9
gas_intensive,iron and steel,BLASTFUR,BLASTFUR,wholesale gas,6.6,6.6,3.8
gas_intensive,iron and steel,BLASTFUR,BLASTFUR CCS,delivered coal,17.1,17.1,9.7
gas_intensive,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,0.1,0.1,0.1
gas_intensive,iron and steel,BLASTFUR,BLASTFUR CCS,elect_td_ind,2.3,2.3,1.3
gas_intensive,iron and steel,BLASTFUR,BLASTFUR CCS,wholesale gas,6.6,6.6,3.7
gas_intensive,iron and steel,EAF with DRI,EAF with DRI,delivered coal,0.1,0.1,0.1
gas_intensive,iron and steel,EAF with DRI,EAF with DRI,refined liquids industrial,0.1,0.1,0.1
gas_intensive,iron and steel,EAF with DRI,EAF with DRI,elect_td_ind,3.4,3.4,2.6
gas_intensive,iron and steel,EAF with DRI,EAF with DRI,wholesale gas,18.3,18.3,14.1
gas_intensive,iron and steel,EAF with DRI,EAF with DRI CCS,delivered coal,0.1,0.1,0.1
gas_intensive,iron and steel,EAF with DRI,EAF with DRI CCS,refined liquids industrial,0.1,0.1,0.1
gas_intensive,iron and steel,EAF with DRI,EAF with DRI CCS,elect_td_ind,4.9,4.9,3.5
gas_intensive,iron and steel,EAF with DRI,EAF with DRI CCS,wholesale gas,18.3,18.3,13.2
global,iron and steel,EAF with DRI,Hydrogen-based DRI,H2 industrial,7.3,7.3,10
global,iron and steel,EAF with DRI,Hydrogen-based DRI,elect_td_ind,4.2,4.2,3.8
global,iron and steel,EAF with DRI,Hydrogen-based DRI,refined liquids industrial,1.1,1.1,1.1
global,iron and steel,EAF with DRI,Hydrogen-based DRI,wholesale gas,3.6,3.6,0.2
global,iron and steel,EAF with scrap,EAF with scrap,wholesale gas,3,3,1.3
global,iron and steel,EAF with scrap,EAF with scrap,refined liquids industrial,0.1,0.1,0
global,iron and steel,EAF with scrap,EAF with scrap,elect_td_ind,2.9,2.9,1.3
global,iron and steel,EAF with scrap,EAF with scrap,scrap,1.1,1.1,1.1
gas_intensive,iron and steel,BLASTFUR,BLASTFUR with hydrogen,delivered coal,16.1,16.1,8.9
gas_intensive,iron and steel,BLASTFUR,BLASTFUR with hydrogen,refined liquids industrial,0.1,0.1,0
gas_intensive,iron and steel,BLASTFUR,BLASTFUR with hydrogen,elect_td_ind,1.6,1.6,0.9
gas_intensive,iron and steel,BLASTFUR,BLASTFUR with hydrogen,wholesale gas,6.6,6.6,3.7
gas_intensive,iron and steel,BLASTFUR,BLASTFUR with hydrogen,H2 industrial,2.3,2.3,1.3
coal_intensive,iron and steel,BLASTFUR,BLASTFUR with hydrogen,delivered coal,22.6,22.6,12.5
coal_intensive,iron and steel,BLASTFUR,BLASTFUR with hydrogen,refined liquids industrial,0.1,0.1,0.1
coal_intensive,iron and steel,BLASTFUR,BLASTFUR with hydrogen,elect_td_ind,1.6,1.6,0.9
coal_intensive,iron and steel,BLASTFUR,BLASTFUR with hydrogen,wholesale gas,0.1,0.1,0
coal_intensive,iron and steel,BLASTFUR,BLASTFUR with hydrogen,H2 industrial,2.3,2.3,1.3
gas_intensive,iron and steel,BLASTFUR,BLASTFUR CCS with hydrogen,delivered coal,16.1,16.1,8.7
gas_intensive,iron and steel,BLASTFUR,BLASTFUR CCS with hydrogen,refined liquids industrial,0.1,0.1,0
gas_intensive,iron and steel,BLASTFUR,BLASTFUR CCS with hydrogen,elect_td_ind,2.3,2.3,1.2
gas_intensive,iron and steel,BLASTFUR,BLASTFUR CCS with hydrogen,wholesale gas,6.6,6.6,3.6
gas_intensive,iron and steel,BLASTFUR,BLASTFUR CCS with hydrogen,H2 industrial,2.3,2.3,1.3
coal_intensive,iron and steel,BLASTFUR,BLASTFUR CCS with hydrogen,delivered coal,22.6,22.6,12.2
