# File: rsrc_fol_prod_vintage.csv
# Title: fossil fuel resource production in historical years by vintage used for EPA scaling
# Units: EJ
# Source: ModelInterface output from resource production by tech and vintage
# Column types: cccinnnn
# ----------
region,resource,subresource,year,1990,2005,2010,2015
Africa_Eastern,coal,coal,1975,0.00225351,7.62E-04,0,0
Africa_Eastern,coal,coal,1990,3.38E-04,3.28E-04,1.62E-04,7.76E-05
Africa_Eastern,coal,coal,2005,0,0.00504593,0.00305005,0.00239096
Africa_Eastern,crude oil,crude oil,2005,0,1.2059,1.20584,0.844493
Africa_Eastern,crude oil,crude oil,2010,0,0,0.25783,0.137288
Africa_Eastern,natural gas,natural gas,1975,0,1.52E-05,0,0
Africa_Eastern,natural gas,natural gas,2005,0,0.0380694,0.0380348,0.0364906
Africa_Eastern,natural gas,natural gas,2010,0,0,0.0874776,0.0819571
Africa_Northern,coal,coal,1975,0.012203,9.56E-04,1.28E-05,1.29E-05
Africa_Northern,coal,coal,2010,0,0,9.45E-09,9.45E-09
Africa_Northern,coal,coal,2015,0,0,0,1.26E-10
Africa_Northern,crude oil,crude oil,1975,5.75002,5.76635,5.34666,2.7312
Africa_Northern,crude oil,crude oil,1990,1.84033,1.81513,2.01372,1.51242
Africa_Northern,crude oil,crude oil,2005,0,1.48721,1.61478,1.21137
Africa_Northern,natural gas,natural gas,1975,0.381145,0,0,0
Africa_Northern,natural gas,natural gas,1990,1.73837,1.71745,0,0
Africa_Northern,natural gas,natural gas,2005,0,3.67402,3.63854,3.02216
Africa_Northern,natural gas,natural gas,2010,0,0,2.09752,1.70503
Africa_Southern,coal,coal,1975,0.0985086,0.0339525,0,0
Africa_Southern,coal,coal,1990,0.0733676,0.0716738,0.0685567,0.0350423
Africa_Southern,coal,coal,2005,0,0.0211268,0.0239299,0.0236932
Africa_Southern,coal,coal,2010,0,0,0.00859567,0.00833116
Africa_Southern,coal,coal,2015,0,0,0,0.285293
Africa_Southern,crude oil,crude oil,1975,0.329091,0.329278,0.279931,0.194116
Africa_Southern,crude oil,crude oil,1990,0.674461,0.674138,0.68752,0.689161
Africa_Southern,crude oil,crude oil,2005,0,1.79299,1.8053,1.80533
Africa_Southern,crude oil,crude oil,2010,0,0,1.2201,1.19386
Africa_Southern,natural gas,natural gas,1975,0.00222619,0,0,0
Africa_Southern,natural gas,natural gas,1990,0.0160924,0.015908,0,0
Africa_Southern,natural gas,natural gas,2005,0,0.105835,0.105288,0.105865
Africa_Southern,natural gas,natural gas,2010,0,0,0.0868284,0.0858513
Africa_Southern,natural gas,natural gas,2015,0,0,0,0.0562761
Africa_Western,coal,coal,1975,0.0076514,0.00590182,0.00255694,0.00179027
Africa_Western,coal,coal,2005,0,0.00185888,0.00216703,0.00252912
Africa_Western,coal,coal,2010,0,0,0.00144904,0.00165621
Africa_Western,crude oil,crude oil,1975,4.26187,4.26773,3.96392,2.7821
Africa_Western,crude oil,crude oil,1990,0.818862,0.807464,0.897429,0.926426
Africa_Western,crude oil,crude oil,2005,0,2.37773,2.58371,2.65948
Africa_Western,crude oil,crude oil,2010,0,0,0.0762854,0.076963
Africa_Western,natural gas,natural gas,1975,0.023444,0,0,0
Africa_Western,natural gas,natural gas,1990,0.116209,0.114301,0,0
Africa_Western,natural gas,natural gas,2005,0,0.800955,0.796111,0.799839
Africa_Western,natural gas,natural gas,2010,0,0,0.525173,0.518333
Africa_Western,natural gas,natural gas,2015,0,0,0,0.402211
Argentina,coal,coal,1975,0.0067365,6.27E-04,0.00131842,6.93E-04
Argentina,coal,coal,2010,0,0,2.44E-04,1.32E-04
Argentina,crude oil,crude oil,1975,0.863201,0.86473,0.76977,0.526752
Argentina,crude oil,crude oil,1990,0.235539,0.232845,0.248007,0.247278
Argentina,crude oil,crude oil,2005,0,0.489795,0.50988,0.507001
Argentina,natural gas,natural gas,1975,0.262478,0,0,0
Argentina,natural gas,natural gas,1990,0.444346,0.433852,0,0
Argentina,natural gas,natural gas,2005,0,1.22834,1.21603,1.12489
Argentina,natural gas,natural gas,2010,0,0,0.284134,0.257436
Australia_NZ,coal,coal,1975,1.84504,0.64452,0,0
Australia_NZ,coal,coal,1990,2.59878,2.56338,2.24605,1.29595
Australia_NZ,coal,coal,2005,0,5.35513,5.57036,6.05513
Australia_NZ,coal,coal,2010,0,0,2.45066,2.61334
Australia_NZ,coal,coal,2015,0,0,0,2.42923
Australia_NZ,crude oil,crude oil,1975,0.878821,0.765143,0.800604,0.487879
Australia_NZ,crude oil,crude oil,1990,0.426509,0.359559,0.421686,0.354205
Australia_NZ,natural gas,natural gas,1975,0.18446,0,0,0
Australia_NZ,natural gas,natural gas,1990,0.688353,0.677813,0,0
Australia_NZ,natural gas,natural gas,2005,0,0.761944,0.750395,0.756235
Australia_NZ,natural gas,natural gas,2010,0,0,1.2996,1.2901
Australia_NZ,natural gas,natural gas,2015,0,0,0,0.49787
Brazil,coal,coal,1975,0.0407086,0.013886,0,0
Brazil,coal,coal,1990,0.0391376,0.0387059,0.0338315,0.0209087
Brazil,coal,coal,2005,0,0.0512555,0.0527615,0.0615178
Brazil,coal,coal,2015,0,0,0,0.0440191
Brazil,crude oil,crude oil,1975,0.369408,0.369509,0.31426,0.221647
Brazil,crude oil,crude oil,1990,1.03705,1.03679,1.05803,1.07896
Brazil,crude oil,crude oil,2005,0,2.24825,2.26013,2.30527
Brazil,crude oil,crude oil,2010,0,0,1.10367,1.10293
Brazil,crude oil,crude oil,2015,0,0,0,0.698511
Brazil,natural gas,natural gas,1975,0.0142791,0,0,0
Brazil,natural gas,natural gas,1990,0.124004,0.122667,0,0
Brazil,natural gas,natural gas,2005,0,0.272253,0.269871,0.271221
Brazil,natural gas,natural gas,2010,0,0,0.274532,0.271746
Brazil,natural gas,natural gas,2015,0,0,0,0.298372
Canada,coal,coal,1975,0.589155,0.204382,0,0
Canada,coal,coal,1990,0.978342,0.96504,0.917116,0.63413
Canada,coal,coal,2005,0,0.275741,0.307998,0.411537
Canada,coal,coal,2010,0,0,0.170612,0.223327
Canada,crude oil,crude oil,1975,3.18303,3.52407,3.45807,2.7944
Canada,crude oil,crude oil,2005,0,0.0257563,0.0270425,0.030938
Canada,crude oil,crude oil,2010,0,0,0.610039,0.684224
Canada,crude oil,crude oil,2015,0,0,0,2.77564
Canada,natural gas,natural gas,1975,2.4768,0,0,0
Canada,natural gas,natural gas,1990,1.20267,1.13496,0,0
Canada,natural gas,natural gas,2005,0,5.30179,5.24557,5.24446
Canada,natural gas,natural gas,2010,0,0,0.243627,0.2387
Canada,natural gas,natural gas,2015,0,0,0,0.247544
Central America and Caribbean,coal,coal,1975,8.16E-05,2.73E-05,0,0
Central America and Caribbean,coal,coal,1990,3.58E-06,3.46E-06,2.80E-06,1.01E-06
Central America and Caribbean,coal,coal,2005,0,5.62E-05,5.65E-05,3.84E-05
Central America and Caribbean,coal,coal,2010,0,0,2.65E-05,1.77E-05
Central America and Caribbean,crude oil,crude oil,1975,0.387075,0.463251,0.407009,0.307739
Central America and Caribbean,crude oil,crude oil,2005,0,0.0626223,0.0554023,0.0572163
Central America and Caribbean,natural gas,natural gas,1975,0.0540747,0,0,0
Central America and Caribbean,natural gas,natural gas,1990,0.14284,0.139507,0,0
Central America and Caribbean,natural gas,natural gas,2005,0,0.988853,0.982393,0.864502
Central America and Caribbean,natural gas,natural gas,2010,0,0,0.574103,0.494178
Central Asia,coal,coal,1975,2.05423,0.696563,0,0
Central Asia,coal,coal,1990,0.647604,0.624244,0.531684,0.304343
Central Asia,coal,coal,2005,0,0.484204,0.498817,0.537111
Central Asia,coal,coal,2010,0,0,1.65643,1.7466
Central Asia,crude oil,crude oil,1975,1.95896,2.19865,2.09556,1.51635
Central Asia,crude oil,crude oil,2005,0,2.10054,2.14611,2.19268
Central Asia,crude oil,crude oil,2010,0,0,2.19455,2.19001
Central Asia,natural gas,natural gas,1975,1.39528,0,0,0
Central Asia,natural gas,natural gas,1990,3.41537,3.36181,0,0
Central Asia,natural gas,natural gas,2005,0,1.67377,1.61943,1.63534
Central Asia,natural gas,natural gas,2010,0,0,3.66051,3.62395
Central Asia,natural gas,natural gas,2015,0,0,0,1.675
China,coal,coal,1975,9.63144,3.37988,0,0
China,coal,coal,1990,11.7928,11.6265,9.98238,5.68443
China,coal,coal,2005,0,36.3124,37.2795,39.7776
China,coal,coal,2010,0,0,23.5626,24.6504
China,coal,coal,2015,0,0,0,7.53514
China,crude oil,crude oil,1975,3.24171,3.25405,2.8953,2.21298
China,crude oil,crude oil,1990,2.58614,2.56742,2.74843,3.0676
China,crude oil,crude oil,2005,0,1.80973,1.90649,2.1265
China,crude oil,crude oil,2010,0,0,1.23389,1.34746
China,crude oil,crude oil,2015,0,0,0,0.181058
China,natural gas,natural gas,1975,0.303309,0,0,0
China,natural gas,natural gas,1990,0.228695,0.219019,0,0
China,natural gas,natural gas,2005,0,1.4994,1.48277,1.49321
China,natural gas,natural gas,2010,0,0,1.91959,1.89777
China,natural gas,natural gas,2015,0,0,0,1.2576
Colombia,coal,coal,1975,0.0975992,0.0333293,0,0
Colombia,coal,coal,1990,0.476615,0.475643,0.415609,0.240432
Colombia,coal,coal,2005,0,1.09667,1.13733,1.23946
Colombia,coal,coal,2010,0,0,0.434137,0.464257
Colombia,coal,coal,2015,0,0,0,0.349112
Colombia,crude oil,crude oil,1975,0.342695,0.345647,0.294499,0.209666
Colombia,crude oil,crude oil,1990,0.627205,0.622678,0.647797,0.672432
Colombia,crude oil,crude oil,2005,0,0.184161,0.188435,0.195769
Colombia,crude oil,crude oil,2010,0,0,0.637815,0.660514
Colombia,crude oil,crude oil,2015,0,0,0,0.447773
Colombia,natural gas,natural gas,1975,0.0522012,0,0,0
Colombia,natural gas,natural gas,1990,0.0879922,0.0857516,0,0
Colombia,natural gas,natural gas,2005,0,0.169036,0.166504,0.168391
Colombia,natural gas,natural gas,2010,0,0,0.233231,0.230917
Colombia,natural gas,natural gas,2015,0,0,0,0.0281789
EU-12,coal,coal,1975,6.64227,2.54035,0,0
EU-12,coal,coal,2005,0,2.02538,2.24466,2.12904
EU-12,coal,coal,2010,0,0,1.6371,1.52007
EU-12,crude oil,crude oil,1975,0.442916,0.392135,0.28713,0.261605
EU-12,natural gas,natural gas,1975,1.2325,0,0,0
EU-12,natural gas,natural gas,2005,0,0.690382,0.632027,0.585137
EU-15,coal,coal,1975,8.60169,3.47769,1.07602,0.50678
EU-15,coal,coal,2005,0,0.162868,0.176066,0.180161
EU-15,coal,coal,2010,0,0,1.65281,1.65626
EU-15,crude oil,crude oil,1975,0.694935,0.712854,0.456712,0.245305
EU-15,crude oil,crude oil,1990,4.41646,4.3958,3.40626,2.54094
EU-15,crude oil,crude oil,2005,0,0.109317,0.0831093,0.0620955
EU-15,natural gas,natural gas,1975,5.51237,0,0,0
EU-15,natural gas,natural gas,2005,0,7.16345,6.02997,3.77474
Europe_Eastern,coal,coal,1975,3.12323,1.00886,0,0
Europe_Eastern,coal,coal,1990,0.499153,0.464913,0.419386,0.160249
Europe_Eastern,coal,coal,2010,0,0,0.99032,0.686599
Europe_Eastern,crude oil,crude oil,1975,0.310959,0.26204,0.232375,0.18067
Europe_Eastern,natural gas,natural gas,1975,0.947334,0,0,0
Europe_Eastern,natural gas,natural gas,2005,0,0.657826,0.657763,0.61472
Europe_Eastern,natural gas,natural gas,2010,0,0,0.00263754,0.00241627
Europe_Non_EU,coal,coal,1975,0.359914,0.124886,0,0
Europe_Non_EU,coal,coal,1990,0.778266,0.770593,0.717313,0.440722
Europe_Non_EU,coal,coal,2005,0,0.0994567,0.108584,0.127959
Europe_Non_EU,coal,coal,2010,0,0,0.436526,0.503591
Europe_Non_EU,crude oil,crude oil,1975,0.308272,0.155461,0.18761,0.199856
Europe_Non_EU,crude oil,crude oil,1990,0.0554195,0.0272604,0.0328374,0.0393318
Europe_Non_EU,natural gas,natural gas,1975,0.0342296,0,0,0
Europe_Non_EU,natural gas,natural gas,1990,0.0706558,0.0694078,0,0
Europe_Non_EU,natural gas,natural gas,2005,0,0.0488685,0.0475615,0.0342813
Europe_Non_EU,natural gas,natural gas,2010,0,0,0.0837891,0.059082
European Free Trade Association,coal,coal,1975,0.0083896,0.00788295,0,0
European Free Trade Association,coal,coal,2005,0,0.0333967,0.0374387,0.0215847
European Free Trade Association,coal,coal,2010,0,0,0.0159726,0.00901632
European Free Trade Association,crude oil,crude oil,1975,0.375444,0.375549,0.240393,0.156366
European Free Trade Association,crude oil,crude oil,1990,3.14813,3.14742,2.40431,2.14982
European Free Trade Association,crude oil,crude oil,2005,0,2.16336,1.47616,1.3015
European Free Trade Association,natural gas,natural gas,1975,0.00705009,0,0,0
European Free Trade Association,natural gas,natural gas,1990,0.996153,0.989685,0,0
European Free Trade Association,natural gas,natural gas,2005,0,2.13437,2.1222,2.14078
European Free Trade Association,natural gas,natural gas,2010,0,0,1.89513,1.87402
European Free Trade Association,natural gas,natural gas,2015,0,0,0,0.220811
India,coal,coal,1975,1.66687,0.581392,0,0
India,coal,coal,1990,2.1907,2.15846,1.88874,1.08689
India,coal,coal,2005,0,4.09023,4.25176,4.60342
India,coal,coal,2010,0,0,2.61234,2.77673
India,coal,coal,2015,0,0,0,2.4025
India,crude oil,crude oil,1975,0.356911,0.364489,0.310614,0.210547
India,crude oil,crude oil,1990,1.13079,1.12103,1.15834,1.14563
India,crude oil,crude oil,2005,0,0.0982824,0.0994395,0.0984931
India,crude oil,crude oil,2010,0,0,0.295919,0.287099
India,natural gas,natural gas,1975,0.0378806,0,0,0
India,natural gas,natural gas,1990,0.401226,0.397937,0,0
India,natural gas,natural gas,2005,0,0.681912,0.672323,0.40183
India,natural gas,natural gas,2010,0,0,1.14992,0.672816
Indonesia,coal,coal,1975,0.00513754,0.00192696,0,0
Indonesia,coal,coal,1990,0.23655,0.235038,0.199133,0.109242
Indonesia,coal,coal,2005,0,3.87138,3.87472,3.92666
Indonesia,coal,coal,2010,0,0,3.58687,3.57742
Indonesia,coal,coal,2015,0,0,0,2.49358
Indonesia,crude oil,crude oil,1975,2.72029,1.95195,1.80781,1.40484
Indonesia,crude oil,crude oil,1990,0.421314,0.294558,0.28572,0.277254
Indonesia,natural gas,natural gas,1975,0.0247891,0,0,0
Indonesia,natural gas,natural gas,1990,1.72549,1.71341,0,0
Indonesia,natural gas,natural gas,2005,0,1.01681,1.00037,0.863724
Indonesia,natural gas,natural gas,2010,0,0,2.17236,1.83331
Japan,coal,coal,1975,0.184696,0.0271015,0.0233175,0.0286912
Japan,coal,coal,2010,0,0,0.00110621,0.00136272
Japan,coal,coal,2015,0,0,0,3.41E-04
Japan,crude oil,crude oil,1975,0.0234178,0.0289675,0.0300354,0.019506
Japan,natural gas,natural gas,1975,0.0796714,0,0,0
Japan,natural gas,natural gas,2005,0,0.120483,0.120188,0.086626
Japan,natural gas,natural gas,2010,0,0,0.0159553,0.0112675
Mexico,coal,coal,1975,0.0723378,0.0246523,0,0
Mexico,coal,coal,1990,0.0823125,0.0817762,0.0716239,0.0307999
Mexico,coal,coal,2005,0,0.189723,0.197277,0.159609
Mexico,coal,coal,2010,0,0,0.0602433,0.0477184
Mexico,crude oil,crude oil,1975,1.73598,1.74684,1.2244,0.750488
Mexico,crude oil,crude oil,1990,4.72004,4.69767,3.95504,3.38749
Mexico,crude oil,crude oil,2005,0,1.85796,1.53013,1.30826
Mexico,natural gas,natural gas,1975,0.45784,0,0,0
Mexico,natural gas,natural gas,1990,0.487458,0.471613,0,0
Mexico,natural gas,natural gas,2005,0,1.12951,1.11152,0.878261
Mexico,natural gas,natural gas,2010,0,0,0.694479,0.537055
Middle East,coal,coal,1975,0.023929,0.00844474,0,0
Middle East,coal,coal,2005,0,0.0351352,0.0311669,0.0348901
Middle East,crude oil,crude oil,1975,36.2878,41.3616,40.9781,36.2969
Middle East,crude oil,crude oil,2005,0,11.5801,11.9511,14.9709
Middle East,crude oil,crude oil,2010,0,0,0.185486,0.227596
Middle East,crude oil,crude oil,2015,0,0,0,6.35359
Middle East,natural gas,natural gas,1975,0.965695,0,0,0
Middle East,natural gas,natural gas,1990,2.18839,2.1127,0,0
Middle East,natural gas,natural gas,2005,0,8.44528,8.33136,8.391
Middle East,natural gas,natural gas,2010,0,0,8.37871,8.27288
Middle East,natural gas,natural gas,2015,0,0,0,3.80038
Pakistan,coal,coal,1975,0.0232849,0.00815011,0,0
Pakistan,coal,coal,1990,0.0220522,0.0215654,0.0154626,0.0123489
Pakistan,coal,coal,2005,0,0.0479085,0.040827,0.0570402
Pakistan,coal,coal,2015,0,0,0,0.00224696
Pakistan,crude oil,crude oil,1975,0.0140721,0.0141214,0.0120127,0.00837404
Pakistan,crude oil,crude oil,1990,0.0997736,0.0995976,0.101741,0.103018
Pakistan,crude oil,crude oil,2005,0,0.0365103,0.0364518,0.0371023
Pakistan,crude oil,crude oil,2010,0,0,9.22E-04,9.19E-04
Pakistan,crude oil,crude oil,2015,0,0,0,0.0483924
Pakistan,natural gas,natural gas,1975,0.145003,0,0,0
Pakistan,natural gas,natural gas,1990,0.273708,0.267426,0,0
Pakistan,natural gas,natural gas,2005,0,0.800183,0.792257,0.696147
Pakistan,natural gas,natural gas,2010,0,0,0.352279,0.302886
Russia,coal,coal,1975,7.95064,3.49042,0,0
Russia,coal,coal,2005,0,3.09366,3.66557,3.68759
Russia,coal,coal,2010,0,0,3.17474,3.12888
Russia,coal,coal,2015,0,0,0,1.44291
Russia,crude oil,crude oil,1975,13.5906,12.2213,12.9154,11.1791
Russia,crude oil,crude oil,1990,8.57426,7.48026,8.9754,10.9389
Russia,crude oil,crude oil,2015,0,0,0,0.18641
Russia,natural gas,natural gas,1975,6.33291,0,0,0
Russia,natural gas,natural gas,1990,15.1352,14.905,0,0
Russia,natural gas,natural gas,2005,0,6.57047,6.34385,6.07432
Russia,natural gas,natural gas,2010,0,0,16.5654,15.5194
South Africa,coal,coal,1975,1.57658,0.549386,0,0
South Africa,coal,coal,1990,2.56298,2.52494,2.29263,1.48088
South Africa,coal,coal,2005,0,2.71256,2.90299,3.55581
South Africa,coal,coal,2010,0,0,0.722959,0.867472
South Africa,coal,coal,2015,0,0,0,0.0565621
South Africa,crude oil,crude oil,2005,0,0.0358549,0.0213489,0.0165115
South Africa,natural gas,natural gas,1990,0.0625159,0.0622717,0,0
South Africa,natural gas,natural gas,2005,0,0.0119996,0.0116614,0.00936491
South Africa,natural gas,natural gas,2010,0,0,0.0418204,0.0328483
South America_Northern,coal,coal,1975,0.00198268,6.70E-04,0,0
