# File: A32.subsector_logit.csv
# Title: Industry default subsector logit exponents
# Units: Unitless
# Column types: ccic 
# ----------
supplysector,subsector,logit.exponent,logit.type
other industrial energy use,biomass,-6,
other industrial energy use,coal,-6,
other industrial energy use,district heat,-6,
other industrial energy use,electricity,-6,
other industrial energy use,gas,-6,
other industrial energy use,hydrogen,-6,
other industrial energy use,refined liquids,-6,
other industrial feedstocks,coal,-6,
other industrial feedstocks,gas,-6,
other industrial feedstocks,refined liquids,-6,
other industry,other industry,-6,
