# File: A327.sector.csv
# Title:  paper sector default supplysector information (units and logit exponents)
# Units: In file
# Column types: ccccicc
# ----------
supplysector,output.unit,input.unit,price.unit,logit.exponent,final.energy,logit.type
paper,Mt,EJ or Mt,1975$/kg,-3,industry,
process heat paper,EJ,EJ,1975$/GJ,-3,industry,
waste biomass for paper,EJ,EJ,1975$/GJ,-3,industry,
