# File: A32.subsector_shrwt.csv
# Title: Industry default subsector shareweights
# Units: Unitless
# Column types: ccccn 
# ----------
supplysector,subsector,year.fillout,year,share.weight
other industrial energy use,biomass,start-year,,1
other industrial energy use,coal,start-year,,1
other industrial energy use,district heat,start-year,,1
other industrial energy use,electricity,start-year,,1
other industrial energy use,hydrogen,start-year,,0
other industrial energy use,hydrogen,2020,,0.25
other industrial energy use,gas,start-year,,1
other industrial energy use,refined liquids,start-year,,1
other industrial feedstocks,coal,start-year,,1
other industrial feedstocks,gas,start-year,,1
other industrial feedstocks,refined liquids,start-year,,1
other industry,other industry,start-year,,1
