# File: WSA_steel_trade_1970_2018.csv
# Title: Steel imports and exports by country
# Units: thousand tons
# Description: Imports and exports of semi-finished and finished steel products (1970-2021)
# Source: World Steel Association Statistical Year Books (1980 1989 1999 2009 2019)
# Column types: ccnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
Country,Metric,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Albania,Exports,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,4,,,,,,,7,17,7,142,173,126,108,139,74,5,3,3,7.887,16.290,63.673
Algeria,Exports,,,,,,,,,,,,,,,,,,,,21,28,31,19,96,64,50,50,50,50,382,406,100,100,100,100,100,100,124,84,10,3,11,23,15,4,1,,1,59,167.90,88.09,1215.59
Angola,Exports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,0.00,0.00,0.00
Argentina,Exports,253,296,364,625,363,41,337,265,616,490,286,590,752,673,542,1111,1175,1064,1570,2220,2022,1336,867,916,913,1364,1328,1524,1657,1738,1856,2105,2556,2173,1676,1919,1473,1411,1277,1294,1113,1118,1026,880,890,471,450,612,129,52.65,20.39,42.85
Armenia,Exports,2.129762354,2.105431912,2.068087514,1.984062618,1.939645417,2.21378725,2.122689551,2.263296869,1.754055074,2,2,2,2,2,2,2,3,3,3,3,2,2,,,,2,12,10,10,1,,,,,,,,,,,,,,,,,3,3,4,0.15,0.05,0.21
Australia,Exports,753,538,1278,1314,1277,2142,2361,2483,2571,1710,1555,1549,1313,1294,900,1400,1203,1115,790,1066,1892,1905,2351,2685,3140,3028,3177,3272,3438,2871,1832,667,996,861,779,722,1164,1223,1421,928,1659,1389,641,631,683,841,776,979,998,1148.81,890.50,711.22
Austria,Exports,1355,1410,1470,1429,1715,1965,2029,2019,2182,2529,2371,2702,2455,2705,3193,3185,2809,3053,3138,3093,3204,2921,2914,2999,3298,3762,3128,3724,4838,4401,4550,5057,5046,5234,5841,6102,6459,6987,7153,5360,6315,7020,6358,6605,7282,7440,7310,7919,7451,7022.27,6371.51,6991.21
Azerbaijan,Exports,0.887400981,0.877263297,0.861703131,0.826692757,0.80818559,0.922411354,0.88445398,0.943040362,0.730856281,1,1,1,1,1,1,1,1,1,1,1,1,1,,,233,18,5,5,5,3,6,,,,,,,22,25,4,23,90,52,50,31,11,124,131,86,33.36,29.86,91.49
Bahrain,Exports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,37,45,41,513,153,540,768,782,665,651.41,883.95,1195.00
Bangladesh,Exports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,12,14,19,26,18,5,4,6,6,5.30,26.12,91.62
