# File: A_regions.csv
# Title: Region-specific assumptions in the energy system
# Units: NA
# Description: Specifies region-specific assumptions in the energy system
# Column types: icicccnicc
# ----------
GCAM_region_ID,region,tradbio_region,ethanol,biodiesel,biomassOil_tech,elect_td_techchange,has_district_heat,region.class,steel_region
1,USA,1,corn ethanol,biodiesel,OilCrop,0.0001,0,A,gas_intensive
2,Africa_Eastern,1,corn ethanol,biodiesel,OilCrop,0.00025,0,E,coal_intensive
3,Africa_Northern,1,corn ethanol,biodiesel,OilCrop,0.00025,0,E,gas_intensive
4,Africa_Southern,1,corn ethanol,biodiesel,OilCrop,0.00025,0,E,coal_intensive
5,Africa_Western,1,corn ethanol,biodiesel,OilCrop,0.00025,0,E,gas_intensive
6,Australia_NZ,1,corn ethanol,biodiesel,OilCrop,0.0001,0,B,gas_intensive
7,Brazil,1,sugar cane ethanol,biodiesel,Soybean,0.00075,0,D,gas_intensive
8,Canada,1,corn ethanol,biodiesel,OilCrop,0.0001,0,B,gas_intensive
9,Central America and Caribbean,1,sugar cane ethanol,biodiesel,OilPalm,0.00075,0,D,gas_intensive
10,Central Asia,1,corn ethanol,biodiesel,OilCrop,0.0001,0,D,gas_intensive
11,China,1,corn ethanol,biodiesel,Soybean,0.0001,1,D,coal_intensive
12,EU-12,1,corn ethanol,biodiesel,OilCrop,0.0001,1,C,gas_intensive
13,EU-15,1,corn ethanol,biodiesel,OilCrop,0.0001,0,C,gas_intensive
14,Ukraine,1,corn ethanol,biodiesel,OilCrop,0.0002,1,D,gas_intensive
15,Europe_Non_EU,1,corn ethanol,biodiesel,OilCrop,0.0002,1,C,gas_intensive
16,European Free Trade Association,1,corn ethanol,biodiesel,OilCrop,0.0001,0,C,gas_intensive
17,India,1,corn ethanol,biodiesel,Soybean,0.002,0,E,coal_intensive
18,Indonesia,1,sugar cane ethanol,biodiesel,OilPalm,0.00025,0,E,coal_intensive
19,Japan,1,corn ethanol,biodiesel,Soybean,0.0001,0,D,gas_intensive
20,Mexico,1,corn ethanol,biodiesel,OilCrop,0.00075,0,D,gas_intensive
21,Middle East,1,corn ethanol,biodiesel,OilCrop,0.0004,0,D,gas_intensive
22,Pakistan,1,corn ethanol,biodiesel,OilCrop,0.00025,0,E,coal_intensive
23,Russia,1,corn ethanol,biodiesel,OilCrop,0.0004,1,D,gas_intensive
24,South Africa,1,corn ethanol,biodiesel,OilCrop,0.00025,0,E,coal_intensive
25,South America_Northern,1,sugar cane ethanol,biodiesel,OilPalm,0.00075,0,D,gas_intensive
26,South America_Southern,1,corn ethanol,biodiesel,Soybean,0.00075,0,D,gas_intensive
27,South Asia,1,corn ethanol,biodiesel,OilCrop,0.00025,0,E,coal_intensive
28,South Korea,1,corn ethanol,biodiesel,Soybean,0.0001,0,D,gas_intensive
29,Southeast Asia,1,sugar cane ethanol,biodiesel,OilPalm,0.00025,0,E,coal_intensive
30,Taiwan,1,sugar cane ethanol,biodiesel,OilPalm,0.0001,0,D,gas_intensive
31,Argentina,1,corn ethanol,biodiesel,Soybean,0.00075,0,D,gas_intensive
32,Colombia,1,sugar cane ethanol,biodiesel,OilCrop,0.00075,0,D,coal_intensive
