# File: aluminum_energy_region_IAA.csv
# Title: Aluminum and alumina energy by IAA region
# Units: EJ
# Description: Regional aluminum energy consumption
# Source: World aluminum Association
# Column types: ciccnc
# ----------
flow,year,IAA_region,fuel,value,unit
Aluminum,1980,Africa,electricity,0.0259524,EJ
Aluminum,1981,Africa,electricity,0.0283752,EJ
Aluminum,1982,Africa,electricity,0.0290088,EJ
Aluminum,1983,Africa,electricity,0.0246672,EJ
Aluminum,1984,Africa,electricity,0.0236196,EJ
Aluminum,1985,Africa,electricity,0.0279972,EJ
Aluminum,1986,Africa,electricity,0.0319752,EJ
Aluminum,1987,Africa,electricity,0.0326952,EJ
Aluminum,1988,Africa,electricity,0.0336276,EJ
Aluminum,1989,Africa,electricity,0.0344052,EJ
Aluminum,1990,Africa,electricity,0.0337536,EJ
Aluminum,1991,Africa,electricity,0.0340776,EJ
Aluminum,1992,Africa,electricity,0.034236,EJ
Aluminum,1993,Africa,electricity,0.0349416,EJ
Aluminum,1994,Africa,electricity,0.032634,EJ
Aluminum,1995,Africa,electricity,0.0358776,EJ
Aluminum,1996,Africa,electricity,0.0558072,EJ
Aluminum,1997,Africa,electricity,0.0601776,EJ
Aluminum,1998,Africa,electricity,0.0562896,EJ
Aluminum,1999,Africa,electricity,0.0584604,EJ
Aluminum,2000,Africa,electricity,0.0639288,EJ
Aluminum,2001,Africa,electricity,0.0738036,EJ
Aluminum,2002,Africa,electricity,0.0724104,EJ
Aluminum,2003,Africa,electricity,0.07434,EJ
Aluminum,2004,Africa,electricity,0.0885168,EJ
Aluminum,2005,Africa,electricity,0.0893772,EJ
Aluminum,2006,Africa,electricity,0.098172,EJ
Aluminum,2007,Africa,electricity,0.095508,EJ
Aluminum,2008,Africa,electricity,0.091404,EJ
Aluminum,2009,Africa,electricity,0.0891972,EJ
Aluminum,2010,Africa,electricity,0.07569,EJ
Aluminum,2011,Africa,electricity,0.0766116,EJ
Aluminum,2012,Africa,electricity,0.0704484,EJ
Aluminum,2013,Africa,electricity,0.0832536,EJ
Aluminum,2014,Africa,electricity,0.0736596,EJ
Aluminum,2015,Africa,electricity,0.0838368,EJ
Aluminum,1980,Asia (ex China),electricity,0.0886536,EJ
Aluminum,1981,Asia (ex China),electricity,0.07542,EJ
Aluminum,1982,Asia (ex China),electricity,0.0596196,EJ
Aluminum,1983,Asia (ex China),electricity,0.0601704,EJ
Aluminum,1984,Asia (ex China),electricity,0.0708012,EJ
Aluminum,1985,Asia (ex China),electricity,0.07002,EJ
Aluminum,1986,Asia (ex China),electricity,0.0622332,EJ
Aluminum,1987,Asia (ex China),electricity,0.0528588,EJ
Aluminum,1988,Asia (ex China),electricity,0.0581364,EJ
Aluminum,1989,Asia (ex China),electricity,0.0638352,EJ
Aluminum,1990,Asia (ex China),electricity,0.0643284,EJ
Aluminum,1991,Asia (ex China),electricity,0.0708588,EJ
Aluminum,1992,Asia (ex China),electricity,0.0799956,EJ
Aluminum,1993,Asia (ex China),electricity,0.0870264,EJ
Aluminum,1994,Asia (ex China),electricity,0.0907452,EJ
Aluminum,1995,Asia (ex China),electricity,0.0946872,EJ
Aluminum,1996,Asia (ex China),electricity,0.088524,EJ
Aluminum,1997,Asia (ex China),electricity,0.0975492,EJ
Aluminum,1998,Asia (ex China),electricity,0.0936504,EJ
Aluminum,1999,Asia (ex China),electricity,0.0967176,EJ
Aluminum,2000,Asia (ex China),electricity,0.1029456,EJ
Aluminum,2001,Asia (ex China),electricity,0.1078668,EJ
Aluminum,2002,Asia (ex China),electricity,0.106398,EJ
Aluminum,2003,Asia (ex China),electricity,0.1067328,EJ
Aluminum,2004,Asia (ex China),electricity,0.1320084,EJ
Aluminum,2005,Asia (ex China),electricity,0.1447956,EJ
Aluminum,2006,Asia (ex China),electricity,0.1682568,EJ
Aluminum,2007,Asia (ex China),electricity,0.1750536,EJ
Aluminum,2008,Asia (ex China),electricity,0.2032812,EJ
Aluminum,2009,Asia (ex China),electricity,0.1993608,EJ
Aluminum,2010,Asia (ex China),electricity,0.1030896,EJ
Aluminum,2011,Asia (ex China),electricity,0.1711296,EJ
Aluminum,2012,Asia (ex China),electricity,0.0329292,EJ
Aluminum,2013,Asia (ex China),electricity,0.0490536,EJ
Aluminum,2014,Asia (ex China),electricity,0.0588348,EJ
Aluminum,2015,Asia (ex China),electricity,0.1184004,EJ
Aluminum,1980,China,electricity,0,EJ
Aluminum,1981,China,electricity,0,EJ
Aluminum,1982,China,electricity,0,EJ
Aluminum,1983,China,electricity,0,EJ
Aluminum,1984,China,electricity,0,EJ
Aluminum,1985,China,electricity,0,EJ
Aluminum,1986,China,electricity,0,EJ
Aluminum,1987,China,electricity,0,EJ
Aluminum,1988,China,electricity,0,EJ
Aluminum,1989,China,electricity,0,EJ
Aluminum,1990,China,electricity,0,EJ
Aluminum,1991,China,electricity,0,EJ
Aluminum,1992,China,electricity,0,EJ
Aluminum,1993,China,electricity,0,EJ
Aluminum,1994,China,electricity,0,EJ
Aluminum,1995,China,electricity,0.0946008,EJ
Aluminum,1996,China,electricity,0.10242,EJ
Aluminum,1997,China,electricity,0.1161756,EJ
Aluminum,1998,China,electricity,0.1327968,EJ
Aluminum,1999,China,electricity,0.1459332,EJ
Aluminum,2000,China,electricity,0.1556928,EJ
Aluminum,2001,China,electricity,0.1877364,EJ
Aluminum,2002,China,electricity,0.2389644,EJ
Aluminum,2003,China,electricity,0.3000564,EJ
Aluminum,2004,China,electricity,0.3562452,EJ
Aluminum,2005,China,electricity,0.4095504,EJ
Aluminum,2006,China,electricity,0.4946472,EJ
Aluminum,2007,China,electricity,0.6544188,EJ
Aluminum,2008,China,electricity,0.6985296,EJ
Aluminum,2009,China,electricity,0.6980976,EJ
Aluminum,2010,China,electricity,0.872172,EJ
Aluminum,2011,China,electricity,1.0053432,EJ
Aluminum,2012,China,electricity,1.1729016,EJ
Aluminum,2013,China,electricity,1.3124772,EJ
Aluminum,2014,China,electricity,1.3859928,EJ
Aluminum,2015,China,electricity,1.5388092,EJ
Aluminum,1980,Europe,electricity,0.215928,EJ
Aluminum,1981,Europe,electricity,0.2117556,EJ
Aluminum,1982,Europe,electricity,0.1951092,EJ
Aluminum,1983,Europe,electricity,0.1955916,EJ
Aluminum,1984,Europe,electricity,0.2039544,EJ
Aluminum,1985,Europe,electricity,0.1948932,EJ
Aluminum,1986,Europe,electricity,0.1986408,EJ
Aluminum,1987,Europe,electricity,0.1993464,EJ
Aluminum,1988,Europe,electricity,0.2030148,EJ
Aluminum,1989,Europe,electricity,0.2065032,EJ
Aluminum,1990,Europe,electricity,0.203778,EJ
Aluminum,1991,Europe,electricity,0.198288,EJ
Aluminum,1992,Europe,electricity,0.1837404,EJ
Aluminum,1993,Europe,electricity,0.1788012,EJ
Aluminum,1994,Europe,electricity,0.1726452,EJ
Aluminum,1995,Europe,electricity,0.1772676,EJ
Aluminum,1996,Europe,electricity,0.1892916,EJ
Aluminum,1997,Europe,electricity,0.1953756,EJ
Aluminum,1998,Europe,electricity,0.2142684,EJ
Aluminum,1999,Europe,electricity,0.219006,EJ
Aluminum,2000,Europe,electricity,0.225666,EJ
Aluminum,2001,Europe,electricity,0.2312856,EJ
Aluminum,2002,Europe,electricity,0.2372112,EJ
Aluminum,2003,Europe,electricity,0.243954,EJ
Aluminum,2004,Europe,electricity,0.3106872,EJ
Aluminum,2005,Europe,electricity,0.4542876,EJ
Aluminum,2006,Europe,electricity,0.46854,EJ
Aluminum,2007,Europe,electricity,0.496908,EJ
Aluminum,2008,Europe,electricity,0.5248584,EJ
Aluminum,2009,Europe,electricity,0.4380444,EJ
Aluminum,2010,Europe,electricity,0.4574052,EJ
Aluminum,2011,Europe,electricity,0.4179636,EJ
Aluminum,2012,Europe,electricity,0.4455108,EJ
Aluminum,2013,Europe,electricity,0.4157136,EJ
Aluminum,2014,Europe,electricity,0.4078044,EJ
Aluminum,2015,Europe,electricity,0.4424616,EJ
Aluminum,1980,GCC,electricity,0,EJ
Aluminum,1981,GCC,electricity,0,EJ
Aluminum,1982,GCC,electricity,0,EJ
Aluminum,1983,GCC,electricity,0,EJ
Aluminum,1984,GCC,electricity,0,EJ
Aluminum,1985,GCC,electricity,0,EJ
Aluminum,1986,GCC,electricity,0,EJ
Aluminum,1987,GCC,electricity,0,EJ
Aluminum,1988,GCC,electricity,0,EJ
Aluminum,1989,GCC,electricity,0,EJ
Aluminum,1990,GCC,electricity,0,EJ
Aluminum,1991,GCC,electricity,0,EJ
Aluminum,1992,GCC,electricity,0,EJ
Aluminum,1993,GCC,electricity,0,EJ
Aluminum,1994,GCC,electricity,0,EJ
Aluminum,1995,GCC,electricity,0,EJ
Aluminum,1996,GCC,electricity,0,EJ
Aluminum,1997,GCC,electricity,0,EJ
Aluminum,1998,GCC,electricity,0,EJ
Aluminum,1999,GCC,electricity,0,EJ
Aluminum,2000,GCC,electricity,0,EJ
Aluminum,2001,GCC,electricity,0,EJ
Aluminum,2002,GCC,electricity,0,EJ
Aluminum,2003,GCC,electricity,0,EJ
Aluminum,2004,GCC,electricity,0,EJ
Aluminum,2005,GCC,electricity,0,EJ
Aluminum,2006,GCC,electricity,0,EJ
Aluminum,2007,GCC,electricity,0,EJ
Aluminum,2008,GCC,electricity,0,EJ
Aluminum,2009,GCC,electricity,0,EJ
Aluminum,2010,GCC,electricity,0,EJ
Aluminum,2011,GCC,electricity,0,EJ
Aluminum,2012,GCC,electricity,0.1334736,EJ
Aluminum,2013,GCC,electricity,0.1398168,EJ
Aluminum,2014,GCC,electricity,0.2076048,EJ
Aluminum,2015,GCC,electricity,0.22779,EJ
Aluminum,1980,North America,electricity,0.359892,EJ
Aluminum,1981,North America,electricity,0.343422,EJ
Aluminum,1982,North America,electricity,0.2655936,EJ
