# File: A54.sector.csv
# Title: Transportation sector default supplysector information (units and logit exponents)
# Units: Unitless
# Column types: ccccicccc 
# ----------
supplysector,output.unit,input.unit,price.unit,logit.exponent,final.energy,logit.factor,energy.final.demand,logit.type
trn_aviation_intl,billion pass-km,EJ,1975$/pass-km,-3,transportation,,trn_aviation_intl,
trn_freight,billion ton-km,EJ,1975$/ton-km,-2,transportation,road / rail / air / ship,trn_freight,
trn_freight_road,billion ton-km,EJ,1975$/ton-km,-1,transportation,truck size classes,trn_freight,
trn_pass,billion pass-km,EJ,1975$/pass-km,-2,transportation,ldv / bus,trn_pass,
trn_pass_road,billion pass-km,EJ,1975$/pass-km,-4,transportation,light bus / heavy bus,trn_pass,
trn_pass_road_bus,billion pass-km,EJ,1975$/pass-km,-4,transportation,2W / 3W / 4W,trn_pass,
trn_pass_road_LDV,billion pass-km,EJ,1975$/pass-km,-4,transportation,moped / motorcycle size classes,trn_pass,
trn_pass_road_LDV_2W,billion pass-km,EJ,1975$/pass-km,-6,transportation,car / light truck size classes,trn_pass,
trn_pass_road_LDV_4W,billion pass-km,EJ,1975$/pass-km,-6,transportation,rail / air / road / hsr,trn_pass,absolute-cost-logit
trn_shipping_intl,billion ton-km,EJ,1975$/ton-km,-3,transportation,,trn_shipping_intl,
