# File: Andrew_cement_production.csv
# Title: Andrew historical cement production
# Units: kt cement
# Description: Historical cement production 1880 - 2024 by country, energy use, energy intensity, process-based emissions, energy-use emissions, and total emissions
# Source: 1. annual_cement_production.csv from https://zenodo.org/records/14931651 documented here https://essd.copernicus.org/articles/11/1675/2019/
# Column types: ncccc
# ----------
Year,AFG,ALB,DZA,AND,AGO,AIA,ATA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BES,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CAN,CPV,CYM,CAF,TCD,CHL,CHN,CXR,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CUW,CYP,CZE,CSK,PRK,COD,VDR,DNK,DJI,DMA,DOM,East & West Pakistan,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FRO,FLK,DEW,FSM,Federation of Malaya-Singapore,FJI,FIN,YMD,DDR,PCZ,YEM (886),FRA,French Equatorial Africa,GUF,French Indo-China,PYF,French West Africa,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRL,GRD,GLP,GTM,GIN,GNB,GUY,HTI,HND,HKG,HUN,ISL,IND,IDN,IRQ,IRL,IRN,ISR,ITA,JAM,JPN,Japan (Excluding The Ruyuku Islands),JOR,KAZ,KEN,KIR,KSV,KWT,Kuwaiti Oil Fires,KGZ,LAO,LVA,LBN,Leeward Islands,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MKD,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MTQ,MRT,MUS,MEX,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,ANT,Netherland Antilles and Aruba,NLD,NCL,NZL,NIC,NER,NGA,NIU,NOR,PSE,OMN,Pacific Islands (Palau),PAK,PLW,PAN,PNG,PRY,Peninsular Malaysia,PER,PHL,BOL,POL,PRT,QAT,CMR,KOR,MDA,SSD,Republic of South Vietnam,SDN (729),REU,Rhodesia-Nyasaland,ROU,RUS,RWA,Rwanda-Urundi,Ryukyu Islands,Sabah,SHN,LCA,SXM,WSM,STP,Sarawak,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,KNA (659),KNA (658),SPM,VCT,SDN (736),SUR,SWZ,SWE,CHE,SYR,TWN,TJK,Tanganyika,THA,TLS,TGO,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,United Korea,TZA,USA,URY,SUN,UZB,VUT,VEN,VNM,WLF,YEM (887),YUG,SCG,ZMB,Zanzibar,ZWE
1880,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,331.198665,,,,,,,,,,,,,
1881,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,399.430501,,,,,,,,,,,,,
1882,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,519.259652,,,,,,,,,,,,,
1883,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,669.44552,,,,,,,,,,,,,
1884,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,639.088802,,,,,,,,,,,,,
1885,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,0,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,663.054632,,,,,,,,,,,,,
1886,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,718.974902,,,,,,,,,,,,,
1887,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,1069.314436,,,,,,,,,,,,,
1888,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,1039.045753,,,,,,,,,,,,,
1889,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,1118.405404,,,,,,,,,,,,,
