# File: A10.ResReserveTechProfitShutdown.csv
# Title: Resource profit shutdown to characterize a well / mine's ability scale back production under unprofitable conditions
# Units: NA
# Column types: cccnn
# ----------
resource,reserve.subresource,resource.reserve.technology,median.shutdown.point,profit.shutdown.steepness
coal,coal,coal,0.3,9
crude oil,crude oil,crude oil,0.3,9
natural gas,natural gas,natural gas,0.3,9
crude oil,unconventional oil,unconventional oil,0.3,9
