# File: A23.globalinttech.csv
# Title: Electricity sector intermittent technology information
# Units: unitless for value factor intercept and slope
# Description: parameters used to calculate a value factor for variable techs (bounds = (0;1))
# Column types: cccccnn 
# ----------
supplysector,subsector,intermittent.technology,electric.sector.name,trial.market.name,value.factor.intercept,value.factor.slope
electricity,wind,wind,electricity,wind,0.91,-1.2
electricity,solar,PV,electricity,solar,0.972,-1.443
electricity,solar,CSP,electricity,solar,0.972,-1.443
elect_td_bld,rooftop_pv,rooftop_pv,electricity,solar,0.972,-1.443
electricity,wind,wind_offshore,electricity,wind,0.946,-1.661
