# File: en_aluminum.csv
# Title: aluminum energy use by region
# Units: EJ
# Description: Regional aluminum energy consumption
# Source: IAI
# Column types: cicnic
# ----------
region,GCAM_region_ID,fuel,value,year,unit
USA,1,biomass_tradbio,0,1990,EJ
USA,1,biomass_tradbio,0,1991,EJ
USA,1,biomass_tradbio,0,1992,EJ
USA,1,biomass_tradbio,0,1993,EJ
USA,1,biomass_tradbio,0,1994,EJ
USA,1,biomass_tradbio,0,1995,EJ
USA,1,biomass_tradbio,0,1996,EJ
USA,1,biomass_tradbio,0,1997,EJ
USA,1,biomass_tradbio,0,1998,EJ
USA,1,biomass_tradbio,0,1999,EJ
USA,1,biomass_tradbio,0,2000,EJ
USA,1,biomass_tradbio,0,2001,EJ
USA,1,biomass_tradbio,0,2003,EJ
USA,1,biomass_tradbio,0,2004,EJ
USA,1,biomass_tradbio,0,2005,EJ
USA,1,biomass_tradbio,0,2006,EJ
USA,1,biomass_tradbio,0.005270202,2007,EJ
USA,1,biomass_tradbio,0.005447566,2008,EJ
USA,1,biomass_tradbio,0.003994209,2009,EJ
USA,1,biomass_tradbio,0.004048315,2010,EJ
USA,1,biomass_tradbio,0.004919882,2011,EJ
USA,1,biomass_tradbio,0.006127425,2013,EJ
USA,1,biomass_tradbio,0.005512953,2014,EJ
USA,1,biomass_tradbio,0.004767866,2015,EJ
Africa_Northern,3,biomass_tradbio,0.000268695,1990,EJ
Africa_Northern,3,biomass_tradbio,0,1991,EJ
Africa_Northern,3,biomass_tradbio,0,1992,EJ
Africa_Northern,3,biomass_tradbio,1.19303E-05,1993,EJ
Africa_Northern,3,biomass_tradbio,2.04655E-05,1994,EJ
Africa_Northern,3,biomass_tradbio,3.4972E-05,1995,EJ
Africa_Northern,3,biomass_tradbio,3.13454E-05,1996,EJ
Africa_Northern,3,biomass_tradbio,6.84553E-05,1997,EJ
Africa_Northern,3,biomass_tradbio,3.13409E-05,1998,EJ
Africa_Northern,3,biomass_tradbio,3.47246E-05,1999,EJ
Africa_Northern,3,biomass_tradbio,2.48631E-05,2000,EJ
Africa_Northern,3,biomass_tradbio,0,2001,EJ
Africa_Northern,3,biomass_tradbio,0,2003,EJ
Africa_Northern,3,biomass_tradbio,0,2004,EJ
Africa_Northern,3,biomass_tradbio,4.71371E-05,2005,EJ
Africa_Northern,3,biomass_tradbio,0.00016341,2006,EJ
Africa_Northern,3,biomass_tradbio,0.000185978,2007,EJ
Africa_Northern,3,biomass_tradbio,0.00018918,2008,EJ
Africa_Northern,3,biomass_tradbio,0.000120093,2009,EJ
Africa_Northern,3,biomass_tradbio,0.000251474,2010,EJ
Africa_Northern,3,biomass_tradbio,0.000199787,2011,EJ
Africa_Northern,3,biomass_tradbio,0.000213871,2013,EJ
Africa_Northern,3,biomass_tradbio,0.000177049,2014,EJ
Africa_Northern,3,biomass_tradbio,0.000200611,2015,EJ
Africa_Southern,4,biomass_tradbio,6.95652E-06,2000,EJ
