# File: NREL_ATB_capital.csv
# Title: Technology overnight capital cost assumptions by year from NREL 2019 ATB
# Units: $2015/kW for 2015-2016; $2017/kW for 2017-2050
# Source: NREL 2019 Annual Technology Baseline for 2017-2050 (https://atb.nrel.gov/electricity/2019/files/2019-ATB-data.xlsm); NREL 2017 Annual Technology Baseline for 2015-2016 (https://data.nrel.gov/files/71/2017-ATB-data.xlsm)
# Comments: tech_type corresponds to tab within the ATB workbooks; tech_detail corresponds to the more detailed technologies within those tabs.
# Users can specify how ATB technologies are mapped to GCAM technologies in energy/mappings/atb_gcam_mapping.csv.
# Column types: ccccnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn 
# ----------
tech_type,tech_detail,input,case,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Offshore Wind,TRG 1 - Low,capital,adv tech,3535,3269,2986,2312,2238,2166,2096,2029,1964,1901,1840,1781,1724,1669,1615,1563,1513,1464,1417,1372,1328,1285,1244,1204,1166,1128,1092,1057,1023,990,958,928,898,869,841,814
Offshore Wind,TRG 1 - Mid,capital,central,3535,3395,2986,2890,2797,2707,2621,2536,2455,2376,2300,2226,2155,2086,2019,1954,1891,1831,1772,1715,1660,1607,1555,1505,1457,1410,1365,1321,1279,1238,1198,1160,1122,1086,1051,1018
Offshore Wind,TRG 1 - Constant,capital,low tech,3535,3535,2986,2986,2986,2986,2986,2986,2986,2986,2986,2986,2986,2986,2986,2986,2986,2986,2986,2986,2986,2986,2986,2986,2986,2986,2986,2986,2986,2986,2986,2986,2986,2986,2986,2986
Offshore Wind,TRG 2 - Low,capital,adv tech,3577,3308,3069,2376,2300,2226,2155,2085,2019,1954,1891,1830,1772,1715,1660,1607,1555,1505,1457,1410,1365,1321,1279,1238,1198,1159,1122,1086,1051,1018,985,953,923,893,865,837
Offshore Wind,TRG 2 - Mid,capital,central,3577,3436,3069,2970,2875,2783,2693,2607,2523,2442,2364,2288,2215,2144,2075,2008,1944,1881,1821,1763,1706,1651,1598,1547,1497,1449,1403,1358,1314,1272,1231,1192,1153,1116,1081,1046
Offshore Wind,TRG 2 - Constant,capital,low tech,3577,3577,3069,3069,3069,3069,3069,3069,3069,3069,3069,3069,3069,3069,3069,3069,3069,3069,3069,3069,3069,3069,3069,3069,3069,3069,3069,3069,3069,3069,3069,3069,3069,3069,3069,3069
Offshore Wind,TRG 3 - Low,capital,adv tech,3631,3355,3162,2448,2370,2293,2220,2149,2080,2013,1948,1886,1825,1767,1710,1655,1602,1551,1501,1453,1406,1361,1317,1275,1234,1195,1156,1119,1083,1048,1015,982,951,920,891,862
Offshore Wind,TRG 3 - Mid,capital,central,3631,3485,3162,3060,2962,2867,2775,2686,2600,2516,2435,2357,2282,2208,2138,2069,2003,1938,1876,1816,1758,1701,1647,1594,1543,1493,1445,1399,1354,1311,1269,1228,1188,1150,1113,1078
Offshore Wind,TRG 3 - Constant,capital,low tech,3631,3631,3162,3162,3162,3162,3162,3162,3162,3162,3162,3162,3162,3162,3162,3162,3162,3162,3162,3162,3162,3162,3162,3162,3162,3162,3162,3162,3162,3162,3162,3162,3162,3162,3162,3162
Offshore Wind,TRG 4 - Low,capital,adv tech,3920,3617,3434,2659,2573,2491,2411,2334,2259,2186,2116,2048,1982,1919,1857,1798,1740,1684,1630,1578,1527,1478,1431,1385,1340,1297,1256,1215,1176,1139,1102,1067,1033,999,967,936
Offshore Wind,TRG 4 - Mid,capital,central,3920,3759,3434,3323,3217,3114,3014,2917,2823,2733,2645,2560,2478,2399,2322,2247,2175,2105,2038,1972,1909,1848,1788,1731,1675,1622,1570,1519,1471,1423,1378,1333,1291,1249,1209,1170
Offshore Wind,TRG 4 - Constant,capital,low tech,3920,3920,3434,3434,3434,3434,3434,3434,3434,3434,3434,3434,3434,3434,3434,3434,3434,3434,3434,3434,3434,3434,3434,3434,3434,3434,3434,3434,3434,3434,3434,3434,3434,3434,3434,3434
Offshore Wind,TRG 5 - Low,capital,adv tech,4383,4049,3650,2827,2736,2648,2563,2481,2401,2324,2250,2178,2108,2040,1975,1911,1850,1791,1733,1677,1624,1572,1521,1472,1425,1379,1335,1292,1251,1211,1172,1134,1098,1063,1028,995
Offshore Wind,TRG 5 - Mid,capital,central,4383,4204,3650,3533,3420,3310,3204,3101,3002,2905,2812,2722,2635,2550,2468,2389,2312,2238,2166,2097,2030,1964,1901,1840,1781,1724,1669,1615,1563,1513,1465,1418,1372,1328,1286,1244
Offshore Wind,TRG 5 - Constant,capital,low tech,4383,4383,3650,3650,3650,3650,3650,3650,3650,3650,3650,3650,3650,3650,3650,3650,3650,3650,3650,3650,3650,3650,3650,3650,3650,3650,3650,3650,3650,3650,3650,3650,3650,3650,3650,3650
Offshore Wind,TRG 6 - Low,capital,adv tech,5400,5028,4469,3427,3284,3148,3017,2892,2772,2657,2546,2441,2339,2242,2149,2060,1974,1892,1813,1738,1666,1597,1530,1467,1406,1347,1291,1238,1186,1137,1090,1045,1001,960,920,882
Offshore Wind,TRG 6 - Mid,capital,central,5400,5206,4469,4284,4106,3935,3772,3615,3465,3321,3183,3051,2924,2802,2686,2574,2468,2365,2267,2173,2082,1996,1913,1833,1757,1684,1614,1547,1483,1421,1362,1306,1252,1200,1150,1102
Offshore Wind,TRG 6 - Constant,capital,low tech,5400,5400,4469,4469,4469,4469,4469,4469,4469,4469,4469,4469,4469,4469,4469,4469,4469,4469,4469,4469,4469,4469,4469,4469,4469,4469,4469,4469,4469,4469,4469,4469,4469,4469,4469,4469
Offshore Wind,TRG 7 - Low,capital,adv tech,5476,5090,4352,3337,3198,3065,2938,2816,2699,2587,2479,2376,2278,2183,2092,2006,1922,1842,1766,1692,1622,1555,1490,1428,1369,1312,1258,1205,1155,1107,1061,1017,975,934,896,858
Offshore Wind,TRG 7 - Mid,capital,central,5476,5274,4352,4171,3998,3832,3673,3520,3374,3234,3099,2971,2847,2729,2616,2507,2403,2303,2207,2116,2028,1944,1863,1785,1711,1640,1572,1507,1444,1384,1327,1272,1219,1168,1120,1073
Offshore Wind,TRG 7 - Constant,capital,low tech,5476,5476,4352,4352,4352,4352,4352,4352,4352,4352,4352,4352,4352,4352,4352,4352,4352,4352,4352,4352,4352,4352,4352,4352,4352,4352,4352,4352,4352,4352,4352,4352,4352,4352,4352,4352
Offshore Wind,TRG 8 - Low,capital,adv tech,5561,5168,4363,3345,3206,3073,2946,2823,2706,2594,2486,2383,2284,2189,2098,2011,1927,1847,1770,1697,1626,1559,1494,1432,1372,1315,1261,1208,1158,1110,1064,1020,977,937,898,861
Offshore Wind,TRG 8 - Mid,capital,central,5561,5355,4363,4182,4008,3842,3682,3529,3382,3242,3107,2978,2854,2736,2622,2513,2409,2309,2213,2121,2033,1948,1867,1790,1716,1644,1576,1511,1448,1388,1330,1275,1222,1171,1122,1076
Offshore Wind,TRG 8 - Constant,capital,low tech,5561,5561,4363,4363,4363,4363,4363,4363,4363,4363,4363,4363,4363,4363,4363,4363,4363,4363,4363,4363,4363,4363,4363,4363,4363,4363,4363,4363,4363,4363,4363,4363,4363,4363,4363,4363
Offshore Wind,TRG 9 - Low,capital,adv tech,5706,5292,4522,3468,3324,3185,3053,2926,2805,2688,2577,2470,2367,2269,2174,2084,1998,1915,1835,1759,1686,1616,1549,1484,1423,1363,1307,1253,1201,1151,1103,1057,1013,971,931,892
