# File: Smith_irradiance_ctry_kwh.csv
# Title: Average and direct normal irradiance suitable for weighting regional solar capacity
# Units: kwh/m2/day for Irradiance; m2 for area
iso,irradiance,irradiance.area,dni,dni.area
alb,50154.0812,10425.25419,84.48033402,587.2318832
dza,14677270.47,2447419.771,1797424.65,13621828.66
ago,4315824.764,722618.6436,19919.16274,120980.163
arg,11616469.63,2297929.481,49205.31873,377591.7221
arm,134048.3973,28183.47589,0,0
aus,42547880.57,7111885.327,4989226.539,39128258.25
aut,110557.9097,31155.40077,0,0
aze,299471.02,65796.23172,423.6459537,2407.939384
bhr,16623.90337,2779.916952,211.8402498,1633.577824
bgd,115788.3489,23221.8276,2.291495743,13.2367311
blr,103578.0673,32813.16425,0,0
bel,20499.72966,6592.793713,0,0
ben,568469.4759,100251.4315,0,0
bol,3756828.356,650692.271,321.5079216,2371.153106
bih,87073.0809,21069.95495,0,0
bwa,3742535.129,602899.5835,53085.37854,409097.4075
bra,17162834.75,3204326.322,39840.01991,236865.8426
brn,15792.02513,3035.719788,167.9802781,864.2287043
bgr,177406.5931,42814.83405,62.87061595,311.9311498
khm,139677.7427,26939.16968,1.524934466,8.573165978
cmr,1996529.636,363869.0679,7255.498067,38416.05149
can,15174514.18,5385759.443,802.3633949,4180.619473
chl,3400060.366,738582.996,19138.04253,153291.9488
chn,37413024.59,7182402.611,1525948.364,10958639.9
col,2971202.79,625385.571,2241.613102,12574.17332
cog,617813.1693,135042.0966,371.9690787,1752.95375
cod,3152242.413,592698.3765,34971.62743,188047.8049
cri,141821.2464,27065.78239,137.3558074,856.1912028
civ,1131355.646,220418.9829,0.096802778,0.507925046
hrv,229968.6331,52977.40099,64.83240365,441.9904584
cub,531312.6185,91540.20525,2656.051159,17913.55174
cyp,6317.601494,1099.339983,4677.246036,35033.29086
cze,50489.94184,15542.32817,0,0
dnk,49881.0281,16039.22054,0,0
dma,209117.464,37066.13315,810.6755431,5904.530334
ecu,506137.3597,110617.8004,4101.527759,29470.59378
egy,6300378.797,1000261.013,489146.4431,3861340.561
slv,86620.81584,14435.17649,0,0
eri,1104079.745,179448.6623,47059.01314,318336.0163
est,35782.09849,11241.88163,0,0
eth,6432891.21,1078352.921,275054.3423,1807439.798
fin,120458.4718,46341.86639,0,0
fra,674551.6751,174667.3814,1841.03316,10964.92338
mkd,22279.94084,5023.159076,0,0
gab,324255.5797,72234.47879,310.2714502,1419.0789
geo,167402.782,39288.82134,0,0
deu,275542.1874,90611.61459,0,0
gha,1021399.642,191894.4636,0,0
gib,12428.66575,2349.464226,0,0
grc,445392.8955,94115.53667,10635.90516,78832.57909
gtm,265783.9966,47653.65746,0,0
hti,135067.9206,22739.11265,446.6394008,3451.520256
hnd,220658.0396,42359.9915,179.6815461,1084.591538
hkg,26196.69996,6559.312917,379.7787645,1447.604518
hun,95153.15525,25605.30321,0,0
