# File: A325.globaltech_eff.csv
# Title: Chemical default efficiencies
# Units: Unitless
# Column types: cccccnnnnnnnnn
# ----------
supplysector,subsector,technology,minicam.energy.input,secondary.output,1971,2005,2020,2035,2050,2065,2080,2095,2100
chemical energy use,refined liquids,refined liquids,refined liquids industrial,,0.917381318,0.982,1.001,1.018,1.033,1.047,1.062,1.077,1.077
chemical energy use,refined liquids,refined liquids cogen,refined liquids industrial,electricity,0.565189101,0.605,0.614,0.623,0.632,0.642,0.652,0.662,0.662
chemical energy use,refined liquids,refined liquids CCS,refined liquids industrial,,0.917381318,0.982,1.001,1.018,1.033,1.047,1.062,1.077,1.077
chemical energy use,gas,gas,wholesale gas,,0.825830025,0.884,0.898,0.913,0.926,0.941,0.955,0.969,0.969
chemical energy use,gas,gas cogen,wholesale gas,electricity,0.563320707,0.603,0.612,0.621,0.63,0.64,0.649,0.659,0.659
chemical energy use,gas,gas CCS,wholesale gas,,0.825830025,0.884,0.898,0.913,0.926,0.941,0.955,0.969,0.969
chemical energy use,biomass,biomass,delivered biomass,,0.746423292,0.799,0.797,0.804,0.81,0.816,0.823,0.828,0.828
chemical energy use,biomass,biomass cogen,delivered biomass,electricity,0.515676667,0.552,0.56,0.568,0.577,0.586,0.595,0.604,0.604
chemical energy use,biomass,biomass CCS,delivered biomass,,0.746423292,0.799,0.797,0.804,0.81,0.816,0.823,0.828,0.828
chemical energy use,electricity,electricity,elect_td_ind,,0.934196861,1,1.015,1.03,1.046,1.062,1.078,1.094,1.094
chemical energy use,hydrogen,hydrogen,H2 industrial,,1,1,1,1.015,1.03,1.046,1.062,1.078,1.078
chemical energy use,hydrogen,hydrogen cogen,H2 wholesale delivery,electricity,0.457,0.457,0.457,0.464,0.471,0.478,0.485,0.492,0.492
chemical energy use,coal,coal,delivered coal,,0.808080285,0.865,0.891,0.901,0.909,0.917,0.926,0.936,0.936
chemical energy use,coal,coal cogen,delivered coal,electricity,0.582004645,0.623,0.629,0.636,0.644,0.652,0.661,0.67,0.67
chemical energy use,coal,coal CCS,delivered coal,,0.808080285,0.865,0.891,0.901,0.909,0.917,0.926,0.936,0.936
chemical energy use,heat,heat,district heat,,1,1,1,1,1,1,1,1,1
chemical feedstocks,refined liquids,refined liquids,refined liquids industrial,,1,1,1,1,1,1,1,1,1
chemical feedstocks,gas,gas,wholesale gas,,1,1,1,1,1,1,1,1,1
chemical feedstocks,coal,coal,delivered coal,,1,1,1,1,1,1,1,1,1
