# File: paper_food_TFE.csv
# Title: Paper industry and food processing industry final energy
# Units: ktoe
# Source: IEA energy balances
# Column types: cinn
# ----------
iso,year,TFE_food,TFE_paper
alb,1999,74,13
alb,2000,67,13
alb,2001,71,12
alb,2002,57,13
alb,2003,57,11
alb,2004,43,12
alb,2005,49,12
alb,2006,46,12
alb,2007,42,10
alb,2008,49,10
alb,2009,27,9
alb,2010,38,8
alb,2011,47,7
alb,2012,52,9
alb,2013,52,11
alb,2014,61,11
alb,2015,59,11
arg,1995,906,310
arg,1996,950,330
arg,1997,953,329
arg,1998,1090,323
arg,1999,1146,271
arg,2000,1160,300
arg,2001,1158,262
arg,2002,1138,267
arg,2003,1159,294
arg,2004,1197,286
arg,2005,1285,298
arg,2006,1482,318
arg,2007,1368,288
arg,2008,1378,295
arg,2009,1469,296
arg,2010,1464,285
arg,2011,1563,274
arg,2012,1454,269
arg,2013,1454,276
arg,2014,1594,280
arg,2015,2889,589
arm,1971,104.5538863,20.67295643
arm,1972,108.6884775,21.87296974
arm,1973,112.3266997,23.07843764
arm,1974,117.4867569,24.27845095
arm,1975,121.5831659,26.02937945
arm,1976,127.1905008,27.08757299
arm,1977,132.8087449,28.15122115
arm,1978,138.9724496,29.2094147
arm,1979,144.0125055,30.27306285
arm,1980,150.6780339,28.82759228
arm,1981,145.3925208,32.6185434
arm,1982,144.5416022,34.17856069
arm,1983,144.1761437,35.73312338
arm,1984,143.4888633,37.29314067
arm,1985,142.7197639,38.85315796
arm,1986,142.1852125,40.41317525
arm,1987,152.1671413,41.97319255
arm,1988,157.3926538,43.53320984
arm,1989,156.8253748,43.53320984
arm,1992,13,1
arm,1993,11,1
arm,1995,10,0
arm,1996,10,0
arm,1997,9,1
arm,1998,5,1
arm,1999,6,0
arm,2000,6,0
arm,2001,6,0
arm,2002,7,0
arm,2003,7,0
arm,2004,10,0
arm,2005,11,0
arm,2006,12,1
arm,2007,13,1
arm,2008,15,1
arm,2009,15,1
arm,2010,16,0
arm,2011,17,1
arm,2012,18,0
arm,2013,19,0
arm,2014,96,5
arm,2015,87,5
aus,1971,155,266
aus,1972,180,276
aus,1973,125,235
aus,1974,2592,965
aus,1975,2619,933
aus,1976,2713,913
aus,1977,2845,961
aus,1978,2823,936
aus,1979,2628,981
aus,1980,2689,1032
aus,1981,2808,1005
aus,1982,2869,1067
aus,1983,2768,1023
aus,1984,2737,1046
aus,1985,2855,1077
aus,1986,1934,1315
aus,1987,2023,1361
aus,1988,2082,1379
aus,1989,2281,1428
aus,1990,2304,1428
aus,1991,2246,1409
aus,1992,1930,1376
aus,1993,2222,1436
aus,1994,2383,1538
aus,1995,2591,1569
aus,1996,3170,1621
aus,1997,3338,1669
aus,1998,3221,1716
aus,1999,3235,1698
aus,2000,3323,1742
aus,2001,3361,1688
aus,2002,3130,1397
aus,2003,2330,1489
aus,2004,2321,1530
aus,2005,2488,1571
aus,2006,2490,1598
aus,2007,2435,1673
aus,2008,2446,1682
aus,2009,2708,1208
aus,2010,3380,1138
aus,2011,3404,1099
aus,2012,3430,1067
aus,2013,3747,974
aus,2014,3561,935
aus,2015,3825,950
aut,1971,309,546
aut,1972,363,534
aut,1973,356,568
aut,1974,381,622
aut,1975,385,618
aut,1976,409,647
aut,1977,397,670
aut,1978,372,766
aut,1979,403,849
aut,1980,326,786
aut,1981,382,772
aut,1982,388,758
aut,1983,396,730
aut,1984,354,768
aut,1985,386,890
aut,1986,396,915
aut,1987,393,910
aut,1988,371,1019
aut,1989,376,1043
aut,1990,441,1211
aut,1991,457,1242
aut,1992,436,1215
aut,1993,455,1225
aut,1994,467,1165
aut,1995,485,1192
aut,1996,418,1160
aut,1997,442,1396
aut,1998,423,1355
aut,1999,395,1360
aut,2000,450,1448
aut,2001,467,1556
aut,2002,550,1469
aut,2003,494,1555
aut,2004,511,1518
aut,2005,531,1637
aut,2006,538,1623
aut,2007,520,1645
aut,2008,519,1592
aut,2009,550,1585
aut,2010,586,1684
aut,2011,586,1627
aut,2012,591,1551
aut,2013,584,1667
aut,2014,615,1655
aut,2015,636,1628
aze,1971,307.409312,60.78262168
aze,1972,319.5658363,64.31090051
aze,1973,330.2629362,67.85521697
aze,1974,345.4345352,71.3834958
aze,1975,357.4787961,76.53157537
aze,1976,373.9654808,79.64287579
aze,1977,390.4842408,82.77021385
aze,1978,408.6067639,85.88151427
aze,1979,423.425535,89.00885233
aze,1980,443.0235201,84.7588801
aze,1981,427.4830556,95.90503368
aze,1982,424.9811852,100.4917962
aze,1983,423.9066639,105.062521
aze,1984,421.8859224,109.6492835
aze,1985,419.6246164,114.236046
aze,1986,418.0529286,118.8228084
aze,1987,447.4017934,123.4095709
aze,1988,462.7658439,127.9963334
aze,1989,461.0979303,127.9963334
aze,1990,182,31
aze,1991,94,3
aze,1992,64,2
aze,1993,48,1
aze,1994,27,1
aze,1995,11,1
aze,1996,10,1
aze,1997,8,1
aze,1998,8,0
aze,1999,14,0
aze,2000,21,10
aze,2001,16,10
aze,2002,15,0
aze,2003,18,1
aze,2004,41,1
aze,2005,38,0
aze,2006,48,1
aze,2007,157,1
aze,2008,255,2
aze,2009,256,1
aze,2010,211,2
