# File: reeds_offshore_wind_curve_capacity.csv
# Title: REEDS Offshore Wind Curve Capacity
# Units: MW
# Comments: Wind resource potential in MW for each region-class bin
# Source: NREL
# Column types: iccnnnnn
#  ----------
Wind_Resource_Region,Wind_Class,Wind_Type,wsc1,wsc2,wsc3,wsc4,wsc5
1,class4,OFFSHORE,0.702,3.369,16.794,367.962,977.838
1,class10,OFFSHORE,0.513,248.043,3228.978,6282.177,1013.091
1,class7,OFFSHORE,0.828,4.128,8.697,167.055,1016.229
1,class3,OFFSHORE,4.893,63.183,41.766,432.42,383.289
1,class6,OFFSHORE,712.338,0,0,0,0
1,class2,OFFSHORE,4.002,0,0,0,0
2,class4,OFFSHORE,3.342,2.37,19.959,7.101,0
3,class4,OFFSHORE,7.89,35.511,0,0,0
10,class4,OFFSHORE,0.495,3.774,9.585,265.098,259.485
10,class10,OFFSHORE,8.445,2552.16,3935.229,6693.837,65.856
10,class7,OFFSHORE,3.612,19.545,202.182,63.372,132.399
10,class3,OFFSHORE,0.084,0.492,1.011,2.022,53.826
13,class4,OFFSHORE,5.289,8.199,27.303,237.339,315.564
13,class10,OFFSHORE,37.356,1520.373,7295.595,8685.669,16.023
13,class7,OFFSHORE,3.501,22.254,76.077,563.181,97.383
13,class3,OFFSHORE,0.519,0.777,2.502,1.287,78.45
13,class9,OFFSHORE,0.687,16.065,54.498,43.581,453.627
13,class6,OFFSHORE,4.764,6.246,47.115,531.831,85.062
14,class4,OFFSHORE,0.138,44.841,144.879,172.623,162.858
14,class10,OFFSHORE,0.066,23.01,267.471,112.122,189.984
14,class7,OFFSHORE,0.726,0.873,15.294,130.344,214.827
14,class3,OFFSHORE,1.752,1.059,4.698,70.146,170.805
14,class9,OFFSHORE,4.782,246.186,359.448,913.035,3934.887
14,class6,OFFSHORE,4.437,4.719,2.019,3.885,280.245
14,class2,OFFSHORE,1.068,0.711,0.801,112.134,178.32
14,class8,OFFSHORE,0.861,1543.623,3934.542,2085.165,230.661
14,class5,OFFSHORE,3.579,2.718,7.626,174.354,397.098
14,class1,OFFSHORE,0.09,0.393,1.953,2.754,69.435
15,class4,OFFSHORE,0.018,5.856,44.826,4.758,80.559
15,class10,OFFSHORE,0.021,5.013,238.683,1318.425,1126.167
15,class7,OFFSHORE,41.538,0,0,0,0
15,class9,OFFSHORE,15.702,1.842,15.426,4.875,205.413
20,class4,OFFSHORE,3.111,234.228,33.768,45.696,139.827
20,class10,OFFSHORE,6.771,270.09,1228.737,1422.675,2315.883
20,class7,OFFSHORE,9.555,20.322,11.181,60,323.634
20,class3,OFFSHORE,0.15,133.062,2.562,34.275,39.459
20,class9,OFFSHORE,4.983,656.895,1723.092,1486.515,2627.547
20,class6,OFFSHORE,2.196,53.472,5.652,34.737,183.243
