# File: EIA_TOT_intlship_kbbld.csv
# Title: EIA International Energy Statistics - Bunkering
# Description: Total (TOT) petroleum products bunkering by international ships in thousand barrels of oil per day
# Units: thousands barrels of oil per day
# Source: EIA
# Column types: ccnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
Country,Unit,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Afghanistan,1000 bbl/d,0.3,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.217260274
Albania,1000 bbl/d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,1.2,0.8,1.8,2.2,2.7,0.4,0.4,0.4,0.4,0.9,0.582575342
Algeria,1000 bbl/d,15,8.9,6.9,6.9,6.8,7.3,3.2,7,8.3,9.4,10,12,10,10,4.6,3.6,4.6,4.1,11,11,14,14,15,15,16,15,16,17,13.97438356
American Samoa,1000 bbl/d,0,0,0,1.9,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.7,1.7,1.7,1.8,1.8,2,2,2,0,2,2,0,0,0,0
Angola,1000 bbl/d,15,16,16,16,16,16,13,16,16,16,16,16,4.6,4.6,0,0,0,0,7.2,7.9,7.2,2.4,3.2,7.7,7.5,7.4,7.8,5.7,11.63958904
Antarctica,1000 bbl/d,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.5,1.3,1.4,1.4,1.4,1.4,1.4,1.4,1.5,1.5,0.9,1.5,1.5,1.1,1.5,1.5,0,0,0,0
Antigua and Barbuda,1000 bbl/d,1.2,0.7,0.7,0.7,0.7,0.8,0.7,0.8,0.9,0.9,0.9,0.9,0.9,0.9,1,1,1,1,1,1,1.1,1.1,1.2,1.2,1.2,1.3,1.2,1.1,1.054136986
Argentina,1000 bbl/d,8.2,12,11,14,13,7.6,9.4,13,11,6.1,11,13,13,14,9.7,11,11,11,10,13,14,33,35,28,36,40,47,52,47.71863014
Armenia,1000 bbl/d,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1.321666667,1.260109589,1.108027397,0.564876712,0.823333333,0.955945205,0.847315068,1.216657534,1.213333333,0.630054795,0.934219178,0.955945205,1.021123288,0.99939726,0.912493151
Aruba,1000 bbl/d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,1.6,1.6,1.7,1.7,1.7,1.8,1.7,1.7,2,1.982246575
Australia,1000 bbl/d,8.7,11,11,13,11,11,11,11,14,16,16,14,13,16,14,14,12,12,14,16,15,16,17,14,12,14,14,14,13.55293151
Austria,1000 bbl/d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Azerbaijan,1000 bbl/d,NA,NA,NA,NA,NA,NA,0,0,0,0,11,13,11,11,11,11,12,13,14,11,11,8.3,9.3,6.6,10,11,9.8,9.9,9.051369863
"Bahamas, The",1000 bbl/d,4.6,6.7,5.4,3.7,6.8,4.7,3.5,4.2,4.4,4.1,4.1,8.5,5.4,5.4,4.1,4.2,4.2,5.1,5.7,3.9,5.9,6.7,6,5.5,5.5,5.5,5.5,3.8,3.812136986
Bahrain,1000 bbl/d,11,11,12,13,13,13,4.2,4.5,4.5,4.4,2.4,2.1,2.1,2.1,2.1,2.1,2.1,11,13,9.1,12,13,13,14,15,14,14,10,9.904191781
Bangladesh,1000 bbl/d,0.1,0.3,0.3,0.3,0.2,0.1,0,0.2,0.2,0.2,0.3,0.3,0.8,0.8,0.7,0.7,0.7,0.7,0.7,0.7,3.3,5.8,5.1,4.6,7.7,8.9,8.5,8.7,8.842164384
Barbados,1000 bbl/d,3.5,2.9,2.5,2.4,2.6,2.6,0,1.8,2.4,2.6,2.8,2.8,2.8,2.8,4.3,3.3,3.3,3.3,3.3,1.9,1.7,0,0,1.7,1.7,1.7,1.7,4.5,4.456876712
Belarus,1000 bbl/d,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2,2.389863014
Belgium,1000 bbl/d,54,62,69,73,77,79,78,80,77,74,84,95,101,82,100,98,127,128,154,142,154,172,169,128,117,134,108,113,101.2255342
Belize,1000 bbl/d,0.3,0.3,0.01808,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.3,0.7,0.6,0.8,1.5,0.4,0.4,0.4,0.4,0.4,0.3,0.304164384
Benin,1000 bbl/d,0.02438,0.4,0.3,0.4,0.3,0.4,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0,0,0,0.5,0.5,0.5,0.5,0.6,1.9,3.2,1.9,1.9,3.7,3.954136986
Bermuda,1000 bbl/d,0.5,0.8,0.8,0.8,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.7,1.4,1.4,1.4,1.4,1.4,0.6,0.60739726
Bhutan,1000 bbl/d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014556438,0.014339178,0.014339178,0.014339178,0.0143,0.065178082,0.065178082
Bolivia,1000 bbl/d,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.9,1.1,1.281835616
Bosnia and Herzegovina,1000 bbl/d,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.065178082,0.08690411
Botswana,1000 bbl/d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.217260274
Brazil,1000 bbl/d,18,18,20,21,20,25,16,30,35,36,42,32,52,52,56,55,69,78,84,89,90,102,119,105,117,126,119,114,118.3934247
Brunei,1000 bbl/d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,1.9,1.8,4,4.1,2.9,3.3,2.85630137
Bulgaria,1000 bbl/d,0,0,0,0,0,6.9,5.1,5.1,5,5.2,4.5,6.4,5.4,5.4,1.3,2,4.4,5.4,5.6,2.2,6,4.9,6.9,7.3,5.4,5,4.7,5.2,5.203753425
Burkina Faso,1000 bbl/d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0.4,0.3,0.3,0.3,0.3,1.2,1.194931507
Burma (Myanmar),1000 bbl/d,0,0,0,0,0,0,0,0,0.1,0.2,0.4,0.4,0.3,0.3,0.409098361,0.430657534,0.345041096,0.408931507,0.386147541,0.256849315,0.365479452,0.387205479,0.386147541,0.408931507,0.452383562,0.391068493,0.777431694,0.844739726,0.909917808
Burundi,1000 bbl/d,0.04345,0.04345,0,0.04345,0.04345,0.04345,0,0.04345,0.04345,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.08690411,0.08690411
Cambodia,1000 bbl/d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.303333333,0.282438356,0.217260274,0.282438356,0.346666667,0.369342466,0.391068493,0.99939726,0.888333333,0.716958904,0.934219178,1.108027397,1.412191781,1.607726027,1.868438356
