# File: A44.CalPrice_service.csv
# Title: Prices by service in the base years. Used to calibrate satiation impedance
# Units: 1975$/unit
# Source: GCAM v5.4 output
# Column types: ccnnnn 
# ----------
region,sector,1990,2005,2010,2015
Africa_Eastern,comm cooling,10.8517,9.66426,11.7865,12.0415
Africa_Eastern,comm heating,7.72876,7.48722,11.2903,11.9422
Africa_Eastern,comm others,13.5505,13.8066,17.275,18.607
Africa_Eastern,resid cooling,15.2468,14.0141,16.2171,16.4818
Africa_Eastern,resid heating,2.40808,2.44391,2.44333,2.4366
Africa_Eastern,resid others,5.39423,5.57966,6.30616,6.75509
Africa_Northern,comm cooling,8.85055,7.72252,8.68768,8.53815
Africa_Northern,comm heating,7.60783,7.63024,11.5032,12.1401
Africa_Northern,comm others,15.1669,15.8559,18.3938,18.3646
Africa_Northern,resid cooling,13.1695,11.9986,13.0004,12.8452
Africa_Northern,resid heating,2.41908,2.52666,2.43066,2.36767
Africa_Northern,resid others,12.6561,12.4326,16.1895,16.0473
Africa_Southern,comm cooling,9.09701,8.58991,11.1935,10.6627
Africa_Southern,comm heating,5.87616,6.99516,10.5991,12.0018
Africa_Southern,comm others,13.1518,15.1495,19.2607,20.1713
Africa_Southern,resid cooling,13.4253,12.8989,15.6015,15.0505
Africa_Southern,resid heating,2.46273,2.49479,2.43693,2.4366
Africa_Southern,resid others,5.27782,5.74841,7.78361,8.3979
Africa_Western,comm cooling,8.79666,8.09076,9.60704,8.86561
Africa_Western,comm heating,7.57761,7.60509,11.3255,12.115
Africa_Western,comm others,13.3317,13.3086,16.3696,16.1396
Africa_Western,resid cooling,13.1135,12.3808,13.9547,13.1851
Africa_Western,resid heating,2.40748,2.44291,2.43869,2.43661
Africa_Western,resid others,4.25263,4.46315,4.81049,4.95448
Argentina,comm cooling,8.34774,7.19272,8.30772,8.25445
Argentina,comm heating,6.41499,8.10126,10.837,11.0702
Argentina,comm others,12.75,13.8433,17.5026,17.7595
Argentina,resid cooling,12.6342,11.1328,12.395,12.3607
Argentina,resid heating,6.80053,6.69421,8.96021,9.05879
Argentina,resid others,10.8556,10.4862,12.9509,13.2746
Australia_NZ,comm cooling,6.91749,6.51409,6.61544,6.50783
Australia_NZ,comm heating,6.29648,6.98466,8.03275,7.9679
Australia_NZ,comm others,13.1473,13.1124,13.9715,13.9192
Australia_NZ,resid cooling,11.1629,10.7442,10.8494,10.7377
Australia_NZ,resid heating,6.3771,6.46593,7.21049,7.11398
Australia_NZ,resid others,13.2696,12.9164,13.5427,13.3459
Brazil,comm cooling,9.25228,7.76247,8.25688,7.85711
Brazil,comm heating,10.9706,11.5943,14.5572,14.9204
Brazil,comm others,18.1806,16.4517,18.7421,18.0936
Brazil,resid cooling,13.5944,12.0239,12.5373,12.1287
Brazil,resid heating,7.36774,7.57998,10.3759,11.0832
Brazil,resid others,13.4699,13.2054,16.2881,16.426
Canada,comm cooling,7.33776,6.93664,7.14638,7.1778
Canada,comm heating,7.04421,7.17212,9.01154,8.90309
Canada,comm others,13.3988,13.0029,14.2692,14.1596
Canada,resid cooling,11.5513,11.0697,11.2815,11.2928
Canada,resid heating,7.28598,7.53486,8.69399,8.97373
Canada,resid others,13.6366,13.2481,14.21,14.512
Central America and Caribbean,comm cooling,9.46095,8.02966,9.89368,9.28292
Central America and Caribbean,comm heating,9.32251,8.78228,11.8988,11.9474
Central America and Caribbean,comm others,15.4436,14.6134,19.5379,19.3184
Central America and Caribbean,resid cooling,13.8125,12.3127,14.2531,13.6181
Central America and Caribbean,resid heating,6.74048,6.62449,8.05007,8.1664
Central America and Caribbean,resid others,11.8057,11.5857,14.762,14.6029
Central Asia,comm cooling,8.48656,8.08576,8.62357,8.34036
Central Asia,comm heating,5.44809,5.80615,6.6969,6.58458
Central Asia,comm others,9.92666,10.656,12.3605,14.0044
Central Asia,resid cooling,12.7916,12.3756,12.9339,12.6399
Central Asia,resid heating,5.77574,5.95175,6.73621,6.6785
Central Asia,resid others,11.3383,11.3181,12.8425,13.6184
China,comm cooling,8.67131,7.7673,7.38793,7.15325
China,comm heating,4.06034,5.00325,6.64255,6.91636
China,comm others,10.512,13.5245,14.4124,14.6026
China,resid cooling,12.9834,12.045,11.6512,11.4076
China,resid heating,2.76532,4.03826,5.54609,5.98362
China,resid others,4.75029,10.2332,12.7307,13.6727
Colombia,comm cooling,8.04987,7.12479,7.74093,7.68022
Colombia,comm heating,8.62818,9.50584,11.3214,10.3938
Colombia,comm others,14.7287,14.3942,16.3266,15.3192
Colombia,resid cooling,12.3346,11.2773,11.8541,11.5516
Colombia,resid heating,6.23053,7.2436,8.98363,8.03477
Colombia,resid others,12.2801,12.1943,14.395,13.3941
EU-12,comm cooling,8.60745,7.76168,7.81831,7.61683
EU-12,comm heating,4.50949,5.39186,6.21447,6.5091
EU-12,comm others,13.8857,14.8825,16.0018,16.0486
