# File: NREL_ATB_capital_2024.csv
# Title: Technology overnight capital cost assumptions by year from NREL 2024 ATB
# Units: 2022$/kW
# Source: NREL 2024 Annual Technology Baseline: https://atb.nrel.gov/electricity/2024/data
# Comments: tech_type corresponds to tab within the ATB workbooks; tech_detail corresponds to the more detailed technologies within those tabs
# Users can specify how ATB technologies are mapped to GCAM technologies in energy/mappings/atb_gcam_mapping.csv
# Column types: ccccnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# -------------
tech_type,tech_detail,input,case,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Land-Based Wind,Land-Based Wind - Class 1 - Technology 1,capital,Advanced,1471.555936,1576.666823,1464.866566,1356.888555,1318.666095,1280.443635,1242.221175,1203.998714,1165.776254,1150.139237,1134.502221,1118.865204,1103.228187,1087.591171,1071.954154,1056.317137,1040.68012,1025.043104,1009.406087,993.7690702,978.1320535,962.4950368,946.85802,931.2210033,915.5839866,899.9469699,884.3099532,868.6729364,853.0359197
Land-Based Wind,Land-Based Wind - Class 1 - Technology 1,capital,Moderate,1471.555936,1585.264905,1481.281087,1380.33787,1349.931848,1319.525826,1289.119804,1258.713782,1228.307761,1214.484362,1200.660963,1186.837564,1173.014165,1159.190766,1145.367368,1131.543969,1117.72057,1103.897171,1090.073772,1076.250373,1062.426975,1048.603576,1034.780177,1020.956778,1007.133379,993.3099806,979.4865817,965.6631829,951.8397841
Land-Based Wind,Land-Based Wind - Class 1 - Technology 1,capital,Conservative,1471.555936,1607.244792,1523.242687,1440.283014,1429.858707,1419.434399,1409.010092,1398.585785,1388.161477,1377.738393,1367.315309,1356.892225,1346.46914,1336.046056,1325.622972,1315.199888,1304.776803,1294.353719,1283.930635,1273.507551,1263.084466,1252.661382,1242.238298,1231.815214,1221.392129,1210.969045,1200.545961,1190.122877,1179.699793
Land-Based Wind,Land-Based Wind - Class 2 - Technology 1,capital,Advanced,1471.555936,1576.666823,1464.866566,1356.888555,1318.666095,1280.443635,1242.221175,1203.998714,1165.776254,1150.139237,1134.502221,1118.865204,1103.228187,1087.591171,1071.954154,1056.317137,1040.68012,1025.043104,1009.406087,993.7690702,978.1320535,962.4950368,946.85802,931.2210033,915.5839866,899.9469699,884.3099532,868.6729364,853.0359197
Land-Based Wind,Land-Based Wind - Class 2 - Technology 1,capital,Moderate,1471.555936,1585.264905,1481.281087,1380.33787,1349.931848,1319.525826,1289.119804,1258.713782,1228.307761,1214.484362,1200.660963,1186.837564,1173.014165,1159.190766,1145.367368,1131.543969,1117.72057,1103.897171,1090.073772,1076.250373,1062.426975,1048.603576,1034.780177,1020.956778,1007.133379,993.3099806,979.4865817,965.6631829,951.8397841
Land-Based Wind,Land-Based Wind - Class 2 - Technology 1,capital,Conservative,1471.555936,1607.244792,1523.242687,1440.283014,1429.858707,1419.434399,1409.010092,1398.585785,1388.161477,1377.738393,1367.315309,1356.892225,1346.46914,1336.046056,1325.622972,1315.199888,1304.776803,1294.353719,1283.930635,1273.507551,1263.084466,1252.661382,1242.238298,1231.815214,1221.392129,1210.969045,1200.545961,1190.122877,1179.699793
Land-Based Wind,Land-Based Wind - Class 3 - Technology 1,capital,Advanced,1471.555936,1576.666823,1464.866566,1356.888555,1318.666095,1280.443635,1242.221175,1203.998714,1165.776254,1150.139237,1134.502221,1118.865204,1103.228187,1087.591171,1071.954154,1056.317137,1040.68012,1025.043104,1009.406087,993.7690702,978.1320535,962.4950368,946.85802,931.2210033,915.5839866,899.9469699,884.3099532,868.6729364,853.0359197
Land-Based Wind,Land-Based Wind - Class 3 - Technology 1,capital,Moderate,1471.555936,1585.264905,1481.281087,1380.33787,1349.931848,1319.525826,1289.119804,1258.713782,1228.307761,1214.484362,1200.660963,1186.837564,1173.014165,1159.190766,1145.367368,1131.543969,1117.72057,1103.897171,1090.073772,1076.250373,1062.426975,1048.603576,1034.780177,1020.956778,1007.133379,993.3099806,979.4865817,965.6631829,951.8397841
Land-Based Wind,Land-Based Wind - Class 3 - Technology 1,capital,Conservative,1471.555936,1607.244792,1523.242687,1440.283014,1429.858707,1419.434399,1409.010092,1398.585785,1388.161477,1377.738393,1367.315309,1356.892225,1346.46914,1336.046056,1325.622972,1315.199888,1304.776803,1294.353719,1283.930635,1273.507551,1263.084466,1252.661382,1242.238298,1231.815214,1221.392129,1210.969045,1200.545961,1190.122877,1179.699793
Land-Based Wind,Land-Based Wind - Class 4 - Technology 1,capital,Advanced,1471.555936,1576.666823,1464.866566,1356.888555,1318.666095,1280.443635,1242.221175,1203.998714,1165.776254,1150.139237,1134.502221,1118.865204,1103.228187,1087.591171,1071.954154,1056.317137,1040.68012,1025.043104,1009.406087,993.7690702,978.1320535,962.4950368,946.85802,931.2210033,915.5839866,899.9469699,884.3099532,868.6729364,853.0359197
