# File: aluminum_energy_region_IAI.csv
# Title: Aluminum energy by IAI region
# Units: GWh
# Description: Regional aluminum energy consumption
# Source: International Aluminum Institute: Primary Aluminium Smelting Power Consumption 1st Jan 1980 to 1st Jan 2022 (all); https://international-aluminium.org/statistics/primary-aluminium-smelting-power-consumption/
# Column types: ciccnnnnnnnnnc
# ----------
flow,year,type,fuel,Africa,North America,South America,Asia (ex China),Europe,Oceania,Gulf Cooperation Council,China,World Reported,unit
Aluminum,1980,Power Mix,Hydro,5877,52430,13334,4435,27782,4516,0,0,108374,GWh
Aluminum,1980,Power Mix,Coal,1332,31567,0,4112,14326,3155,0,0,54492,GWh
Aluminum,1980,Power Mix,Oil,0,1861,637,12871,5853,0,0,0,21222,GWh
Aluminum,1980,Power Mix,Natural Gas,0,9354,268,2761,4193,0,0,0,16576,GWh
Aluminum,1980,Power Mix,Nuclear,0,4758,0,447,7826,0,0,0,13031,GWh
Aluminum,1980,Power Source,Self-Generated,0,31201,2137,10525,15380,1197,0,0,60440,GWh
Aluminum,1980,Power Source,Purchased from Supplier(s),7209,68769,12102,14101,44600,6474,0,0,153255,GWh
Aluminum,1981,Power Mix,Hydro,6544,52066,13217,3970,27818,4544,0,0,108159,GWh
Aluminum,1981,Power Mix,Coal,1338,31758,0,4103,15304,4085,0,0,56588,GWh
Aluminum,1981,Power Mix,Oil,0,871,218,8273,4664,0,0,0,14026,GWh
Aluminum,1981,Power Mix,Natural Gas,0,5885,368,4230,4205,0,0,0,14688,GWh
Aluminum,1981,Power Mix,Nuclear,0,4815,0,374,6830,0,0,0,12019,GWh
Aluminum,1981,Power Source,Self-Generated,0,28456,1856,9376,15661,1144,0,0,56493,GWh
Aluminum,1981,Power Source,Purchased from Supplier(s),7882,66939,11947,11574,43160,7485,0,0,148987,GWh
Aluminum,1982,Power Mix,Hydro,6412,42453,13470,4069,24580,4759,0,0,95743,GWh
Aluminum,1982,Power Mix,Coal,1646,23915,0,4396,14928,4259,0,0,49144,GWh
Aluminum,1982,Power Mix,Oil,0,850,43,2434,4380,0,0,0,7707,GWh
Aluminum,1982,Power Mix,Natural Gas,0,3053,96,5321,3905,0,0,0,12375,GWh
