# File: ReEDS_power_plant_costs.csv
# Title: Historical (2010-2022) and future (2023-2050) power plant costs from ReEDS public distribution
# Units: $/kW; $/kW/yr; $/MWh
# Source: https://github.com/NREL/ReEDS-2.0/tree/main/inputs/plant_characteristics
# Column types: cicinnn
# ----------
filename,dollaryear,i,t,capcost,fom,vom
battery_ATB_2024_advanced,2022,battery_li,2010,363.01,9.08,0
battery_ATB_2024_advanced,2022,battery_li,2011,363.01,9.08,0
battery_ATB_2024_advanced,2022,battery_li,2012,363.01,9.08,0
battery_ATB_2024_advanced,2022,battery_li,2013,363.01,9.08,0
battery_ATB_2024_advanced,2022,battery_li,2014,363.01,9.08,0
battery_ATB_2024_advanced,2022,battery_li,2015,363.01,9.08,0
battery_ATB_2024_advanced,2022,battery_li,2016,363.01,9.08,0
battery_ATB_2024_advanced,2022,battery_li,2017,363.01,9.08,0
battery_ATB_2024_advanced,2022,battery_li,2018,363.01,9.08,0
battery_ATB_2024_advanced,2022,battery_li,2019,363.01,9.08,0
battery_ATB_2024_advanced,2022,battery_li,2020,363.01,9.08,0
battery_ATB_2024_advanced,2022,battery_li,2021,363.01,9.08,0
battery_ATB_2024_advanced,2022,battery_li,2022,363.01,9.08,0
battery_ATB_2024_advanced,2022,battery_li,2023,359.28,8.98,0
battery_ATB_2024_advanced,2022,battery_li,2024,296.61,7.42,0
battery_ATB_2024_advanced,2022,battery_li,2025,233.06,5.83,0
battery_ATB_2024_advanced,2022,battery_li,2026,223.53,5.59,0
battery_ATB_2024_advanced,2022,battery_li,2027,213.93,5.35,0
battery_ATB_2024_advanced,2022,battery_li,2028,204.44,5.11,0
battery_ATB_2024_advanced,2022,battery_li,2029,194.97,4.87,0
battery_ATB_2024_advanced,2022,battery_li,2030,184.18,4.6,0
battery_ATB_2024_advanced,2022,battery_li,2031,180.78,4.52,0
battery_ATB_2024_advanced,2022,battery_li,2032,177.39,4.43,0
battery_ATB_2024_advanced,2022,battery_li,2033,175.28,4.38,0
battery_ATB_2024_advanced,2022,battery_li,2034,171.89,4.3,0
battery_ATB_2024_advanced,2022,battery_li,2035,167.11,4.18,0
battery_ATB_2024_advanced,2022,battery_li,2036,165.01,4.13,0
battery_ATB_2024_advanced,2022,battery_li,2037,161.62,4.04,0
battery_ATB_2024_advanced,2022,battery_li,2038,158.22,3.96,0
battery_ATB_2024_advanced,2022,battery_li,2039,154.82,3.87,0
battery_ATB_2024_advanced,2022,battery_li,2040,152.74,3.82,0
battery_ATB_2024_advanced,2022,battery_li,2041,149.34,3.73,0
battery_ATB_2024_advanced,2022,battery_li,2042,144.53,3.61,0
battery_ATB_2024_advanced,2022,battery_li,2043,141.13,3.53,0
battery_ATB_2024_advanced,2022,battery_li,2044,139.06,3.48,0
battery_ATB_2024_advanced,2022,battery_li,2045,135.66,3.39,0
battery_ATB_2024_advanced,2022,battery_li,2046,132.26,3.31,0
battery_ATB_2024_advanced,2022,battery_li,2047,128.85,3.22,0
battery_ATB_2024_advanced,2022,battery_li,2048,126.8,3.17,0
battery_ATB_2024_advanced,2022,battery_li,2049,123.4,3.09,0
battery_ATB_2024_advanced,2022,battery_li,2050,118.54,2.96,0
battery_ATB_2024_conservative,2022,battery_li,2010,363.01,9.08,0
battery_ATB_2024_conservative,2022,battery_li,2011,363.01,9.08,0
battery_ATB_2024_conservative,2022,battery_li,2012,363.01,9.08,0
battery_ATB_2024_conservative,2022,battery_li,2013,363.01,9.08,0
battery_ATB_2024_conservative,2022,battery_li,2014,363.01,9.08,0
battery_ATB_2024_conservative,2022,battery_li,2015,363.01,9.08,0
battery_ATB_2024_conservative,2022,battery_li,2016,363.01,9.08,0
battery_ATB_2024_conservative,2022,battery_li,2017,363.01,9.08,0
battery_ATB_2024_conservative,2022,battery_li,2018,363.01,9.08,0
battery_ATB_2024_conservative,2022,battery_li,2019,363.01,9.08,0
battery_ATB_2024_conservative,2022,battery_li,2020,363.01,9.08,0
battery_ATB_2024_conservative,2022,battery_li,2021,363.01,9.08,0
battery_ATB_2024_conservative,2022,battery_li,2022,363.01,9.08,0
battery_ATB_2024_conservative,2022,battery_li,2023,359.28,8.98,0
battery_ATB_2024_conservative,2022,battery_li,2024,379.25,9.48,0
