# File: reeds_wind_curve_grid_cost.csv
# Title: REEDS Wind curve cost
# Units: $ per MW
# Comments: These costs are the additional cost in $/MW (2013 USD) for interconnecting to the grid on top of the capital and OM costs.
# Source: NREL
# Column types: iccnnnnn
#  ----------
Wind_Resource_Region,Wind_Class,Wind_Type,wsc1,wsc2,wsc3,wsc4,wsc5
1,class1,wind-ons,22807.38109,22807.38109,22807.38109,0,0
1,class10,wind-ons,111082.6505,178533.7944,248249.9291,297834.3638,362021.6676
1,class2,wind-ons,12899.37449,41403.70643,45390.62864,0,0
1,class3,wind-ons,22807.38109,22807.38109,34360.73303,48602.32077,0
1,class4,wind-ons,4451.476472,11777.94588,22807.38109,34360.73303,45886.58865
1,class5,wind-ons,7989.06677,30608.84867,47700.61884,59479.92629,105958.9693
1,class6,wind-ons,10822.77899,38192.35126,74500.81799,124830.862,207920.6489
1,class7,wind-ons,28377.32853,74314.66774,123859.8403,188500.9698,333537.9539
1,class8,wind-ons,64267.99594,154899.0536,231428.7205,332700.0808,388521.2038
1,class9,wind-ons,88947.06193,140519.6629,246462.8667,338058.3104,399846.2502
2,class10,wind-ons,25313.22534,45250.67715,93063.72953,229520.0898,324571.0977
2,class5,wind-ons,21567.77185,21567.77185,47418.85924,0,0
2,class6,wind-ons,15167.62065,18334.75245,21642.01007,32583.78469,47418.85924
2,class7,wind-ons,16610.18934,22501.91072,32004.19754,33507.95432,47418.85924
2,class8,wind-ons,20460.33488,31497.90762,47611.12865,73061.58984,112946.8347
2,class9,wind-ons,13544.87332,30598.00354,48058.60516,73430.83149,105008.3275
3,class1,wind-ons,22107.40018,22107.40018,23035.00238,0,0
3,class10,wind-ons,20324.56056,50253.0604,98685.14738,151513.9357,205177.2615
3,class2,wind-ons,22107.40018,0,0,0,0
3,class3,wind-ons,23035.00238,0,0,0,0
3,class4,wind-ons,19828.41599,22107.40018,0,0,0
3,class5,wind-ons,7528.302564,19828.41599,22107.40018,23035.00238,33290.0716
3,class6,wind-ons,8721.469695,19162.00562,23210.51238,29833.29175,42714.70608
3,class7,wind-ons,8313.588775,19960.84278,40764.02447,65544.61296,80189.06441
