# File: en_agriculture.csv
# Title: agriculture energy use by region
# Units: Thousand tonnes
# Description: Regional agriculture production
# Source: IEA
# Column types: ciccnic
# ----------
region,GCAM_region_ID,flow,fuel,value,year,unit
USA,1,AGRICULT,biomass_tradbio,950,2015,ktoe
USA,1,AGRICULT,coal,0,2015,ktoe
USA,1,AGRICULT,electricity,3275,2015,ktoe
USA,1,AGRICULT,gas,1449,2015,ktoe
USA,1,AGRICULT,refined biofuels_FT,243,2015,ktoe
USA,1,AGRICULT,refined liquids,14821,2015,ktoe
Africa_Eastern,2,AGRICULT,biomass_tradbio,747.2613181,2015,ktoe
Africa_Eastern,2,AGRICULT,electricity,69.10271984,2015,ktoe
Africa_Eastern,2,AGRICULT,refined liquids,319.7199574,2015,ktoe
Africa_Northern,3,AGRICULT,biomass_tradbio,3.918860079,2015,ktoe
Africa_Northern,3,AGRICULT,electricity,1218.058226,2015,ktoe
Africa_Northern,3,AGRICULT,gas,60,2015,ktoe
Africa_Northern,3,AGRICULT,refined liquids,2146.334166,2015,ktoe
Africa_Southern,4,AGRICULT,biomass_tradbio,1357.262517,2015,ktoe
Africa_Southern,4,AGRICULT,coal,5,2015,ktoe
Africa_Southern,4,AGRICULT,electricity,141.2028669,2015,ktoe
Africa_Southern,4,AGRICULT,refined liquids,633.6425402,2015,ktoe
Africa_Western,5,AGRICULT,biomass_tradbio,825.8499804,2015,ktoe
Africa_Western,5,AGRICULT,electricity,24.625678,2015,ktoe
Africa_Western,5,AGRICULT,refined liquids,258.2430216,2015,ktoe
Australia_NZ,6,AGRICULT,coal,47,2015,ktoe
Australia_NZ,6,AGRICULT,elec_geothermal,17,2015,ktoe
Australia_NZ,6,AGRICULT,electricity,455,2015,ktoe
Australia_NZ,6,AGRICULT,gas,64,2015,ktoe
Australia_NZ,6,AGRICULT,refined liquids,2489,2015,ktoe
Brazil,7,AGRICULT,biomass,8,2015,ktoe
Brazil,7,AGRICULT,biomass_tradbio,2814,2015,ktoe
Brazil,7,AGRICULT,electricity,2310,2015,ktoe
