# File: A321.globaltech_cost.csv
# Title: Cement default costs (note: CCS cost not included here; calculated in data processing)
# Units: 1975$/kg for supplysector cement; 1975$/GJ for supplysector process heat cement
# Column types: ccccnnnn
# ----------
supplysector,subsector,technology,minicam.non.energy.input,1971,2010,2050,2100
cement,cement,cement,non-energy,0.005,0.005,0.005,0.005
cement,cement,cement CCS,non-energy,0.005,0.005,0.005,0.005
process heat cement,biomass,biomass,non-energy,1,1,1,1
process heat cement,coal,coal,non-energy,1,1,1,1
process heat cement,gas,gas,non-energy,1,1,1,1
process heat cement,refined liquids,refined liquids,non-energy,1,1,1,1
process heat cement,hydrogen,hydrogen,non-energy,1,1,1,1
