# File: A54.CalPrice_trans.csv
# Title: Prices by service in the base years. Used to calibrate sigma parameter
# Units: 1975$/unit
# Source: GCAM v5.4 output
# Column types: ccnnnn 
# ----------
region,sector,1990,2005,2010,2015
Africa_Eastern,trn_aviation_intl,0.0749206,0.0750286,0.0822762,0.0800409
Africa_Eastern,trn_freight,0.0655289,0.0946839,0.107747,0.112234
Africa_Eastern,trn_pass,0.036491,0.0404886,0.0476983,0.0512187
Africa_Eastern,trn_shipping_intl,0.00165493,0.00165383,0.00221936,0.00233791
Africa_Northern,trn_aviation_intl,0.0771774,0.0787068,0.0865567,0.0840726
Africa_Northern,trn_freight,0.0919183,0.0749459,0.0895279,0.100225
Africa_Northern,trn_pass,0.0811351,0.0888894,0.096363,0.0944262
Africa_Northern,trn_shipping_intl,0.00163834,0.00167159,0.00224602,0.00236313
Africa_Southern,trn_aviation_intl,0.0745556,0.0756304,0.083016,0.0810996
Africa_Southern,trn_freight,0.0679765,0.0775497,0.09215,0.096169
Africa_Southern,trn_pass,0.0482706,0.0552325,0.0670064,0.0709769
Africa_Southern,trn_shipping_intl,0.00161856,0.00165649,0.00221572,0.00234542
Africa_Western,trn_aviation_intl,0.0752626,0.0762026,0.0832818,0.0815152
Africa_Western,trn_freight,0.0796004,0.0857554,0.095437,0.0926536
Africa_Western,trn_pass,0.0578674,0.0619164,0.0707623,0.0739754
Africa_Western,trn_shipping_intl,0.0016342,0.0016682,0.00222054,0.00235962
Argentina,trn_aviation_intl,0.0826137,0.0865227,0.0983284,0.0959308
Argentina,trn_freight,0.0508776,0.0445785,0.0481944,0.0508408
Argentina,trn_pass,0.212622,0.250311,0.285164,0.287953
Argentina,trn_shipping_intl,0.00166978,0.0016855,0.00233501,0.0024394
Australia_NZ,trn_aviation_intl,0.104247,0.117062,0.125272,0.126773
Australia_NZ,trn_freight,0.0301296,0.0319494,0.0342748,0.0348919
Australia_NZ,trn_pass,0.454271,0.527997,0.546478,0.565184
Australia_NZ,trn_shipping_intl,0.00164675,0.00168603,0.00226846,0.00243075
Brazil,trn_aviation_intl,0.0838903,0.0863601,0.0946518,0.0925836
Brazil,trn_freight,0.0308434,0.033483,0.0398411,0.0438107
Brazil,trn_pass,0.181461,0.195351,0.215268,0.215885
Brazil,trn_shipping_intl,0.00171464,0.00173542,0.00228026,0.00240592
Canada,trn_aviation_intl,0.105008,0.115747,0.121829,0.12286
Canada,trn_freight,0.0252425,0.0252323,0.0301571,0.0335194
Canada,trn_pass,0.349044,0.40375,0.411493,0.424107
Canada,trn_shipping_intl,0.00164661,0.00168854,0.00228652,0.00244269
Central America and Caribbean,trn_aviation_intl,0.083498,0.0816945,0.0886331,0.0872805
Central America and Caribbean,trn_freight,0.0416475,0.050509,0.0589712,0.0608543
Central America and Caribbean,trn_pass,0.160101,0.173944,0.190448,0.202668
