# File: A23.globaltech_capital_atb_raw.csv
# Title: Electricity technology capital costs (ATB Version)
# Units: 2017$/kW (2015$/kW for 2015 costs)
# Source: NREL ATB 2019 Spreadsheet (2019)
# ATB costs for 2015 are based on NREL ATB 2017 data except in some cases where the 2015 cost is lower than the 2020 costs and the costs in other periods are trending down.
# Note that some technologies in ATB have the same cost for multiple variations (e.g. Coal, Gas) and for them only one variation is represented.
# Column types: ccnnnnnnnn 
# ----------
Technology,Resource,2015,2020,2025,2030,2035,2040,2045,2050
Offshore Wind,TRG 1 - Mid,3535.238433,2707.421298,2300.036203,1953.950255,1659.939784,1410.169005,1197.981181,1017.721213
Offshore Wind,TRG 10 - Mid,5799.960493,4090.570564,3308.668567,2676.225117,2164.671599,1750.900215,1416.220162,1145.513336
Offshore Wind,TRG 11 - Mid,5963.52757,4098.451119,3315.042775,2681.380912,2168.841877,1754.273355,1418.948534,1147.720187
Offshore Wind,TRG 12 - Mid,5987.984403,4049.264924,3275.258394,2649.201212,2142.813244,1733.220028,1401.919496,1133.946206
Offshore Wind,TRG 13 - Mid,6108.721833,4249.863436,3437.513018,2780.441284,2248.967115,1819.082861,1471.369871,1190.121321
Offshore Wind,TRG 14 - Mid,6279.665747,4399.439833,3558.498274,2878.300521,2328.120811,1883.106532,1523.155583,1232.008328
Offshore Wind,TRG 15 - Mid,6612.405535,4628.529983,3743.798433,3028.181033,2449.352051,1981.164733,1602.470212,1296.162171
Offshore Wind,TRG 2 - Mid,3577.42447,2782.518785,2363.833787,2008.14823,1705.982602,1449.28377,1231.210356,1045.950401
Offshore Wind,TRG 3 - Mid,3630.883801,2866.841465,2435.468452,2069.004043,1757.681454,1493.203507,1268.521499,1077.647345
Offshore Wind,TRG 4 - Mid,3919.524656,3113.534021,2645.041233,2247.042453,1908.930463,1621.69411,1377.678149,1170.379217
Offshore Wind,TRG 5 - Mid,4383.23455,3310.211869,2812.125008,2388.985168,2029.515088,1724.134393,1464.704266,1244.310533
Offshore Wind,TRG 6 - Mid,5400.322975,3935.050825,3182.876025,2574.477495,2082.372772,1684.332596,1362.376771,1101.96197
Offshore Wind,TRG 7 - Mid,5475.659366,3831.810526,3099.369842,2506.933303,2027.739478,1640.142315,1326.633348,1073.05081
Offshore Wind,TRG 8 - Mid,5561.289935,3841.507305,3107.213107,2513.277348,2032.870875,1644.292858,1329.990526,1075.766273
Offshore Wind,TRG 9 - Mid,5705.729858,3981.870032,3220.745861,2605.10861,2107.148828,1704.372773,1378.58632,1115.073106
Land-Based Wind,TRG 1 - Mid,1539.900635,1494.230769,1359.615385,1225,1158.641083,1091.777934,1024.410552,956.538938
