# File: A328.globaltech_retirement.csv
# Title: Food processing technology lifetimes and shutdown rates
# Units: Years for lifetime and half.life; Unitless for shutdown.rate; steepness; median.shutdown.point; profit.shutdown.steepness
# Comments: maximum lifetime of cohort. If no retirement function is used; the entire cohort is retired in this number of years
#           shutdown.rate: portion of cohort retired each year; used by the phased-shutdown-decider retirement function
#           half.life: number of years at which 50% of the cohort is retired; using the s-curve-shutdown-decider retirement function
#           steepness: shape parameter used by the s-curve-shutdown-decider retirement function
#           median.shutdown.point: profit-ratio at which 50% of the cohort is shut down for lack of profitability
#           profit.shutdown.steepness: shape parameter of profit-shutdown-decider function
# Column types: ccccicinni
# ----------
supplysector,subsector,technology,year,lifetime,shutdown.rate,half.life,steepness,median.shutdown.point,profit.shutdown.steepness
process heat food processing,biomass,biomass,final-calibration-year,40,,20,0.3,-0.5,6
process heat food processing,biomass,biomass cogen,final-calibration-year,40,,20,0.3,-0.5,6
process heat food processing,coal,coal,final-calibration-year,40,,20,0.3,-0.5,6
process heat food processing,coal,coal cogen,final-calibration-year,40,,20,0.3,-0.5,6
process heat food processing,heat,heat,final-calibration-year,40,,20,0.3,-0.5,6
process heat food processing,electricity,electricity,final-calibration-year,40,,20,0.3,-0.5,6
process heat food processing,electricity,electric heat pump,final-calibration-year,25,,13,0.3,-0.5,6
process heat food processing,electricity,electricity with solar,final-calibration-year,25,,13,0.3,-0.5,6
process heat food processing,gas,gas,final-calibration-year,40,,20,0.3,-0.5,6
process heat food processing,gas,gas cogen,final-calibration-year,40,,20,0.3,-0.5,6
process heat food processing,gas,gas with solar,final-calibration-year,25,,13,0.3,-0.5,6
process heat food processing,refined liquids,refined liquids,final-calibration-year,40,,20,0.3,-0.5,6
process heat food processing,refined liquids,refined liquids cogen,final-calibration-year,40,,20,0.3,-0.5,6
food processing,food processing,food processing,final-calibration-year,40,,20,0.3,-0.5,6
process heat food processing,biomass,biomass,initial-future-year,40,,20,0.3,-0.5,6
process heat food processing,biomass,biomass cogen,initial-future-year,40,,20,0.3,-0.5,6
process heat food processing,coal,coal,initial-future-year,40,,20,0.3,-0.5,6
process heat food processing,coal,coal cogen,initial-future-year,40,,20,0.3,-0.5,6
process heat food processing,heat,heat,initial-future-year,40,,20,0.3,-0.5,6
process heat food processing,electricity,electricity,initial-future-year,40,,20,0.3,-0.5,6
process heat food processing,electricity,electric heat pump,initial-future-year,25,,13,0.3,-0.5,6
process heat food processing,electricity,electricity with solar,initial-future-year,25,,13,0.3,-0.5,6
process heat food processing,gas,gas,initial-future-year,40,,20,0.3,-0.5,6
process heat food processing,gas,gas cogen,initial-future-year,40,,20,0.3,-0.5,6
process heat food processing,gas,gas with solar,initial-future-year,25,,13,0.3,-0.5,6
process heat food processing,refined liquids,refined liquids,initial-future-year,40,,20,0.3,-0.5,6
process heat food processing,refined liquids,refined liquids cogen,initial-future-year,40,,20,0.3,-0.5,6
food processing,food processing,food processing,initial-future-year,40,,20,0.3,-0.5,6
