# File: A21.subsector_shrwt.csv
# Title: Primary energy handling default subsector shareweights
# Units: Unitless
# Column types: ccccii 
# ----------
supplysector,subsector,year.fillout,year,share.weight,traded
regional biomass,regional biomass,start-year,,1,0
regional coal,regional coal,start-year,,1,0
regional natural gas,regional natural gas,start-year,,1,0
unconventional oil production,unconventional oil production,start-year,,1,0
regional oil,crude oil,start-year,,1,0
regional oil,unconventional oil,2050,,1,0
traded unconventional oil,unconventional oil,initial-future-year,,1,1
regional corn for ethanol,regional corn for ethanol,start-year,,1,0
regional sugar for ethanol,regional sugar for ethanol,start-year,,1,0
regional biomassOil,regional biomassOil,start-year,,1,0
