# File: A44.demand_satiation_mult_SSPs.csv
# Title: Assumed increase in demand of services in USA
# Units: Increase in demand per unit floorspace
# Column types: cccn 
# ----------
SSP,supplysector,agg.service,multiplier
SSP1,resid others modern,resid others,1.17
SSP1,resid others coal,resid others,1.17
SSP1,resid others TradBio,resid others,1.17
SSP1,comm others,comm others,1.17
SSP2,resid others modern,resid others,1.3
SSP2,resid others coal,resid others,1.3
SSP2,resid others TradBio,resid others,1.3
SSP2,comm others,comm others,1.3
SSP3,resid others modern,resid others,1.3
SSP3,resid others coal,resid others,1.3
SSP3,resid others TradBio,resid others,1.3
SSP3,comm others,comm others,1.3
SSP4,resid others modern,resid others,1.3
SSP4,resid others coal,resid others,1.3
SSP4,resid others TradBio,resid others,1.3
SSP4,comm others,comm others,1.3
SSP5,resid others modern,resid others,1.43
SSP5,resid others coal,resid others,1.43
SSP5,resid others TradBio,resid others,1.43
SSP5,comm others,comm others,1.43
