# File: NREL_ATB_capital_2017.csv
# Title: Technology overnight capital cost assumptions by year from NREL 2017 ATB
# Units: $2015/kW
# Source: NREL 2017 Annual Technology Baseline for 2015-2016 (https://data.nrel.gov/files/71/2017-ATB-data.xlsm)
# Comments: tech_type corresponds to tab within the ATB workbooks; tech_detail corresponds to the more detailed technologies within those tabs
# Users can specify how ATB technologies are mapped to GCAM technologies in energy/mappings/atb_gcam_mapping.csv
# Column types: ccccnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
tech_type,tech_detail,input,case,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Offshore Wind,Class 1,capital,adv tech,3535,3269,3136.366936,3000.668385,2860.857757,2718.99109,2629.553409,2538.059689,2443.481912,2347.876115,2250.214279,2149.468385,2047.694472,1943.86452,1837.97853,1730.036501,1723.868385,1717.700269,1709.476115,1701.25196,1693.027805,1682.747612,1672.467419,1662.187226,1650.879013,1638.542781,1625.17853,1611.814279,1598.450028,1584.057757,1568.637467,1553.217177,1536.768868,1520.320559,1502.84423,1485.367902
Offshore Wind,Class 1,capital,central,3535,3395,3326.550511,3256.645197,3185.711863,3114.77853,3025.340849,2934.875148,2844.409448,2751.887709,2659.36597,2565.816211,2472.266453,2376.660656,2281.054859,2185.449061,2165.916694,2147.412346,2127.879979,2108.347612,2087.787226,2067.226839,2046.666453,2025.078047,2004.51766,1982.929255,1960.31283,1938.724424,1916.107999,1893.491573,1869.847129,1847.230704,1823.586259,1799.941815,1775.269351,1751.624907
Offshore Wind,Class 1,capital,low tech,3535,3535,3535.238433,3535.238433,3535.238433,3535.238433,3535.238433,3535.238433,3535.238433,3535.238433,3535.238433,3535.238433,3535.238433,3535.238433,3535.238433,3535.238433,3535.238433,3535.238433,3535.238433,3535.238433,3535.238433,3535.238433,3535.238433,3535.238433,3535.238433,3535.238433,3535.238433,3535.238433,3535.238433,3535.238433,3535.238433,3535.238433,3535.238433,3535.238433,3535.238433,3535.238433
Offshore Wind,Class 2,capital,adv tech,3577,3308,3173.412876,3035.658286,2893.79162,2748.840895,2658.375195,2565.853456,2470.247658,2372.585823,2272.867948,2171.094035,2066.236064,1960.350074,1852.408045,1741.381958,1736.241861,1730.073745,1722.87761,1715.681475,1706.429301,1697.177127,1687.924953,1676.616741,1666.336547,1654.000315,1641.664084,1628.299832,1613.907562,1599.515291,1584.095001,1568.674712,1552.226402,1534.750074,1517.273745,1499.797417
Offshore Wind,Class 2,capital,central,3577,3436,3365.652489,3294.719156,3222.757803,3150.796451,3059.302731,2966.780992,2873.231233,2779.681475,2685.103697,2589.4979,2492.864084,2396.230267,2297.540412,2198.850557,2180.346209,2160.813842,2141.281475,2121.749108,2101.188721,2080.628335,2059.039929,2037.451523,2015.863117,1994.274712,1971.658286,1949.041861,1926.425436,1903.809011,1880.164567,1856.520122,1831.847658,1808.203214,1783.53075,1758.858286
Offshore Wind,Class 2,capital,low tech,3577,3577,3577.42447,3577.42447,3577.42447,3577.42447,3577.42447,3577.42447,3577.42447,3577.42447,3577.42447,3577.42447,3577.42447,3577.42447,3577.42447,3577.42447,3577.42447,3577.42447,3577.42447,3577.42447,3577.42447,3577.42447,3577.42447,3577.42447,3577.42447,3577.42447,3577.42447,3577.42447,3577.42447,3577.42447,3577.42447,3577.42447,3577.42447,3577.42447,3577.42447,3577.42447
Offshore Wind,Class 3,capital,adv tech,3631,3355,3217.620033,3076.781386,2931.830661,2782.767859,2690.24612,2594.640323,2496.978487,2397.260613,2294.45868,2189.600709,2082.6867,1973.716652,1862.690565,1748.58042,1743.440323,1737.272207,1730.076072,1722.879937,1713.627763,1704.375589,1695.123415,1683.815202,1672.50699,1660.170758,1647.834526,1633.442255,1620.078004,1604.657714,1589.237424,1572.789115,1556.340806,1538.864478,1520.36013,1501.855782
Offshore Wind,Class 3,capital,central,3631,3485,3412.943705,3340.982352,3266.964961,3192.947569,3099.397811,3004.820033,2909.214236,2812.58042,2714.918584,2617.256748,2517.538874,2417.820999,2317.075106,2215.301193,2195.768825,2176.236458,2156.704091,2136.143705,2115.583318,2093.994912,2072.406507,2050.818101,2028.201676,2005.585251,1982.968825,1959.324381,1935.679937,1912.035492,1888.391048,1863.718584,1839.04612,1814.373656,1788.673173,1762.97269
Offshore Wind,Class 3,capital,low tech,3631,3631,3630.883801,3630.883801,3630.883801,3630.883801,3630.883801,3630.883801,3630.883801,3630.883801,3630.883801,3630.883801,3630.883801,3630.883801,3630.883801,3630.883801,3630.883801,3630.883801,3630.883801,3630.883801,3630.883801,3630.883801,3630.883801,3630.883801,3630.883801,3630.883801,3630.883801,3630.883801,3630.883801,3630.883801,3630.883801,3630.883801,3630.883801,3630.883801,3630.883801,3630.883801
Offshore Wind,Class 4,capital,adv tech,3920,3617,3465.140115,3309.909197,3149.538183,2986.083111,2883.281178,2778.423207,2670.481178,2560.483111,2446.372966,2330.206782,2211.98456,2090.67828,1967.315961,1840.869584,1835.729487,1828.533352,1821.337217,1813.113062,1802.832869,1792.552676,1782.272483,1769.936251,1756.571999,1743.207748,1728.815478,1713.395188,1697.974898,1681.526589,1663.022241,1645.545912,1626.013545,1606.481178,1585.920792,1565.360405
Offshore Wind,Class 4,capital,central,3920,3759,3679.996154,3599.810647,3519.62514,3437.383594,3333.553642,3228.695671,3122.809681,3015.895671,2908.981661,2800.011613,2690.013545,2578.987458,2467.961371,2354.879246,2333.29084,2311.702434,2290.114028,2267.497603,2243.853159,2220.208714,2196.56427,2172.919826,2148.247362,2122.546879,2097.874415,2071.145912,2045.445429,2018.716927,1991.988425,1965.259922,1937.5034,1909.746879,1880.962338,1853.205816
Offshore Wind,Class 4,capital,low tech,3920,3920,3919.524656,3919.524656,3919.524656,3919.524656,3919.524656,3919.524656,3919.524656,3919.524656,3919.524656,3919.524656,3919.524656,3919.524656,3919.524656,3919.524656,3919.524656,3919.524656,3919.524656,3919.524656,3919.524656,3919.524656,3919.524656,3919.524656,3919.524656,3919.524656,3919.524656,3919.524656,3919.524656,3919.524656,3919.524656,3919.524656,3919.524656,3919.524656,3919.524656,3919.524656
Offshore Wind,Class 5,capital,adv tech,4383,4049,3880.533101,3707.825854,3528.950492,3344.935033,3231.852908,3114.658705,2994.380444,2869.990106,2742.515709,2611.957255,2477.286724,2340.560154,2199.721507,2056.826821,2051.686724,2045.518608,2038.322473,2029.070299,2019.818125,2008.509912,1997.2017,1983.837449,1969.445178,1955.052908,1938.604598,1922.156289,1903.651941,1885.147594,1864.587207,1844.026821,1822.438415,1799.82199,1776.177545,1752.533101
Offshore Wind,Class 5,capital,central,4383,4204,4116.977545,4027.539864,3937.074164,3844.552424,3728.386241,3610.164019,3490.913777,3370.635516,3248.301217,3125.966917,3001.576579,2876.158222,2749.711845,2621.209429,2597.564985,2573.92054,2549.248077,2523.547594,2497.84711,2472.146627,2445.418125,2417.661603,2389.905081,2362.14856,2333.364019,2304.579478,2274.766917,2244.954357,2214.113777,2183.273197,2151.404598,2119.535999,2087.6674,2055.798801
Offshore Wind,Class 5,capital,low tech,4383,4383,4383.23455,4383.23455,4383.23455,4383.23455,4383.23455,4383.23455,4383.23455,4383.23455,4383.23455,4383.23455,4383.23455,4383.23455,4383.23455,4383.23455,4383.23455,4383.23455,4383.23455,4383.23455,4383.23455,4383.23455,4383.23455,4383.23455,4383.23455,4383.23455,4383.23455,4383.23455,4383.23455,4383.23455,4383.23455,4383.23455,4383.23455,4383.23455,4383.23455,4383.23455
Offshore Wind,Class 6,capital,adv tech,5400,5028,4841.080463,4649.868869,4454.545197,4256.137468,4128.663072,3999.132637,3866.518144,3730.819593,3593.065004,3453.254376,3310.35969,3165.408965,3018.402202,2869.3394,2854.947129,2840.554859,2825.134569,2808.68626,2791.209931,2773.733603,2755.229255,2735.696888,2715.136501,2694.576115,2671.95969,2650.371284,2626.72684,2603.082395,2578.409931,2552.709448,2527.008965,2500.280463,2473.55196,2445.795439
Offshore Wind,Class 6,capital,central,5400,5206,5109.393506,5011.731671,4913.041815,4814.35196,4689.961622,4565.571284,4440.152927,4312.67853,4185.204134,4056.701719,3927.171284,3797.640849,3666.054376,3534.467902,3505.683361,3477.92684,3449.142299,3419.329738,3390.545197,3359.704617,3329.892057,3299.051477,3268.210898,3236.342299,3205.501719,3172.6051,3140.736501,3107.839883,3074.943265,3041.018627,3008.122009,2974.197371,2939.244714,2905.320076
Offshore Wind,Class 6,capital,low tech,5400,5400,5400.322975,5400.322975,5400.322975,5400.322975,5400.322975,5400.322975,5400.322975,5400.322975,5400.322975,5400.322975,5400.322975,5400.322975,5400.322975,5400.322975,5400.322975,5400.322975,5400.322975,5400.322975,5400.322975,5400.322975,5400.322975,5400.322975,5400.322975,5400.322975,5400.322975,5400.322975,5400.322975,5400.322975,5400.322975,5400.322975,5400.322975,5400.322975,5400.322975,5400.322975
Offshore Wind,Class 7,capital,adv tech,5476,5090,4896.884487,4698.476757,4495.956951,4290.353086,4157.738593,4023.068062,3885.313472,3745.502844,3602.608158,3456.629414,3308.594632,3158.50381,3005.328931,2850.098013,2835.705743,2820.285453,2804.865163,2788.416854,2769.912506,2751.408158,2731.875791,2712.343424,2690.755018,2669.166612,2646.550187,2622.905743,2599.261298,2574.588835,2548.888351,2522.159849,2495.431347,2467.674825,2438.890284,2410.105743
