# File: A328.globaltech_shrwt.csv
# Title: Food processing default shareweights
# Units: Unitless
# Column types: cccnnnn
# ----------
supplysector,subsector,technology,1971,2015,2020,2100
process heat food processing,biomass,biomass,1,1,1,1
process heat food processing,biomass,biomass cogen,0,0,0,0.5
process heat food processing,gas,gas,1,1,1,1
process heat food processing,gas,gas cogen,0,0,0,0.5
process heat food processing,gas,gas with solar,0,0,0,0.5
process heat food processing,refined liquids,refined liquids,1,1,1,1
process heat food processing,refined liquids,refined liquids cogen,0,0,0,0.5
process heat food processing,heat,heat,1,1,1,1
process heat food processing,coal,coal,1,1,1,1
process heat food processing,coal,coal cogen,0,0,0,0.5
process heat food processing,electricity,electricity,1,1,1,1
process heat food processing,electricity,electricity with solar,0,0,0,0.5
process heat food processing,electricity,electric heat pump,0,0,0,0.5
food processing,food processing,food processing,1,1,1,1
