# File: TZ_steel_production_costs.csv
# Title: Global Steel Production Costs
# Units: $/t
# Description: Plant-Wise Steel Production Costs (BF-BOF and EAF) Across Major Steel Producting Countries
# Source: Transition Zero Global Steel Cost Tracker
# Column types: cicccicc
# ----------
Plant_ID,Model_Year,Primary_Production_Route,Category,Component,Value,Unit,Country
SBR00001,2015,BF-BOF,Energy,Electricity,80,$/t,Brazil
SBR00001,2015,BF-BOF,Energy,Fuel,28,$/t,Brazil
SBR00001,2015,BF-BOF,Other,Labor,25,$/t,Brazil
SBR00001,2015,BF-BOF,Other,Other costs,57,$/t,Brazil
SBR00001,2015,BF-BOF,Other,Overhead,82,$/t,Brazil
SBR00001,2015,BF-BOF,Raw materials,Coke,93,$/t,Brazil
SBR00001,2015,BF-BOF,Raw materials,DRI,0,$/t,Brazil
SBR00001,2015,BF-BOF,Raw materials,Iron ore,57,$/t,Brazil
SBR00001,2015,BF-BOF,Raw materials,Scrap,14,$/t,Brazil
SBR00001,2015,BF-BOF,Total,Total BF/BOF,437,$/t,Brazil
SBR00001,2016,BF-BOF,Energy,Electricity,33,$/t,Brazil
SBR00001,2016,BF-BOF,Energy,Fuel,23,$/t,Brazil
SBR00001,2016,BF-BOF,Other,Labor,25,$/t,Brazil
SBR00001,2016,BF-BOF,Other,Other costs,57,$/t,Brazil
SBR00001,2016,BF-BOF,Other,Overhead,82,$/t,Brazil
SBR00001,2016,BF-BOF,Raw materials,Coke,104,$/t,Brazil
SBR00001,2016,BF-BOF,Raw materials,DRI,0,$/t,Brazil
SBR00001,2016,BF-BOF,Raw materials,Iron ore,60,$/t,Brazil
SBR00001,2016,BF-BOF,Raw materials,Scrap,13,$/t,Brazil
SBR00001,2016,BF-BOF,Total,Total BF/BOF,397,$/t,Brazil
SBR00001,2017,BF-BOF,Energy,Electricity,87,$/t,Brazil
SBR00001,2017,BF-BOF,Energy,Fuel,27,$/t,Brazil
SBR00001,2017,BF-BOF,Other,Labor,25,$/t,Brazil
SBR00001,2017,BF-BOF,Other,Other costs,57,$/t,Brazil
SBR00001,2017,BF-BOF,Other,Overhead,82,$/t,Brazil
SBR00001,2017,BF-BOF,Raw materials,Coke,140,$/t,Brazil
SBR00001,2017,BF-BOF,Raw materials,DRI,0,$/t,Brazil
SBR00001,2017,BF-BOF,Raw materials,Iron ore,73,$/t,Brazil
SBR00001,2017,BF-BOF,Raw materials,Scrap,16,$/t,Brazil
SBR00001,2017,BF-BOF,Total,Total BF/BOF,508,$/t,Brazil
SBR00001,2018,BF-BOF,Energy,Electricity,77,$/t,Brazil
SBR00001,2018,BF-BOF,Energy,Fuel,33,$/t,Brazil
SBR00001,2018,BF-BOF,Other,Labor,25,$/t,Brazil
SBR00001,2018,BF-BOF,Other,Other costs,57,$/t,Brazil
SBR00001,2018,BF-BOF,Other,Overhead,82,$/t,Brazil
SBR00001,2018,BF-BOF,Raw materials,Coke,169,$/t,Brazil
SBR00001,2018,BF-BOF,Raw materials,DRI,0,$/t,Brazil
SBR00001,2018,BF-BOF,Raw materials,Iron ore,72,$/t,Brazil
SBR00001,2018,BF-BOF,Raw materials,Scrap,18,$/t,Brazil
SBR00001,2018,BF-BOF,Total,Total BF/BOF,532,$/t,Brazil
SBR00001,2019,BF-BOF,Energy,Electricity,54,$/t,Brazil
