# File: A44.share_serv_fuel.csv
# Title: Shares of residential and commercial TFE by region
# Units: Unitless
# Column types: ccccn 
# ----------
region_GCAM3,sector,fuel,service,share_TFEbysector
Africa,bld_comm,biomass,comm cooling,0
Africa,bld_comm,coal,comm cooling,0
Africa,bld_comm,electricity,comm cooling,0.03
Africa,bld_comm,gas,comm cooling,0
Africa,bld_comm,heat,comm cooling,0
Africa,bld_comm,refined liquids,comm cooling,0
Africa,bld_comm,biomass,comm heating,0
Africa,bld_comm,coal,comm heating,0.01
Africa,bld_comm,electricity,comm heating,0
Africa,bld_comm,gas,comm heating,0
Africa,bld_comm,heat,comm heating,0
Africa,bld_comm,refined liquids,comm heating,0.02
Africa,bld_comm,biomass,comm others,0.339952889
Africa,bld_comm,coal,comm others,0.052062422
Africa,bld_comm,electricity,comm others,0.339888111
Africa,bld_comm,gas,comm others,0.033304979
Africa,bld_comm,heat,comm others,0
Africa,bld_comm,refined liquids,comm others,0.174791599
Australia_NZ,bld_comm,biomass,comm cooling,0
Australia_NZ,bld_comm,coal,comm cooling,0
Australia_NZ,bld_comm,electricity,comm cooling,0.08
Australia_NZ,bld_comm,gas,comm cooling,0
Australia_NZ,bld_comm,heat,comm cooling,0
Australia_NZ,bld_comm,refined liquids,comm cooling,0
Australia_NZ,bld_comm,biomass,comm heating,0.000771945
Australia_NZ,bld_comm,coal,comm heating,0
Australia_NZ,bld_comm,electricity,comm heating,0.024
Australia_NZ,bld_comm,gas,comm heating,0.083228055
Australia_NZ,bld_comm,heat,comm heating,0
Australia_NZ,bld_comm,refined liquids,comm heating,0.012
Australia_NZ,bld_comm,biomass,comm others,0
Australia_NZ,bld_comm,coal,comm others,0.003087781
Australia_NZ,bld_comm,electricity,comm others,0.630671372
Australia_NZ,bld_comm,gas,comm others,0.076564623
Australia_NZ,bld_comm,heat,comm others,0
Australia_NZ,bld_comm,refined liquids,comm others,0.089676224
Canada,bld_comm,biomass,comm cooling,0
Canada,bld_comm,coal,comm cooling,0
Canada,bld_comm,electricity,comm cooling,0.024
Canada,bld_comm,gas,comm cooling,0.006
Canada,bld_comm,heat,comm cooling,0
Canada,bld_comm,refined liquids,comm cooling,0
Canada,bld_comm,biomass,comm heating,0
Canada,bld_comm,coal,comm heating,0
Canada,bld_comm,electricity,comm heating,0.1275
Canada,bld_comm,gas,comm heating,0.255
Canada,bld_comm,heat,comm heating,0
Canada,bld_comm,refined liquids,comm heating,0.1275
Canada,bld_comm,biomass,comm others,0
Canada,bld_comm,coal,comm others,0
Canada,bld_comm,electricity,comm others,0.253990007
Canada,bld_comm,gas,comm others,0.176956497
Canada,bld_comm,heat,comm others,0
Canada,bld_comm,refined liquids,comm others,0.029053495
China,bld_comm,biomass,comm cooling,0
China,bld_comm,coal,comm cooling,0
China,bld_comm,electricity,comm cooling,0.164240527
China,bld_comm,gas,comm cooling,0
China,bld_comm,heat,comm cooling,0
China,bld_comm,refined liquids,comm cooling,0
China,bld_comm,biomass,comm heating,0.005527759
China,bld_comm,coal,comm heating,0.233918564
China,bld_comm,electricity,comm heating,0.018565422
China,bld_comm,gas,comm heating,0.059096266
China,bld_comm,heat,comm heating,0.038616359
