# File: WSA_direct_reduced_iron_2008_2019.csv
# Title: Direct reduced iron production, imports, exports by country
# Units: thousand tons
# Description: Direct reduced iron production, imports, exports by country (2008-2019)
# Source: World Steel Association Statistical Year Books (2019)
# Column types: cnnnnnnnnnnnnc
# ----------
country_name,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,metric
Australia,81,0,,1,0,0,0,,0,0,0,0,DRI exports
Belgium,1,0,11,4,0,0,0,0,0,113,203,226,DRI exports
Bulgaria,9,3,3,0,0,0,0,0,0,0,0,0,DRI exports
Canada,0,0,0,0,13,83,85,0,68,0,2,2,DRI exports
China,12,5,213,151,112,224,60,41,1,15,0,0,DRI exports
"Korea, Democratic Peoples Republic of",0,6,10,9,5,10,12,2,0,0,0,0,DRI exports
France,9,1,15,3,6,3,13,16,0,0,0,1,DRI exports
Germany,72,3,15,0,0,0,0,0,0,0,0,1,DRI exports
India,29,17,69,70,126,117,167,132,262,500,658,861,DRI exports
Indonesia,,0,1,0,42,0,21,1,,1,2,1,DRI exports
"Iran, Islamic Republic of",137,,0,30,,32,,,34,6,372,325,DRI exports
Japan,1,1,1,1,1,1,1,1,0,0,0,0,DRI exports
Libyan Arab Jamahiriya,103,106,212,59,34,206,285,120,130,108,123,187,DRI exports
Malaysia,322,255,473,570,861,479,703,391,522,570,717,573,DRI exports
Mexico,0,0,0,0,55,0,0,0,0,0,0,0,DRI exports
Netherlands,93,111,0,1,0,8,8,13,0,2,0,65,DRI exports
Oman,0,0,0,591,916,426,184,196,561,873,494,693,DRI exports
Other Africa,34,,151,,0,0,2,10,46,126,0,0,DRI exports
Other Asia,16,0,8,1,1,2,1,10,0,1,11,7,DRI exports
Other CIS,46,0,3,0,0,0,0,0,0,0,0,24,DRI exports
Other EU,8,0,1,26,7,7,7,65,52,18,35,16,DRI exports
Other Europe,1,0,7,5,1,4,4,4,0,0,14,23,DRI exports
Other Middle East,0,,0,0,0,83,51,21,489,518,927,491,DRI exports
