# File: NREL_ATB_capital_2021.csv
# Title: Technology overnight capital cost assumptions by year from NREL 2021 ATB
# Units: $2019/kW
# Source: NREL 2021 Annual Technology Baseline for 2019-2050 (https://data.openei.org/submissions/4129)
# Comments: tech_type corresponds to tab within the ATB workbooks; tech_detail corresponds to the more detailed technologies within those tabs.
# Users can specify how ATB technologies are mapped to GCAM technologies in energy/mappings/atb_gcam_mapping.csv.
# Column types: ccccnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
tech_type,tech_detail,input,case,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Offshore Wind,Class 1,capital,adv tech,2410,2218,2075,1959,1860,1772,1694,1622,1555,1492,1433,1377,1346,1317,1290,1265,1241,1218,1197,1176,1157,1139,1121,1104,1087,1072,1056,1042,1028,1014,1001,988
Offshore Wind,Class 1,capital,central,2501,2328,2199,2094,2004,1924,1852,1786,1724,1666,1612,1559,1532,1506,1482,1460,1439,1419,1400,1382,1364,1348,1332,1317,1302,1288,1275,1262,1249,1237,1225,1214
Offshore Wind,Class 1,capital,low tech,2649,2531,2442,2368,2305,2249,2199,2152,2108,2066,2027,1989,1971,1954,1938,1923,1909,1895,1882,1870,1859,1848,1837,1827,1817,1808,1799,1790,1782,1774,1766,1758
Offshore Wind,Class 2,capital,adv tech,2417,2224,2081,1965,1865,1778,1699,1627,1560,1497,1437,1381,1350,1321,1294,1269,1245,1222,1201,1180,1161,1142,1124,1107,1091,1075,1060,1045,1031,1017,1004,991
Offshore Wind,Class 2,capital,central,2509,2335,2206,2100,2010,1930,1858,1791,1729,1671,1616,1564,1537,1511,1487,1464,1443,1423,1404,1386,1368,1352,1336,1321,1306,1292,1279,1266,1253,1241,1229,1218
Offshore Wind,Class 2,capital,low tech,2657,2538,2449,2376,2313,2256,2205,2158,2114,2073,2033,1995,1977,1960,1944,1929,1914,1901,1888,1876,1864,1853,1843,1833,1823,1814,1805,1796,1787,1779,1771,1764
Offshore Wind,Class 3,capital,adv tech,2543,2340,2189,2067,1962,1870,1787,1711,1641,1575,1512,1453,1420,1390,1361,1335,1309,1286,1263,1241,1221,1201,1183,1165,1147,1131,1115,1099,1084,1070,1056,1042
Offshore Wind,Class 3,capital,central,2639,2457,2320,2209,2114,2030,1954,1884,1819,1758,1701,1646,1617,1590,1564,1541,1518,1497,1477,1458,1440,1422,1406,1390,1374,1360,1345,1332,1318,1305,1293,1281
Offshore Wind,Class 3,capital,low tech,2795,2671,2576,2499,2433,2374,2320,2270,2224,2180,2139,2099,2080,2062,2045,2029,2014,2000,1986,1974,1961,1950,1939,1928,1918,1908,1898,1889,1880,1872,1863,1855
Offshore Wind,Class 4,capital,adv tech,2655,2444,2286,2158,2049,1953,1866,1787,1713,1644,1579,1517,1483,1451,1421,1394,1367,1342,1319,1296,1275,1255,1235,1216,1198,1181,1164,1148,1132,1117,1103,1088
Offshore Wind,Class 4,capital,central,2756,2565,2423,2307,2208,2120,2041,1968,1900,1836,1776,1718,1688,1660,1633,1609,1585,1563,1542,1522,1503,1485,1468,1451,1435,1420,1405,1390,1377,1363,1350,1338
Offshore Wind,Class 4,capital,low tech,2919,2789,2690,2610,2540,2479,2423,2371,2322,2277,2233,2192,2172,2153,2135,2119,2103,2088,2074,2061,2048,2036,2024,2013,2003,1992,1982,1973,1963,1954,1946,1937
Offshore Wind,Class 5,capital,adv tech,2702,2487,2326,2196,2085,1987,1899,1818,1743,1673,1607,1544,1509,1477,1446,1418,1391,1366,1342,1319,1297,1277,1257,1238,1219,1202,1185,1168,1152,1137,1122,1108
Offshore Wind,Class 5,capital,central,2804,2610,2466,2348,2247,2157,2077,2002,1933,1868,1807,1749,1718,1689,1662,1637,1613,1591,1569,1549,1530,1511,1494,1477,1460,1445,1430,1415,1401,1387,1374,1361
Offshore Wind,Class 5,capital,low tech,2970,2838,2738,2656,2585,2522,2465,2413,2363,2317,2273,2231,2210,2191,2173,2156,2140,2125,2111,2097,2084,2072,2060,2049,2038,2027,2017,2008,1998,1989,1980,1972
Offshore Wind,Class 6,capital,adv tech,2727,2510,2348,2217,2105,2006,1917,1835,1760,1689,1622,1558,1523,1490,1460,1431,1404,1379,1354,1331,1309,1288,1268,1249,1231,1213,1196,1179,1163,1147,1132,1118
Offshore Wind,Class 6,capital,central,2830,2635,2488,2369,2267,2177,2096,2021,1951,1886,1824,1765,1734,1705,1678,1652,1628,1605,1584,1563,1544,1525,1507,1490,1474,1458,1443,1428,1414,1400,1387,1374
Offshore Wind,Class 6,capital,low tech,2998,2864,2763,2680,2609,2546,2488,2435,2385,2338,2294,2251,2230,2211,2193,2176,2160,2145,2130,2117,2104,2091,2079,2068,2057,2046,2036,2026,2017,2007,1998,1990
Offshore Wind,Class 7,capital,adv tech,2976,2739,2562,2419,2297,2189,2092,2003,1920,1843,1770,1700,1662,1627,1593,1562,1533,1505,1478,1453,1429,1406,1384,1363,1343,1323,1305,1287,1269,1252,1236,1220
Offshore Wind,Class 7,capital,central,3089,2875,2716,2586,2474,2376,2287,2205,2129,2058,1990,1926,1892,1860,1831,1803,1777,1752,1729,1706,1685,1665,1645,1626,1608,1591,1575,1558,1543,1528,1513,1499
Offshore Wind,Class 7,capital,low tech,3272,3126,3016,2925,2847,2778,2715,2657,2603,2552,2503,2457,2434,2413,2393,2375,2357,2341,2325,2310,2296,2282,2269,2257,2245,2233,2222,2211,2201,2191,2181,2172
Offshore Wind,Class 8,capital,adv tech,3630,3354,3148,2981,2838,2713,2599,2495,2398,2308,2222,2141,2096,2055,2016,1980,1946,1913,1883,1853,1826,1799,1773,1749,1726,1703,1681,1660,1640,1620,1601,1583
Offshore Wind,Class 8,capital,central,3762,3519,3337,3190,3064,2952,2852,2760,2674,2593,2517,2445,2406,2370,2336,2304,2274,2246,2219,2193,2169,2146,2123,2102,2081,2062,2043,2024,2006,1989,1973,1956
