# ../aglu-data/LDS//Water_footprint_m3.csv
# Written by LA000.LDS_names.R
# Thu Mar 17 17:34:28 2016
# "  "
# "  "
"iso","GLU","GTAP_crop","water_type","value"
"can",2,"Barley","blue",9638
"rus",9,"Barley","blue",4320
"can",10,"Barley","blue",13298
"dnk",12,"Barley","blue",9
"rus",13,"Barley","blue",324
"rus",14,"Barley","blue",11179
"blr",17,"Barley","blue",1923
"rus",17,"Barley","blue",401487
"kaz",18,"Barley","blue",16174
"rus",18,"Barley","blue",223098112
"rus",20,"Barley","blue",154934
"dnk",21,"Barley","blue",683844
"est",22,"Barley","blue",170
"lva",22,"Barley","blue",24
"rus",22,"Barley","blue",10584
"can",23,"Barley","blue",101473160
"usa",23,"Barley","blue",1680422
"gbr",24,"Barley","blue",2
"blr",25,"Barley","blue",280234
"ltu",25,"Barley","blue",845
"lva",25,"Barley","blue",23
"rus",25,"Barley","blue",12744
"gbr",26,"Barley","blue",247011
"can",27,"Barley","blue",8621
"blr",30,"Barley","blue",395215
"svk",30,"Barley","blue",8
"ukr",30,"Barley","blue",1281
"fra",32,"Barley","blue",96316
"lux",32,"Barley","blue",6
"rus",33,"Barley","blue",40191
"blr",35,"Barley","blue",855516
"ltu",35,"Barley","blue",140
"rus",35,"Barley","blue",14394
"fra",36,"Barley","blue",395048
"chn",37,"Barley","blue",4253
"prk",37,"Barley","blue",148685
"rus",37,"Barley","blue",43816
"kaz",38,"Barley","blue",13882413
"rus",38,"Barley","blue",9054262
"blr",39,"Barley","blue",3200790
"rus",39,"Barley","blue",5551813
"ukr",39,"Barley","blue",61656432
"esp",41,"Barley","blue",3
"fra",41,"Barley","blue",6890711
"chn",42,"Barley","blue",1458419
"kaz",42,"Barley","blue",21333162
"rus",42,"Barley","blue",141212
"chn",43,"Barley","blue",1692517
"rus",43,"Barley","blue",10449251
"fra",44,"Barley","blue",12594493
"aze",45,"Barley","blue",98126
"kaz",45,"Barley","blue",2394887
"rus",45,"Barley","blue",191199376
"fra",46,"Barley","blue",8857330
"mda",47,"Barley","blue",5334
"rus",47,"Barley","blue",102725640
"ukr",47,"Barley","blue",72387704
"rus",48,"Barley","blue",23936906
"mda",49,"Barley","blue",479682
"ukr",49,"Barley","blue",2414208
"jpn",51,"Barley","blue",27742
"afg",52,"Barley","blue",53999616
"irn",52,"Barley","blue",26291812
"tkm",52,"Barley","blue",20438544
"uzb",52,"Barley","blue",2263542
"rus",53,"Barley","blue",203363168
"ukr",53,"Barley","blue",13263196
"aut",54,"Barley","blue",434
"hun",54,"Barley","blue",1176281
"mda",54,"Barley","blue",401409
"rom",54,"Barley","blue",356
"svk",54,"Barley","blue",4627824
"ukr",54,"Barley","blue",5643352
"tur",55,"Barley","blue",1225982
"kaz",56,"Barley","blue",22543714
"rus",56,"Barley","blue",64346588
"afg",58,"Barley","blue",183940064
"kaz",58,"Barley","blue",4743036
"tjk",58,"Barley","blue",1223398
"tkm",58,"Barley","blue",6104867
"uzb",58,"Barley","blue",9306699
"esp",60,"Barley","blue",197637
"fra",60,"Barley","blue",16
"esp",61,"Barley","blue",1584152
"fra",61,"Barley","blue",458629
"fra",62,"Barley","blue",4047632
"esp",63,"Barley","blue",1495541
"fra",63,"Barley","blue",23446
"esp",64,"Barley","blue",1732
"fra",64,"Barley","blue",8076254
"prk",65,"Barley","blue",7002802
"chn",66,"Barley","blue",7064029
"prk",66,"Barley","blue",1024103
"esp",67,"Barley","blue",91353664
"kaz",68,"Barley","blue",55609944
"kgz",68,"Barley","blue",1031121
"geo",70,"Barley","blue",597194
"tur",70,"Barley","blue",33639124
"esp",71,"Barley","blue",45571708
"arm",72,"Barley","blue",29552864
"aze",72,"Barley","blue",108650672
"geo",72,"Barley","blue",2326199
"irn",72,"Barley","blue",575227
"rus",72,"Barley","blue",148895
"tur",72,"Barley","blue",7164075
"esp",73,"Barley","blue",198572336
"fra",73,"Barley","blue",225
"esp",74,"Barley","blue",204560864
"cyp",75,"Barley","blue",2981277
"egy",75,"Barley","blue",3259415
"pse",75,"Barley","blue",152114
"syr",75,"Barley","blue",9077627
"tur",75,"Barley","blue",73255584
"kaz",76,"Barley","blue",200493616
"kgz",76,"Barley","blue",1783533
"rus",76,"Barley","blue",325843
"tjk",76,"Barley","blue",1236069
"uzb",76,"Barley","blue",3180807
"chn",77,"Barley","blue",29402760
"chn",78,"Barley","blue",11624656
"chn",79,"Barley","blue",18240516
"lby",80,"Barley","blue",107746960
"tun",80,"Barley","blue",25656844
"esp",81,"Barley","blue",137924752
"prt",81,"Barley","blue",2
"irn",82,"Barley","blue",83798560
"esp",83,"Barley","blue",48338796
"irn",84,"Barley","blue",71819328
"irq",84,"Barley","blue",3406295296
"syr",84,"Barley","blue",20915638
"tur",84,"Barley","blue",27119476
"chn",85,"Barley","blue",145697
"kgz",85,"Barley","blue",6
"egy",87,"Barley","blue",209389728
"eri",87,"Barley","blue",1532
"eth",87,"Barley","blue",806073
"irn",88,"Barley","blue",42629160
"afg",89,"Barley","blue",49111108
"ind",89,"Barley","blue",14779712
"pak",89,"Barley","blue",266706816
"afg",90,"Barley","blue",24631218
"irn",90,"Barley","blue",447596
"mex",91,"Barley","blue",91792
"jor",93,"Barley","blue",146742
"sau",93,"Barley","blue",36892012
"yem",93,"Barley","blue",128352744
"kwt",94,"Barley","blue",4503655
"omn",94,"Barley","blue",1691554
"qat",94,"Barley","blue",7480078
"sau",94,"Barley","blue",105079080
"yem",94,"Barley","blue",1565108
"jor",95,"Barley","blue",7767625
"pse",95,"Barley","blue",185451
"syr",95,"Barley","blue",2240816
"mex",96,"Barley","blue",5453621
"usa",96,"Barley","blue",942479
"afg",97,"Barley","blue",159173584
"irn",97,"Barley","blue",62990
"jor",98,"Barley","blue",448501
"jor",99,"Barley","blue",768361
"sau",99,"Barley","blue",17438100
"syr",99,"Barley","blue",6818163
"tur",99,"Barley","blue",26153
"pak",102,"Barley","blue",9739731
"pak",104,"Barley","blue",10759992
"mex",105,"Barley","blue",5800125
"chn",106,"Barley","blue",18183178
"ind",107,"Barley","blue",312052896
"pak",107,"Barley","blue",68262928
"chn",108,"Barley","blue",2525367
"chn",109,"Barley","blue",868463
"btn",110,"Barley","blue",68872
"chn",110,"Barley","blue",803291
"ind",110,"Barley","blue",779485376
"chn",112,"Barley","blue",173125
"ind",113,"Barley","blue",8459649
"mex",114,"Barley","blue",17487282
"mex",115,"Barley","blue",30703394
"ind",117,"Barley","blue",1592
"ind",118,"Barley","blue",565
"ind",120,"Barley","blue",12291
"ind",122,"Barley","blue",2704
"chn",124,"Barley","blue",133674
"chn",125,"Barley","blue",1219871
"chn",127,"Barley","blue",516805
"mex",130,"Barley","blue",2571309
"mex",131,"Barley","blue",259090688
"mex",132,"Barley","blue",153214528
"mex",134,"Barley","blue",79879840
"chn",137,"Barley","blue",401489
"egy",144,"Barley","blue",532163
"lby",144,"Barley","blue",25042046
"tun",144,"Barley","blue",11439
"bol",156,"Barley","blue",2854372
"ecu",156,"Barley","blue",1256805
"per",156,"Barley","blue",136897088
"ecu",157,"Barley","blue",2392232
"arg",169,"Barley","blue",130
"chl",169,"Barley","blue",16123267
"eth",170,"Barley","blue",392522
"eth",179,"Barley","blue",2372265
"per",180,"Barley","blue",53648720
"zwe",188,"Barley","blue",8751186
"zwe",190,"Barley","blue",6903773
"zaf",194,"Barley","blue",34280712
"bra",195,"Barley","blue",18
"zaf",198,"Barley","blue",1772903
"zaf",199,"Barley","blue",92596
"zwe",199,"Barley","blue",473809
"bol",200,"Barley","blue",6984034
"per",200,"Barley","blue",8237636
"arg",203,"Barley","blue",2854578
"zaf",204,"Barley","blue",523697
"arg",205,"Barley","blue",69129
"arg",206,"Barley","blue",288656
"bol",206,"Barley","blue",2900916
"bra",206,"Barley","blue",277
"chl",207,"Barley","blue",278990
"arg",209,"Barley","blue",78183
"arg",210,"Barley","blue",331274
"arg",212,"Barley","blue",295628
"arg",213,"Barley","blue",3207622
"arg",215,"Barley","blue",37319
"mex",217,"Barley","blue",19770
"usa",217,"Barley","blue",102341128
"usa",218,"Barley","blue",246844
"usa",220,"Barley","blue",6614383
"mex",221,"Barley","blue",999474
"usa",221,"Barley","blue",86629768
"usa",222,"Barley","blue",93001480
"can",223,"Barley","blue",238200
"usa",223,"Barley","blue",332539872
"usa",224,"Barley","blue",573443
"usa",226,"Barley","blue",49442
"can",227,"Barley","blue",877
"usa",227,"Barley","blue",17679
"usa",228,"Barley","blue",1457
"can",229,"Barley","blue",35564
"usa",229,"Barley","blue",699661568
"usa",230,"Barley","blue",13
"mex",231,"Barley","blue",41184768
"usa",231,"Barley","blue",90989752
"can",232,"Barley","blue",13
"usa",232,"Barley","blue",29
"usa",233,"Barley","blue",1770727
"ind",235,"Barley","blue",206586
"sen",142,"Cassava","blue",241174
"ner",149,"Cassava","blue",30465332
"ner",151,"Cassava","blue",1800378
"sen",152,"Cassava","blue",9494
"bra",156,"Cassava","blue",108309
"bra",168,"Cassava","blue",159
"bra",172,"Cassava","blue",182389
"bra",174,"Cassava","blue",53518
"bra",186,"Cassava","blue",3548602
"bra",187,"Cassava","blue",841798
"bra",192,"Cassava","blue",1180266
"bra",195,"Cassava","blue",7013354
"bra",206,"Cassava","blue",1074577
"som",100,"Coconuts","blue",1038539
"pri",101,"Coconuts","blue",240182
"bra",156,"Coconuts","blue",156330
"bra",168,"Coconuts","blue",175
"som",170,"Coconuts","blue",33987076
"bra",172,"Coconuts","blue",221863
"bra",174,"Coconuts","blue",1207173
"som",179,"Coconuts","blue",215402
"bra",186,"Coconuts","blue",13684490
"bra",187,"Coconuts","blue",1864169
"bra",192,"Coconuts","blue",11661405
"bra",195,"Coconuts","blue",9520878
"bra",206,"Coconuts","blue",10538949
"bdi",87,"Coffee","blue",376007
"eth",87,"Coffee","blue",6765002
"ken",87,"Coffee","blue",5044044
"yem",93,"Coffee","blue",177933888
"yem",94,"Coffee","blue",778273
"eth",100,"Coffee","blue",27325
"jam",101,"Coffee","blue",341950
"gtm",135,"Coffee","blue",1363
"slv",135,"Coffee","blue",6287594
"ven",143,"Coffee","blue",55210392
"bra",156,"Coffee","blue",132481
"ven",156,"Coffee","blue",70782392
"ven",161,"Coffee","blue",75016
"ven",166,"Coffee","blue",57538
"eth",170,"Coffee","blue",1154754
"ken",170,"Coffee","blue",8293411
"ken",171,"Coffee","blue",37337468
"mwi",171,"Coffee","blue",704606
"tza",171,"Coffee","blue",38515
"bra",172,"Coffee","blue",608
"bra",174,"Coffee","blue",492072
"eth",179,"Coffee","blue",6390235
"ken",179,"Coffee","blue",1357636
"bdi",183,"Coffee","blue",1289867
"rwa",183,"Coffee","blue",15066
"zmb",183,"Coffee","blue",2264596
"bra",186,"Coffee","blue",1593195
"bra",187,"Coffee","blue",158938
"cod",188,"Coffee","blue",78912
"mwi",188,"Coffee","blue",20793232
"zmb",188,"Coffee","blue",33994116
"zwe",188,"Coffee","blue",21964406
"moz",190,"Coffee","blue",31443
"zwe",190,"Coffee","blue",18907104
"bra",192,"Coffee","blue",31088186
"bra",195,"Coffee","blue",192681312
"zwe",199,"Coffee","blue",1900608
"bra",206,"Coffee","blue",116594528
"pry",206,"Coffee","blue",7
"kaz",18,"Cotton","blue",66672
"chn",37,"Cotton","blue",1324
"kaz",38,"Cotton","blue",19317758
"chn",42,"Cotton","blue",199993088
"kaz",42,"Cotton","blue",15709791
"aze",45,"Cotton","blue",541589
"kaz",45,"Cotton","blue",4185062
"afg",52,"Cotton","blue",48046596
"irn",52,"Cotton","blue",869551616
"tkm",52,"Cotton","blue",3270132736
"uzb",52,"Cotton","blue",701992768
"bgr",54,"Cotton","blue",17494
"alb",55,"Cotton","blue",443954
"bgr",55,"Cotton","blue",5708310
"grc",55,"Cotton","blue",1464647168
"kaz",56,"Cotton","blue",28720624
"afg",58,"Cotton","blue",166582736
"kaz",58,"Cotton","blue",32879504
"kgz",58,"Cotton","blue",969562
"tjk",58,"Cotton","blue",1063019264
"tkm",58,"Cotton","blue",831119168
"uzb",58,"Cotton","blue",5925124096
"chn",66,"Cotton","blue",19481298
"prk",66,"Cotton","blue",16880
"esp",67,"Cotton","blue",155351904
"chn",68,"Cotton","blue",2319937
"kaz",68,"Cotton","blue",114659960
"kgz",68,"Cotton","blue",11672141
"tur",70,"Cotton","blue",20504504
"aze",72,"Cotton","blue",529878688
"irn",72,"Cotton","blue",87181296
"egy",75,"Cotton","blue",9327913
"isr",75,"Cotton","blue",57469960
"syr",75,"Cotton","blue",498715552
"tur",75,"Cotton","blue",3319181312
"kaz",76,"Cotton","blue",362853792
"kgz",76,"Cotton","blue",100614240
"tjk",76,"Cotton","blue",559745984
"uzb",76,"Cotton","blue",4477090816
"chn",77,"Cotton","blue",1470357632
"chn",78,"Cotton","blue",310504992
"chn",79,"Cotton","blue",423586368
"mar",80,"Cotton","blue",1816488
"esp",81,"Cotton","blue",2578530
"irn",82,"Cotton","blue",719298240
"esp",83,"Cotton","blue",548446144
"irn",84,"Cotton","blue",17800856
"irq",84,"Cotton","blue",260621216
"syr",84,"Cotton","blue",1220865408
"tur",84,"Cotton","blue",1934715008
"chn",85,"Cotton","blue",855339712
"kgz",85,"Cotton","blue",1029
"mar",86,"Cotton","blue",770513
"egy",87,"Cotton","blue",2710895360
"eth",87,"Cotton","blue",42857356
"ken",87,"Cotton","blue",1136042
"sdn",87,"Cotton","blue",1057965568
"tza",87,"Cotton","blue",8221
"irn",88,"Cotton","blue",69348096
"afg",89,"Cotton","blue",33826492
"ind",89,"Cotton","blue",1681579648
"pak",89,"Cotton","blue",8977525760
"afg",90,"Cotton","blue",37191436
"irn",90,"Cotton","blue",2704634
"yem",93,"Cotton","blue",141788464
"yem",94,"Cotton","blue",1571608
"isr",95,"Cotton","blue",25450458
"syr",95,"Cotton","blue",46815876
"mex",96,"Cotton","blue",44996424
"usa",96,"Cotton","blue",3024338
"afg",97,"Cotton","blue",122619296
"syr",99,"Cotton","blue",195536864
"tur",99,"Cotton","blue",2175958
"eth",100,"Cotton","blue",1731
"sdn",100,"Cotton","blue",11558906
"som",100,"Cotton","blue",371490
"hti",101,"Cotton","blue",254862
"pak",102,"Cotton","blue",59168536
"pak",104,"Cotton","blue",158209472
"mex",105,"Cotton","blue",145655504
"chn",106,"Cotton","blue",308237344
"ind",107,"Cotton","blue",7774635008
"pak",107,"Cotton","blue",2581762560
"chn",108,"Cotton","blue",44881
"chn",109,"Cotton","blue",21760
"ind",110,"Cotton","blue",625353152
"mmr",110,"Cotton","blue",2
"npl",110,"Cotton","blue",1119
"hnd",111,"Cotton","blue",6
"ind",113,"Cotton","blue",208278736
"mex",114,"Cotton","blue",6592017
"mmr",116,"Cotton","blue",1621
"ind",117,"Cotton","blue",188004272
"ind",123,"Cotton","blue",298980096
"chn",125,"Cotton","blue",4900
"lao",125,"Cotton","blue",1418328
"mmr",125,"Cotton","blue",12445
"lao",126,"Cotton","blue",17399
"chn",127,"Cotton","blue",1
"mmr",127,"Cotton","blue",109433
"ind",128,"Cotton","blue",2631691
"ind",129,"Cotton","blue",8265820
"hnd",135,"Cotton","blue",90549
"chn",137,"Cotton","blue",280
"mmr",137,"Cotton","blue",888518
"mmr",138,"Cotton","blue",203394
"mmr",139,"Cotton","blue",35386
"ind",140,"Cotton","blue",489659488
"nga",142,"Cotton","blue",26694
"col",143,"Cotton","blue",3568729
"ven",143,"Cotton","blue",19569140
"egy",144,"Cotton","blue",6689097
"mar",144,"Cotton","blue",55176
"ind",145,"Cotton","blue",8471918
"lao",146,"Cotton","blue",13925
"ind",147,"Cotton","blue",28691960
"ner",149,"Cotton","blue",17867244
"nga",149,"Cotton","blue",13262651
"cmr",151,"Cotton","blue",15363
"nga",151,"Cotton","blue",7487101
"sdn",151,"Cotton","blue",1441674
"ind",153,"Cotton","blue",50650844
"ind",155,"Cotton","blue",14134234
"bra",156,"Cotton","blue",56
"col",156,"Cotton","blue",306391
"ecu",156,"Cotton","blue",35115
"per",156,"Cotton","blue",41300504
"ven",156,"Cotton","blue",25259606
"col",157,"Cotton","blue",82885
"per",157,"Cotton","blue",708380
"col",166,"Cotton","blue",5107328
"eth",170,"Cotton","blue",12747206
"ken",170,"Cotton","blue",2120668
"som",170,"Cotton","blue",27552106
"ken",171,"Cotton","blue",2788664
"tza",171,"Cotton","blue",71422000
"bra",172,"Cotton","blue",24872
"bra",174,"Cotton","blue",297407
"mdg",177,"Cotton","blue",26838230
"eth",179,"Cotton","blue",72057896
"ken",179,"Cotton","blue",1178279
"som",179,"Cotton","blue",2631
"tza",179,"Cotton","blue",7220288
"ecu",180,"Cotton","blue",16
"per",180,"Cotton","blue",249859440
"tza",183,"Cotton","blue",1948279
"zmb",183,"Cotton","blue",5
"bra",186,"Cotton","blue",4031294
"bra",187,"Cotton","blue",327618
"cod",188,"Cotton","blue",11
"mwi",188,"Cotton","blue",2
"nam",188,"Cotton","blue",33657
"tza",188,"Cotton","blue",301800
"zmb",188,"Cotton","blue",259382
"zwe",188,"Cotton","blue",14419211
"aus",189,"Cotton","blue",44615944
"zwe",190,"Cotton","blue",4238744
"bra",192,"Cotton","blue",25185972
"nam",194,"Cotton","blue",1588717
"zaf",194,"Cotton","blue",46827136
"bra",195,"Cotton","blue",5265009
"nam",196,"Cotton","blue",126213
"zaf",196,"Cotton","blue",4038
"nam",197,"Cotton","blue",482195
"swz",198,"Cotton","blue",112
"zaf",198,"Cotton","blue",24435946
"zaf",199,"Cotton","blue",231422288
"zwe",199,"Cotton","blue",177936
"bol",200,"Cotton","blue",394
"per",200,"Cotton","blue",784838
"arg",203,"Cotton","blue",18339906
"zaf",204,"Cotton","blue",682856
"arg",205,"Cotton","blue",1436999
"arg",206,"Cotton","blue",39172484
"bra",206,"Cotton","blue",638198
"aus",208,"Cotton","blue",2635264512
"mex",217,"Cotton","blue",2516631
"usa",217,"Cotton","blue",1541623040
"usa",218,"Cotton","blue",234803
"usa",219,"Cotton","blue",2075309824
"mex",221,"Cotton","blue",61727612
"usa",221,"Cotton","blue",723476608
"usa",223,"Cotton","blue",1150
"usa",224,"Cotton","blue",847239616
"usa",225,"Cotton","blue",3740686336
"usa",226,"Cotton","blue",279846784
"usa",228,"Cotton","blue",1350
"usa",230,"Cotton","blue",5892965
"mex",231,"Cotton","blue",605424832
"usa",231,"Cotton","blue",146344544
"usa",233,"Cotton","blue",146736
"ind",235,"Cotton","blue",510419328
"chn",37,"Groundnut","blue",505586
"chn",42,"Groundnut","blue",297385
"chn",43,"Groundnut","blue",31855860
"chn",66,"Groundnut","blue",63862848
"irn",72,"Groundnut","blue",23624
"egy",75,"Groundnut","blue",30354980
"isr",75,"Groundnut","blue",14044899
"lbn",75,"Groundnut","blue",9180790
"pse",75,"Groundnut","blue",53349
"syr",75,"Groundnut","blue",12226736
"tur",75,"Groundnut","blue",100277608
"chn",77,"Groundnut","blue",388781792
"chn",78,"Groundnut","blue",190085808
"chn",79,"Groundnut","blue",98445416
"lby",80,"Groundnut","blue",30611884
"mar",80,"Groundnut","blue",2155569
"syr",84,"Groundnut","blue",26272150
"tur",84,"Groundnut","blue",1440416
"mar",86,"Groundnut","blue",42513392
"egy",87,"Groundnut","blue",289984736
"sdn",87,"Groundnut","blue",345925984
"ind",89,"Groundnut","blue",1452937
"pak",89,"Groundnut","blue",7659
"sau",93,"Groundnut","blue",1254355
"sau",94,"Groundnut","blue",4583047
"isr",95,"Groundnut","blue",4340546
"lbn",95,"Groundnut","blue",4181311
"syr",95,"Groundnut","blue",3599952
"sau",99,"Groundnut","blue",109418
"syr",99,"Groundnut","blue",11022597
"tur",99,"Groundnut","blue",2566
"sdn",100,"Groundnut","blue",6179738
"chn",106,"Groundnut","blue",324444800
"ind",107,"Groundnut","blue",564180416
"chn",108,"Groundnut","blue",13864474
"chn",109,"Groundnut","blue",151285
"ind",110,"Groundnut","blue",216339568
"chn",112,"Groundnut","blue",1006272
"ind",113,"Groundnut","blue",13583967
"mmr",116,"Groundnut","blue",31
"ind",117,"Groundnut","blue",129350888
"ind",118,"Groundnut","blue",112012
"ind",120,"Groundnut","blue",3276014
"ind",122,"Groundnut","blue",19656902
"ind",123,"Groundnut","blue",121205080
"chn",124,"Groundnut","blue",147832
"chn",125,"Groundnut","blue",111617
"mmr",125,"Groundnut","blue",141
"chn",127,"Groundnut","blue",32688
"mmr",127,"Groundnut","blue",691
"ind",128,"Groundnut","blue",40152328
"ind",129,"Groundnut","blue",17518488
"chn",137,"Groundnut","blue",10574
"mmr",137,"Groundnut","blue",36035
"mmr",138,"Groundnut","blue",2793
"mmr",139,"Groundnut","blue",234
"ind",140,"Groundnut","blue",750695552
"egy",144,"Groundnut","blue",420753
"lby",144,"Groundnut","blue",3869797
"ind",145,"Groundnut","blue",128430152
"ind",147,"Groundnut","blue",176794992
"gin",149,"Groundnut","blue",255
"mli",149,"Groundnut","blue",2006890
"ner",149,"Groundnut","blue",66177704
"ner",151,"Groundnut","blue",3527590
"sdn",151,"Groundnut","blue",3502994
"mli",152,"Groundnut","blue",531550
"ind",153,"Groundnut","blue",149194000
"ind",155,"Groundnut","blue",49108952
"bra",156,"Groundnut","blue",15
"gab",162,"Groundnut","blue",3504101
"bra",174,"Groundnut","blue",73
"aus",184,"Groundnut","blue",534
"bra",186,"Groundnut","blue",2134
"zwe",188,"Groundnut","blue",1990443
"aus",189,"Groundnut","blue",22970932
"moz",190,"Groundnut","blue",111
"zwe",190,"Groundnut","blue",3582480
"bra",192,"Groundnut","blue",207868
"zaf",194,"Groundnut","blue",42515092
"bra",195,"Groundnut","blue",242075
"zaf",198,"Groundnut","blue",234599
"zaf",199,"Groundnut","blue",15235460
"zwe",199,"Groundnut","blue",160426
"arg",203,"Groundnut","blue",1398872
"zaf",204,"Groundnut","blue",1467611
"arg",205,"Groundnut","blue",3155024
"arg",206,"Groundnut","blue",12709194
"bra",206,"Groundnut","blue",166187
"aus",208,"Groundnut","blue",3911863
"arg",209,"Groundnut","blue",91920
"arg",210,"Groundnut","blue",24010
"usa",219,"Groundnut","blue",541921
"usa",224,"Groundnut","blue",97207624
"usa",225,"Groundnut","blue",232414416
"usa",226,"Groundnut","blue",118697128
"usa",231,"Groundnut","blue",260326
"usa",233,"Groundnut","blue",100175
"ind",235,"Groundnut","blue",20882248
"rus",9,"Maize","blue",18677
"rus",13,"Maize","blue",4968
"rus",14,"Maize","blue",45787
"rus",17,"Maize","blue",887451
"kaz",18,"Maize","blue",828
"rus",18,"Maize","blue",359451680
"can",19,"Maize","blue",35886
"rus",20,"Maize","blue",818398
"deu",21,"Maize","blue",138367
"pol",21,"Maize","blue",891
"rus",22,"Maize","blue",201996
"can",23,"Maize","blue",34530340
"usa",23,"Maize","blue",38629892
"blr",25,"Maize","blue",377954
"ltu",25,"Maize","blue",2223
"rus",25,"Maize","blue",47148
"can",27,"Maize","blue",728370
"deu",28,"Maize","blue",1495054
"nld",28,"Maize","blue",20626
"deu",29,"Maize","blue",309329
"pol",29,"Maize","blue",2163090
"blr",30,"Maize","blue",682194
"pol",30,"Maize","blue",2118713
"svk",30,"Maize","blue",94
"ukr",30,"Maize","blue",6619
"deu",31,"Maize","blue",2811621
"pol",31,"Maize","blue",4656
"bel",32,"Maize","blue",52537
"che",32,"Maize","blue",55631
"deu",32,"Maize","blue",1974604
"fra",32,"Maize","blue",16468785
"nld",32,"Maize","blue",2770144
"pol",33,"Maize","blue",303914
"rus",33,"Maize","blue",179158
"blr",35,"Maize","blue",1492111
"ltu",35,"Maize","blue",439
"pol",35,"Maize","blue",1358
"rus",35,"Maize","blue",50487
"bel",36,"Maize","blue",341950
"fra",36,"Maize","blue",5709677
"nld",36,"Maize","blue",461788
"chn",37,"Maize","blue",12915
"prk",37,"Maize","blue",84419
"kaz",38,"Maize","blue",16884
"rus",38,"Maize","blue",50045584
"blr",39,"Maize","blue",2706732
"rus",39,"Maize","blue",14655352
"ukr",39,"Maize","blue",147122048
"can",40,"Maize","blue",190
"bel",41,"Maize","blue",1
"esp",41,"Maize","blue",3
"fra",41,"Maize","blue",308070272
"chn",42,"Maize","blue",948248000
"kaz",42,"Maize","blue",4781505
"rus",42,"Maize","blue",7662
"chn",43,"Maize","blue",529512224
"rus",43,"Maize","blue",2193009
"fra",44,"Maize","blue",306271456
"aze",45,"Maize","blue",88028
"rus",45,"Maize","blue",145734400
"fra",46,"Maize","blue",112812696
"mda",47,"Maize","blue",2199417
"rus",47,"Maize","blue",43492468
"ukr",47,"Maize","blue",179429872
"rus",48,"Maize","blue",19599240
"mda",49,"Maize","blue",92309248
"pol",49,"Maize","blue",83
"ukr",49,"Maize","blue",10689681
"ita",50,"Maize","blue",191937136
"jpn",51,"Maize","blue",7027
"afg",52,"Maize","blue",213114384
"irn",52,"Maize","blue",73003424
"tkm",52,"Maize","blue",52843856
"uzb",52,"Maize","blue",12618255
"rus",53,"Maize","blue",277463968
"ukr",53,"Maize","blue",33389688
"alb",54,"Maize","blue",15454
"aut",54,"Maize","blue",838
"bgr",54,"Maize","blue",12881915
"bih",54,"Maize","blue",67534
"deu",54,"Maize","blue",360025
"hrv",54,"Maize","blue",304650
"hun",54,"Maize","blue",7465595
"mda",54,"Maize","blue",58101572
"pol",54,"Maize","blue",674
"rom",54,"Maize","blue",184403936
"scg",54,"Maize","blue",18395052
"svk",54,"Maize","blue",35181164
"svn",54,"Maize","blue",352591
"ukr",54,"Maize","blue",27399376
"alb",55,"Maize","blue",126595344
"bgr",55,"Maize","blue",9617294
"bih",55,"Maize","blue",828981
"grc",55,"Maize","blue",628707072
"hrv",55,"Maize","blue",315874
"ita",55,"Maize","blue",2450943
"mkd",55,"Maize","blue",8887211
"rom",55,"Maize","blue",7391625
"scg",55,"Maize","blue",2822452
"svn",55,"Maize","blue",28041
"tur",55,"Maize","blue",11184504
"chn",56,"Maize","blue",25767714
"kaz",56,"Maize","blue",774465
"rus",56,"Maize","blue",136892144
"ita",57,"Maize","blue",611036864
"afg",58,"Maize","blue",388062336
"kgz",58,"Maize","blue",1496101
"tjk",58,"Maize","blue",50347112
"tkm",58,"Maize","blue",14467514
"uzb",58,"Maize","blue",96480448
"ita",59,"Maize","blue",177761696
"esp",60,"Maize","blue",37692340
"fra",60,"Maize","blue",22121
"prt",60,"Maize","blue",185958544
"esp",61,"Maize","blue",3898285
"fra",61,"Maize","blue",35457452
"ita",61,"Maize","blue",15939
"che",62,"Maize","blue",622
"fra",62,"Maize","blue",139677792
"ita",62,"Maize","blue",1
"esp",63,"Maize","blue",5810114
"fra",63,"Maize","blue",2307968
"ita",63,"Maize","blue",43790144
"esp",64,"Maize","blue",64146
"fra",64,"Maize","blue",482515456
"prk",65,"Maize","blue",4178718
"chn",66,"Maize","blue",755694016
"prk",66,"Maize","blue",750170
"esp",67,"Maize","blue",283779008
"chn",68,"Maize","blue",172310944
"kaz",68,"Maize","blue",118595472
"kgz",68,"Maize","blue",16396291
"ita",69,"Maize","blue",55466040
"geo",70,"Maize","blue",1107007
"tur",70,"Maize","blue",83961520
"esp",71,"Maize","blue",133511112
"prt",71,"Maize","blue",278255456
"arm",72,"Maize","blue",4726
"aze",72,"Maize","blue",85879592
"geo",72,"Maize","blue",7756925
"irn",72,"Maize","blue",111152240
"rus",72,"Maize","blue",79702
"tur",72,"Maize","blue",41991
"esp",73,"Maize","blue",407588480
"fra",73,"Maize","blue",45620
"esp",74,"Maize","blue",285554144
"prt",74,"Maize","blue",158961424
"egy",75,"Maize","blue",50066596
"isr",75,"Maize","blue",24304918
"lbn",75,"Maize","blue",15
"syr",75,"Maize","blue",87558864
"tur",75,"Maize","blue",415146144
"kaz",76,"Maize","blue",268869536
"kgz",76,"Maize","blue",133626840
"rus",76,"Maize","blue",2390271
"tjk",76,"Maize","blue",26697492
