# File: GCAMFAOSTAT_GDP.csv
# Title: FAO real and nominal GDP since 1970
# Units: 2015 million USD or nominal million USD
# Description:  Data is preprocessed and generated by gcamfaostat.
# Data source: FAOSTAT (main domain:MK FAO.udpate:2024-06-12T00:00:00)
# Date of CSV last update: 2024-07-24
# Column types: iicicccnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
area_code,item_code,item,element_code,element,unit,area,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1,22008,Gross Domestic Product,6110,Value US$,million USD,Armenia,917.8939688408531,964.8335553373078,1092.3714253160686,1308.3475636699852,1305.8393731106357,1452.771264024233,1458.189930222697,1563.8407846975597,1779.2709157270376,1909.4692089170126,1990.8405568389412,1920.584622192225,2033.0064292690101,2103.106765563745,1987.0844103999173,1935.9458950103256,1802.7930227309344,1695.293562389443,1659.9426635072898,1656.270473604515,3976.464455821955,2101.656351,1251.976343,1168.728174,1257.275245,1372.097033,1703.037605,1747.514993,2017.852886,1968.057835,2038.534803,2259.108208,2534.163311,2993.550393,3814.176694,5225.97185,6808.524718,9817.806812,12436.664185,9222.356746,9875.377779,10815.777611,10619.320693,11121.46443,11609.513241,10553.337528,10546.13624,11527.458713,12457.940705,13619.290546,12641.698594,13878.917584,19513.645761,24290.324779
1,22008,Gross Domestic Product,6184,"Value US$, 2015 prices",million USD,Armenia,1656.951558024274,1743.257072085327,1792.4112059187296,1930.7286522969584,2023.3213230090091,2076.4763747161123,2204.505746564527,2318.2461260247746,2436.558983044734,2518.2920195409597,2641.7489138271053,2781.781039291505,2994.401246112243,3133.861811882958,3260.7480643388863,3306.472840002506,3357.3416529246374,3427.0719358074366,3605.398560889414,3850.5976703729757,9922.430448868992,5076.491543,2956.732211,2696.219466,2839.851925,3035.551447,3214.65153,3321.410346,3565.209041,3681.264873,3898.298463,4270.847611,4913.626562,5603.539154,6190.108564,7048.413919,7978.662223,9075.664823,9706.21267,8332.78468,8517.364959,8913.487105,9552.160865,9863.3459,10222.582287,10553.337528,10571.472636,11367.422953,11958.81198,12871.303746,11949.879583,12642.527514,14238.626095,15021.75053
2,22008,Gross Domestic Product,6110,Value US$,million USD,Afghanistan,1748.886597,1831.108982,1595.555482,1733.333275,2155.5555,2366.666613,2555.555571,2953.333408,3300.000103,3697.940356,3641.723443,3478.787916,3438.884594,3399.439011,3360.445864,3321.900002,3320.599991,2887.499993,2664.299991,3342.200002,3621.600007,3340.100005,3474.600007,2664.399992,2114.6,3236.3,3124.359411,3016.290743,2911.960069,2719.992175,3531.869351,3620.52525,4285.191376,4898.791114,5504.073142,6474.979835,7292.892929,9999.336197,10296.146493,11931.600355,15144.569659,17923.10025,19794.405855,19904.40934,19500.460924,18699.573704,18224.349783999998,19034.30282,18856.319311,19372.358437,19983.008212,15160.920556,14174.9944,
2,22008,Gross Domestic Product,6184,"Value US$, 2015 prices",million USD,Afghanistan,10576.15944,10546.999961,8817.163363,9072.494885,9567.219858,10160.889826,10716.504026,10176.112132,10929.616322,10648.003645,10252.223667,10472.947116,10686.059412,11211.228998,11416.730141,11447.174755,11789.676659,10579.503264,9704.22062,9019.216811,8737.604135,7782.530111,7908.17898,5933.907017,4612.948016,6916.405187,6551.889478,6215.059222,5932.974168,5645.026267,5334.356981,5031.596019,8302.001638,8918.205513,9059.112101,9881.952167,10706.912294,13522.161303,12531.250377,14580.346934,14940.079247,16116.083225,17744.395901,18752.797165,19183.49062,18699.573704,19220.881815,19559.505749,19911.532902,22050.308243,21595.863371,17117.12495,16048.981789,16379.582538
3,22008,Gross Domestic Product,6110,Value US$,million USD,Albania,2265.577056,2330.58486,2397.526448,2466.543461,2537.015817,2610.110369,2685.745678,2760.746397,2842.275926,2372.305641,2141.837051,2215.474766,2280.424885,2305.384485,2275.736342,2324.414456,2397.086883,2378.19481,2460.399974,2940.586487,2145.751209,1597.139589,1516.132824,1700.439125,1880.950821,2392.764887,3199.642024,2224.654241,2554.868837,3221.670165,3487.586302,3926.887597,4355.865889,5561.459461,7177.030365,8052.079314,8896.076004,10677.32222,12881.352058,12044.21039,11926.948284,12890.873323,12319.779604,12776.280738,13228.240079,11386.924853,11861.356451,13019.729856,15156.439968,15401.82608,15162.734468,17930.56704,18916.380686,22430.768974
3,22008,Gross Domestic Product,6184,"Value US$, 2015 prices",million USD,Albania,3233.191492,3362.545562,3497.515091,3638.042104,3782.495817,3935.808181,4094.417885,4251.197415,4434.070387,4609.664053,4758.616055,5032.026224,5180.403205,5237.643462,5172.088977,5264.185034,5558.70055,5514.890967,5436.545363,5971.533916,5376.107326,3870.682161,3592.49187,3935.912988,4262.706641,4830.598547,5175.420824,4610.047443,5017.084299,5663.822656,6057.248138,6559.593194,6857.173801,7236.281339,7635.348257,8057.313563,8532.902682,9043.447907,9721.71432,10047.807758,10420.26958,10685.510768,10836.949116,10945.53446,11139.761507,11386.924853,11764.400931,12211.70348,12702.534639,12967.713109,12516.225926,13656.606635,14319.829482,14642.025646
4,22008,Gross Domestic Product,6110,Value US$,million USD,Algeria,5155.120658,5363.67616,7176.428384,9229.6222,13259.76465,15555.547083,17750.032488,20990.93914,26373.761387,33201.433009,42252.197741,44264.573122,45094.84277,48702.201863,52827.902259,57866.207279,62922.803868,64333.578322,58655.419182,55344.476937,61751.375957,46565.003199,49105.553595,50846.930343,42330.711146,41971.48842,46836.290499,48068.457028,48079.007974,48531.031757,54666.896857,55056.733057,56819.210891,67863.851626,85332.517817,103198.216067,117027.277939,134977.088396,171000.692135,137211.008421,161207.306305,200019.103013,209059.083118,209755.003251,213809.97948,165979.118154,160034.208045,170096.987241,174910.894611,171760.289831,145743.722822,163472.647076,191912.889424,209826.134628
4,22008,Gross Domestic Product,6184,"Value US$, 2015 prices",million USD,Algeria,34858.471552,31538.996184,38556.860655,40222.966638,41738.621578,44170.515403,46904.107349,51318.929985,56540.138363,60768.111842,61248.548771,63086.002838,67123.509616,70748.181165,74710.076855,77474.347648,77784.245815,77239.758019,76467.356198,79831.921523,80470.577358,79504.929959,80936.020528,79236.363482,78523.238946,81507.117934,84848.908522,85782.246463,90157.14413,93042.17414,96577.776758000007,99475.11006,105045.716224,112609.007792,117451.195127,124380.81564,126495.289505,130796.129349,133935.236453,136078.200236,140977.015445,145065.348893,149997.570755,154197.503687,160057.008828,165979.118154,171290.449935,173517.225784,175599.432494,177355.426819,168310.300051,174032.850253,179427.86861,184157.587227
6,22008,Gross Domestic Product,6110,Value US$,million USD,Andorra,99.476787,113.128492,143.506004,190.863792,236.055468,278.514317,287.588366,321.390137,389.745929,520.742333,564.812657,492.189978,475.654368,414.836776,417.649689,438.742504,609.88194,773.493497,912.838474,1006.552718,1302.006184,1400.576915,1531.034035,1274.297409,1287.524766,1491.495988,1548.787643,1493.901088,1533.515782,1568.801032,1429.044662,1546.913267,1755.992896,2361.635625,2895.042252,3159.831266,3456.261316,3952.395237,4085.783663,3674.186277,3446.565601,3624.386229,3188.830334,3192.603086,3267.334446,2788.757749,2894.646184,3000.160225,3218.419456,3155.151912,2890.997547,3324.641933,3376.020146,3674.13301
6,22008,Gross Domestic Product,6184,"Value US$, 2015 prices",million USD,Andorra,895.861293,937.514127,1013.919146,1092.887886,1154.294916,1160.553541,1198.89581,1232.927359,1250.965128,1251.48486,1279.126758,1277.432317,1293.355021,1316.248903,1339.739833,1370.841033,1415.438902,1493.955034,1570.061947,1645.849313,1708.085351,1751.573213,1767.849102,1749.613884,1791.3106,1840.705883,1889.678314,2061.028199,2126.873685,2214.05597,2239.867151,2421.727778,2531.830698,2751.949965,2975.838041,3136.464407,3287.291041,3338.351233,3152.762962,2985.58127,2926.615166,2926.373176,2780.809045,2682.153507,2749.324401,2788.757749,2892.210741,2902.219066,2948.332113,3007.75129,2671.373136,2892.744416,3169.418677,3210.62112
