# File: GDP_twn.csv
# Title: Taiwan histroical GDP MER
# Units: million 2015 USD and various
# Description: PWT v10.01 is used for years up to 2019. IMF and Taiwan stat were used for extending the values to 2023. gdp_2015USD is the 2015 dollar real GDP while PWT has 2017 usd; 3% inflation is assumed for years after 2020
# Source: PWT, IMF, https://eng.stat.gov.tw/default.aspx
# Column types: cinnnnnnn
# ----------
iso,year,q_gdp,v_gdp,xr2,q_gdp_usd,v_gdp_usd,Def_2015_2017,gdp_2015USD
twn,1970,861275,231397,40,21531.875,5784.925,1.000999704,5779.147563
twn,1971,976907,269084,40,24422.675,6727.1,1.000999704,6720.381608
twn,1972,1112432,322504,40,27810.8,8062.6,1.000999704,8054.547836
twn,1973,1255177,418460,38,33030.97368,11012.10526,1.000999704,11001.10741
twn,1974,1288641,560085,38,33911.60526,14739.07895,1.000999704,14724.35895
twn,1975,1368365,601778,38,36009.60526,15836.26316,1.000999704,15820.44739
twn,1976,1563800,721529,38,41152.63158,18987.60526,1.000999704,18968.64224
twn,1977,1742191,845592,38,45847.13158,22252.42105,1.000999704,22230.19744
twn,1978,1978360,1011422,37,53469.18919,27335.72973,1.000999704,27308.42938
twn,1979,2153121,1219496,36,59808.91667,33874.88889,1.000999704,33841.05785
twn,1980,2326205,1522495,36,64616.80556,42291.52778,1.000999704,42249.29099
twn,1981,2491365,1804431,37,67334.18919,48768.40541,1.000999704,48719.70013
twn,1982,2611204,1938023,39,66953.94872,49692.89744,1.000999704,49643.26886
twn,1983,2846820,2169446,40,71170.5,54236.15,1.000999704,54181.98405
twn,1984,3132895,2418240,40,78322.375,60456,1.000999704,60395.62225
twn,1985,3283503,2535056,40,82087.575,63376.4,1.000999704,63313.10564
twn,1986,3661500,2965448,38,96355.26316,78038.10526,1.000999704,77960.16817
twn,1987,4128372,3344935,32,129011.625,104529.2188,1.000999704,104424.8248
twn,1988,4459625,3615662,29,153780.1724,124678,1.000999704,124553.4834
twn,1989,4848591,4032464,26,186484.2692,155094.7692,1.000999704,154939.8752
twn,1990,5117253,4474288,27,189527.8889,165714.3704,1.000999704,165548.8705
twn,1991,5545659,5018019,27,205394.7778,185852.5556,1.000999704,185666.9436
twn,1992,6006514,5609357,25,240260.56,224374.28,1.000999704,224150.1962
twn,1993,6415796,6200154,26,246761.3846,238467.4615,1.000999704,238229.3028
twn,1994,6897167,6779396,26,265275.6538,260746,1.000999704,260485.5915
twn,1995,7345382,7391062,26,282514.6923,284271.6154,1.000999704,283987.7117
twn,1996,7799080,8031305,27,288854.8148,297455.7407,1.000999704,297158.67
twn,1997,8271027,8705149,29,285207.8276,300177.5517,1.000999704,299877.7627
twn,1998,8618810,9366337,33,261176.0606,283828.3939,1.000999704,283544.9329
twn,1999,9199031,9804503,32,287469.7188,306390.7188,1.000999704,306084.7246
twn,2000,9779891,10328549,31,315480.3548,333179,1.000999704,332846.2523
twn,2001,9642823,10119429,34,283612.4412,297630.2647,1.000999704,297333.0197
twn,2002,10171383,10630911,35,290610.9429,303740.3143,1.000999704,303436.9671
twn,2003,10601087,10924029,34,311796.6765,321294.9706,1.000999704,320974.0915
twn,2004,11338036,11596241,33,343576.8485,351401.2424,1.000999704,351050.296
twn,2005,11948409,12036675,32,373387.7813,376146.0938,1.000999704,375770.4345
twn,2006,12637903,12572587,33,382966.7576,380987.4848,1.000999704,380606.9905
twn,2007,13503670,13363917,33,409202.1212,404967.1818,1.000999704,404562.7388
twn,2008,13611579,13115096,32,425361.8438,409846.75,1.000999704,409437.4338
twn,2009,13392030,12919445,33,405819.0909,391498.3333,1.000999704,391107.3418
twn,2010,14764102,14060345,32,461378.1875,439385.7813,1.000999704,438946.9642
twn,2011,15306543,14262201,29,527811.8276,491800.0345,1.000999704,491308.871
twn,2012,15646580,14677765,30,521552.6667,489258.8333,1.000999704,488770.2078
twn,2013,16035180,15270728,30,534506,509024.2667,1.000999704,508515.9013
twn,2014,16791917,16258047,30,559730.5667,541934.9,1.000999704,541393.6666
twn,2015,17038047,17055080,32,532438.9688,532971.25,1.000999704,532438.9686
twn,2016,17406938,17555268,32,543966.8125,548602.125,1.000999704,548054.233
twn,2017,17983347,17983347,30,599444.9,599444.9,1.000999704,598846.231
twn,2018,18477034,18342891,30,615901.1333,611429.7,1.000999704,610819.0617
twn,2019,18978508,18898571,31,612209.9355,609631.3226,1.000999704,609022.4804
twn,2020,19914806,,,642413.0968,621075.0184,1.000999704,620454.7473
twn,2021,21663231,,,698813.9032,655924.7022,1.000999704,655269.6265
twn,2022,22679843,,,731607.8387,666704.7898,1.000999704,666038.948
twn,2023,,,,805400,712573.4319,1.000999704,711861.7808
