SRES A1T GNP and energy values ,,,,,,,,,,
High Projection for 2005,,,,,,,,,,
SRES A1T GDP/cap and FE/cap in 2095,,,,,,,,,,





Cal GNP,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,
Variable ID,,Millions $1990,,,,,,,,
1006,,,,,,,,,,
,"gnpcalib(L,M)",,,,,,,,,
Region#,2005,2020,2035,2050,2065,2080,2095,,,
1,8457553,12021648,16689449,21996717,29316604,38805986,50618089,USA,,
2,800093,1016057,1438723,1874523,2540525,3386466,4538751,CANADA,,
3,10428540,13665413,18050653,22719467,28610939,35593749,43340278,WEUR
4,3425720,4287025,5267380,6430230,7945278,9791761,11908912,JAPAN
5,452540,616701,840580,1080391,1417676,1805325,2309030,AUS&NZ
6,625348,1498794,3777061,7706507,11462684,16148792,21955258,FSU
7,1383608,4998400,15271912,29857951,46567478,63448772,77031985,ACENP
8,732919,2167502,5639765,11950178,18312584,24977229,30413735,MIDEAST
9,562733,1829426,5870813,15988946,30866232,51899356,76417064,AFR
10,1822931,5046157,12534288,24956536,35856400,46419005,54733706,LA
11,816037,2310623,6606938,13483328,22628141,33343271,43582914,S&E ASIA
12,309976,976988,2502539,4679998,6244454,7864103,9624365,EEUR
13,601844,1439318,2538296,3142490,3732734,4220066,4524020,KOR
14,665230,2248120,7321971,16679337,30943700,49606720,69302956,INDIA
,31085072,54122174,104350367,182546601,276445431,387310602,500301062,Global


FE Calb,,,,,,,,
INPUT_TABLE,,,,,,,,
Variable ID,,,,,,,,
1011,,FE (ratio to 1990),,,,,,
,,"calibFE(L,M)",,,,,,
Region#,2005,2020,2035,2050,2065,2080,2095,
1,1.273,1.449,1.615,1.732,1.836,1.960,2.154,USA
2,1.347,1.389,1.562,1.624,1.707,1.788,1.937,CANADA
3,1.217,1.259,1.317,1.334,1.322,1.314,1.361,WEUR
4,1.318,1.374,1.366,1.341,1.289,1.248,1.217,JAPAN
5,1.465,1.563,1.604,1.561,1.507,1.432,1.413,AUS&NZ
6,0.643,0.687,0.854,1.172,1.289,1.348,1.322,FSU
7,1.229,1.546,2.273,2.942,3.765,4.422,4.674,ACENP
8,1.943,3.932,6.165,8.532,10.989,12.768,13.153,MIDEAST
9,1.324,2.493,4.067,6.100,8.736,11.316,12.784,AFR
10,1.643,3.005,4.519,5.966,7.419,8.445,8.633,LA
11,1.795,2.840,4.597,6.354,8.290,9.678,10.069,S&E ASIA
12,0.755,0.841,0.973,1.145,1.119,1.067,0.985,EEUR,
13,2.566,3.354,3.708,3.559,3.652,3.631,3.465,KOR,
14,1.613,2.665,4.615,6.941,10.036,12.925,14.577,INDIA,
,1.241,1.633,2.190,2.777,3.407,3.933,4.181,Global,



,,,,,,,,,
,,,,,,,,,

EoF,,,,,,,,,



,,,,,,,,,
