 Parameters for 1990 Calibration
 Can use this file instead of calibrating:
 Calibrated for inputs:
 ..\inputs\14reg\ERBPROIN_14.csv                                         
 ..\inputs\14reg\agLU\Auto_Deforest.csv                                  
 ..\inputs\14reg\cal_data1990_14.csv                                     
 ..\inputs\14reg\non-CO2\SO2\so2input14Reg.csv                           
 ..\inputs\14reg\non-CO2\CH4&N2O\ch4n2o_epadata.csv                      
 ..\inputs\14reg\non-CO2\CH4&N2O\ccurves_epa(11-02).csv                  
 ..\inputs\14reg\non-CO2\reactives\noxinput.csv                          
 ..\inputs\14reg\non-CO2\reactives\vocinput.csv                          
 ..\inputs\14reg\non-CO2\reactives\coinput.csv                           
 ..\inputs\14reg\non-CO2\highGWP\HGWPinputs.csv                          
 ..\inputs\14reg\non-CO2\highGWP\HGWPccurves.csv                         
 ..\inputs\14reg\non-CO2\CO2_Cement.csv                                  
 ..\inputs\14reg\non-CO2\blackcarbon\black_carbon.csv                    
 ..\inputs\14reg\non-CO2\blackcarbon\Aerosol_Forcing.csv                 
 ..\inputs\14reg\Scen\sres\SRES_B2_create25%.csv                         
 ..\inputs\14reg\Scen\UN_98Med_pop.csv                                   
 ..\inputs\14reg\foss\IIASA_WEC_Resources.csv                            
 ..\inputs\14reg\foss\Bal_Foss.csv                                       
 ..\inputs\14reg\tech\B2_elec_gen.csv                                    
 ..\inputs\14reg\Scen\SRES-B2_envcosts.csv                               
 
 
 
 Labor productivity growth rate
INPUT_TABLE
 Variable ID
 8
 ,,PROLM,
 Region,1975,1990,2005,2020,2035,2050,2065,2080,2095,
 1, 0.01700000, 0.01182053, 0.01625687, 0.01327163, 0.01153696, 0.00763936, 0.00891368, 0.00942800, 0.01144058,USA     
 2, 0.01700000, 0.00464944, 0.01929975, 0.00898325, 0.02427862, 0.00289829, 0.01244631, 0.00416035, 0.01079440,Canada  
 3, 0.01700000, 0.01276381, 0.02412501, 0.00601229, 0.01088040, 0.00525313, 0.01111539, 0.01198366, 0.00940605,WEurope 
 4, 0.01700000, 0.01029146, 0.01256980, 0.02274386, 0.00482081, 0.00944134, 0.00427238, 0.01259479, 0.01513707,Japan   
 5, 0.01700000, 0.02907385, 0.01214050, 0.02076053, 0.01868842, 0.01330929, 0.00680864,-0.00269523, 0.00938635,Aus&NZ  
 6, 0.01700000, 0.06596290,-0.03437571, 0.03504105, 0.05415488, 0.05387794, 0.02416891, 0.01594825, 0.01284700,FSU     
 7, 0.02500000, 0.09024491, 0.08126216, 0.07193781, 0.06492439, 0.04521973, 0.03182358, 0.01848914, 0.01175357,China&Re
 8, 0.02500000, 0.12315863,-0.00440557, 0.00818625, 0.02104482, 0.02584945, 0.01461361, 0.00903131, 0.00130054,MiddleEa
 9, 0.02500000, 0.06476590, 0.00343276, 0.01582551, 0.03870472, 0.04868245, 0.03907091, 0.03282567, 0.02193282,Africa  
10, 0.02500000, 0.01379231, 0.01084367, 0.01882774, 0.03586691, 0.03422829, 0.02302071, 0.01359649, 0.00661446,LatinAme
11, 0.02500000, 0.02518191, 0.02247681, 0.05082361, 0.04467511, 0.03793384, 0.02116152, 0.01815543, 0.01508882,S&EAsia 
12, 0.01700000, 0.05009889, 0.01940061, 0.05872671, 0.05832314, 0.04904288, 0.01765849, 0.01013359, 0.00828985,EEurope 
13, 0.01700000, 0.12904990, 0.04739461, 0.04314824, 0.02040874, 0.01349868, 0.00053104, 0.00127389, 0.00115519,Korea   
14, 0.02000000, 0.07369627, 0.03433722, 0.06048281, 0.05262516, 0.04454699, 0.02632216, 0.02241676, 0.01855213,India   
 
 
 1990 Normalized to unity
 BSJKLM Logit function scale parameters for enduse sectors
INPUT_TABLE
 Variable ID
240
 ,,BSJKLM,
 Fuel,1975,1990,2005,2020,2035,2050,2065,2080,2095,Sector,Region
 1, 0.35850000, 0.09854806, 0.09816104, 0.09777403, 0.09738701, 0.09700000, 0.09700000, 0.09700000, 0.09700000, 1, 1,USA     
 1, 0.18710000, 0.16670576, 0.17202932, 0.17735288, 0.18267644, 0.18800000, 0.18800000, 0.18800000, 0.18800000, 2, 1,USA     
 1, 0.70300000, 0.00535953, 0.08651965, 0.16767977, 0.24883988, 0.33000000, 0.33000000, 0.33000000, 0.33000000, 3, 1,USA     
 1, 0.54920000, 0.14648164, 0.14686123, 0.14724082, 0.14762041, 0.14800000, 0.14800000, 0.14800000, 0.14800000, 1, 2,Canada  
 1, 0.31840000, 0.14412905, 0.15509678, 0.16606452, 0.17703226, 0.18800000, 0.18800000, 0.18800000, 0.18800000, 2, 2,Canada  
 1, 0.07360000, 0.00219705, 0.08414779, 0.16609853, 0.24804926, 0.33000000, 0.33000000, 0.33000000, 0.33000000, 3, 2,Canada  
 1, 0.54920000, 0.27717899, 0.27813424, 0.27908949, 0.28004475, 0.28100000, 0.28100000, 0.28100000, 0.28100000, 1, 3,WEurope 
 1, 0.31840000, 0.17384689, 0.17738516, 0.18092344, 0.18446172, 0.18800000, 0.18800000, 0.18800000, 0.18800000, 2, 3,WEurope 
 1, 0.07360000, 0.06475236, 0.13106427, 0.19737618, 0.26368809, 0.33000000, 0.33000000, 0.33000000, 0.33000000, 3, 3,WEurope 
 1, 0.45330000, 0.23063893, 0.23347920, 0.23631947, 0.23915973, 0.24200000, 0.24200000, 0.24200000, 0.24200000, 1, 4,Japan   
 1, 0.19480000, 0.15355926, 0.16216945, 0.17077963, 0.17938982, 0.18800000, 0.18800000, 0.18800000, 0.18800000, 2, 4,Japan   
 1, 0.02990000, 0.05403223, 0.12302417, 0.19201611, 0.26100806, 0.33000000, 0.33000000, 0.33000000, 0.33000000, 3, 4,Japan   
 1, 0.45330000, 0.06359525, 0.06344644, 0.06329762, 0.06314881, 0.06300000, 0.06300000, 0.06300000, 0.06300000, 1, 5,Aus&NZ  
 1, 0.19480000, 0.15979894, 0.16684921, 0.17389947, 0.18094974, 0.18800000, 0.18800000, 0.18800000, 0.18800000, 2, 5,Aus&NZ  
 1, 0.02990000, 0.02626127, 0.10219595, 0.17813064, 0.25406532, 0.33000000, 0.33000000, 0.33000000, 0.33000000, 3, 5,Aus&NZ  
 1, 0.41850000, 0.19423581, 0.18717686, 0.18011791, 0.17305895, 0.16600000, 0.16600000, 0.16600000, 0.16600000, 1, 6,FSU     
 1, 0.13410000, 0.21589001, 0.20891750, 0.20194500, 0.19497250, 0.18800000, 0.18800000, 0.18800000, 0.18800000, 2, 6,FSU     
 1, 0.00530000, 0.00313254, 0.08484940, 0.16656627, 0.24828313, 0.33000000, 0.33000000, 0.33000000, 0.33000000, 3, 6,FSU     
 1, 0.13550000, 0.06036354, 0.08677265, 0.11318177, 0.13959088, 0.16600000, 0.16600000, 0.16600000, 0.16600000, 1, 7,China&Re
 1, 0.41200000, 0.16968526, 0.17426395, 0.17884263, 0.18342132, 0.18800000, 0.18800000, 0.18800000, 0.18800000, 2, 7,China&Re
 1, 0.00040000, 0.02352735, 0.10014551, 0.17676367, 0.25338184, 0.33000000, 0.33000000, 0.33000000, 0.33000000, 3, 7,China&Re
 1, 0.21840000, 0.30259535, 0.26844651, 0.23429767, 0.20014884, 0.16600000, 0.16600000, 0.16600000, 0.16600000, 1, 8,MiddleEa
 1, 0.39120000, 0.47832064, 0.40574048, 0.33316032, 0.26058016, 0.18800000, 0.18800000, 0.18800000, 0.18800000, 2, 8,MiddleEa
 1, 1.00000000, 0.62828136, 0.55371102, 0.47914068, 0.40457034, 0.33000000, 0.33000000, 0.33000000, 0.33000000, 3, 8,MiddleEa
 1, 0.63650000, 0.07847381, 0.07910536, 0.07973691, 0.08036845, 0.08100000, 0.08100000, 0.08100000, 0.08100000, 1, 9,Africa  
 1, 0.53660000, 0.17096441, 0.17522331, 0.17948220, 0.18374110, 0.18800000, 0.18800000, 0.18800000, 0.18800000, 2, 9,Africa  
 1, 0.01880000, 0.02628769, 0.10221577, 0.17814384, 0.25407192, 0.33000000, 0.33000000, 0.33000000, 0.33000000, 3, 9,Africa  
 1, 0.51850000, 0.21920970, 0.20590727, 0.19260485, 0.17930242, 0.16600000, 0.16600000, 0.16600000, 0.16600000, 1,10,LatinAme
 1, 0.55810000, 0.25904246, 0.24128184, 0.22352123, 0.20576061, 0.18800000, 0.18800000, 0.18800000, 0.18800000, 2,10,LatinAme
 1, 0.56670000, 0.07998678, 0.14249008, 0.20499339, 0.26749669, 0.33000000, 0.33000000, 0.33000000, 0.33000000, 3,10,LatinAme
 1, 0.42420000, 0.18798123, 0.18248593, 0.17699062, 0.17149531, 0.16600000, 0.16600000, 0.16600000, 0.16600000, 1,11,S&EAsia 
 1, 0.22270000, 0.25305512, 0.23679134, 0.22052756, 0.20426378, 0.18800000, 0.18800000, 0.18800000, 0.18800000, 2,11,S&EAsia 
 1, 0.00530000, 0.57652642, 0.51489481, 0.45326321, 0.39163160, 0.33000000, 0.33000000, 0.33000000, 0.33000000, 3,11,S&EAsia 
 1, 0.41850000, 0.21185925, 0.20039444, 0.18892963, 0.17746481, 0.16600000, 0.16600000, 0.16600000, 0.16600000, 1,12,EEurope 
 1, 0.13410000, 0.13771479, 0.15028609, 0.16285739, 0.17542870, 0.18800000, 0.18800000, 0.18800000, 0.18800000, 2,12,EEurope 
 1, 0.00530000, 0.02357247, 0.10017935, 0.17678624, 0.25339312, 0.33000000, 0.33000000, 0.33000000, 0.33000000, 3,12,EEurope 
 1, 1.00000000, 0.48695470, 0.40671603, 0.32647735, 0.24623868, 0.16600000, 0.16600000, 0.16600000, 0.16600000, 1,13,Korea   
 1, 1.00000000, 0.25960449, 0.24170336, 0.22380224, 0.20590112, 0.18800000, 0.18800000, 0.18800000, 0.18800000, 2,13,Korea   
 1, 1.00000000, 0.18232601, 0.21924451, 0.25616301, 0.29308150, 0.33000000, 0.33000000, 0.33000000, 0.33000000, 3,13,Korea   
 1, 0.42420000, 0.14848856, 0.15286642, 0.15724428, 0.16162214, 0.16600000, 0.16600000, 0.16600000, 0.16600000, 1,14,India   
 1, 0.22270000, 0.09958317, 0.12168738, 0.14379158, 0.16589579, 0.18800000, 0.18800000, 0.18800000, 0.18800000, 2,14,India   
 1, 0.00530000, 0.08496834, 0.14622625, 0.20748417, 0.26874208, 0.33000000, 0.33000000, 0.33000000, 0.33000000, 3,14,India   
 2, 0.05480000, 0.09688312, 0.11916234, 0.14144156, 0.16372078, 0.18600000, 0.18600000, 0.18600000, 0.18600000, 1, 1,USA     
 2, 0.01240000, 0.04060515, 0.06895386, 0.09730257, 0.12565129, 0.15400000, 0.15400000, 0.15400000, 0.15400000, 2, 1,USA     
 2, 0.00000000, 0.99185804, 0.82639353, 0.66092902, 0.49546451, 0.33000000, 0.33000000, 0.33000000, 0.33000000, 3, 1,USA     
 2, 0.08140000, 0.09741752, 0.11956314, 0.14170876, 0.16385438, 0.18600000, 0.18600000, 0.18600000, 0.18600000, 1, 2,Canada  
 2, 0.08310000, 0.04936711, 0.07552533, 0.10168356, 0.12784178, 0.15400000, 0.15400000, 0.15400000, 0.15400000, 2, 2,Canada  
 2, 0.00000000, 0.98729253, 0.82296940, 0.65864626, 0.49432313, 0.33000000, 0.33000000, 0.33000000, 0.33000000, 3, 2,Canada  
 2, 0.08140000, 0.08633881, 0.11125410, 0.13616940, 0.16108470, 0.18600000, 0.18600000, 0.18600000, 0.18600000, 1, 3,WEurope 
 2, 0.08310000, 0.05029466, 0.07622100, 0.10214733, 0.12807367, 0.15400000, 0.15400000, 0.15400000, 0.15400000, 2, 3,WEurope 
 2, 0.00000000, 0.26576853, 0.28182640, 0.29788426, 0.31394213, 0.33000000, 0.33000000, 0.33000000, 0.33000000, 3, 3,WEurope 
 2, 0.06220000, 0.07075361, 0.09956521, 0.12837680, 0.15718840, 0.18600000, 0.18600000, 0.18600000, 0.18600000, 1, 4,Japan   
 2, 0.04200000, 0.02964051, 0.06073038, 0.09182026, 0.12291013, 0.15400000, 0.15400000, 0.15400000, 0.15400000, 2, 4,Japan   
 2, 0.00000000, 0.00000000, 0.08250000, 0.16500000, 0.24750000, 0.33000000, 0.33000000, 0.33000000, 0.33000000, 3, 4,Japan   
 2, 0.06220000, 0.07508926, 0.10281694, 0.13054463, 0.15827231, 0.18600000, 0.18600000, 0.18600000, 0.18600000, 1, 5,Aus&NZ  
 2, 0.04200000, 0.05399476, 0.07899607, 0.10399738, 0.12899869, 0.15400000, 0.15400000, 0.15400000, 0.15400000, 2, 5,Aus&NZ  
 2, 0.00000000, 0.51676182, 0.47007136, 0.42338091, 0.37669045, 0.33000000, 0.33000000, 0.33000000, 0.33000000, 3, 5,Aus&NZ  
 2, 0.05730000, 0.24735081, 0.24801311, 0.24867540, 0.24933770, 0.25000000, 0.25000000, 0.25000000, 0.25000000, 1, 6,FSU     
 2, 0.00300000, 0.07455695, 0.09441771, 0.11427848, 0.13413924, 0.15400000, 0.15400000, 0.15400000, 0.15400000, 2, 6,FSU     
 2, 0.00000000, 0.86636754, 0.73227565, 0.59818377, 0.46409188, 0.33000000, 0.33000000, 0.33000000, 0.33000000, 3, 6,FSU     
 2, 0.00310000, 0.00372389, 0.04929292, 0.09486194, 0.14043097, 0.18600000, 0.18600000, 0.18600000, 0.18600000, 1, 7,China&Re
 2, 0.00010000, 0.00679728, 0.04359796, 0.08039864, 0.11719932, 0.15400000, 0.15400000, 0.15400000, 0.15400000, 2, 7,China&Re
 2, 0.00000000, 0.56623511, 0.50717634, 0.44811756, 0.38905878, 0.33000000, 0.33000000, 0.33000000, 0.33000000, 3, 7,China&Re
 2, 0.02970000, 0.04359519, 0.07919640, 0.11479760, 0.15039880, 0.18600000, 0.18600000, 0.18600000, 0.18600000, 1, 8,MiddleEa
 2, 0.00790000, 0.11613402, 0.12560051, 0.13506701, 0.14453350, 0.15400000, 0.15400000, 0.15400000, 0.15400000, 2, 8,MiddleEa
 2, 0.00000000, 0.00000000, 0.08250000, 0.16500000, 0.24750000, 0.33000000, 0.33000000, 0.33000000, 0.33000000, 3, 8,MiddleEa
 2, 0.00030000, 0.00600066, 0.05100049, 0.09600033, 0.14100016, 0.18600000, 0.18600000, 0.18600000, 0.18600000, 1, 9,Africa  
 2, 0.00000000, 0.03153829, 0.06215371, 0.09276914, 0.12338457, 0.15400000, 0.15400000, 0.15400000, 0.15400000, 2, 9,Africa  
 2, 0.00000000, 0.00000000, 0.08250000, 0.16500000, 0.24750000, 0.33000000, 0.33000000, 0.33000000, 0.33000000, 3, 9,Africa  
 2, 0.02190000, 0.02340188, 0.06405141, 0.10470094, 0.14535047, 0.18600000, 0.18600000, 0.18600000, 0.18600000, 1,10,LatinAme
 2, 0.00270000, 0.06138974, 0.08454231, 0.10769487, 0.13084744, 0.15400000, 0.15400000, 0.15400000, 0.15400000, 2,10,LatinAme
 2, 0.00000000, 0.77793065, 0.66594799, 0.55396532, 0.44198266, 0.33000000, 0.33000000, 0.33000000, 0.33000000, 3,10,LatinAme
 2, 0.00480000, 0.02053778, 0.06190333, 0.10326889, 0.14463444, 0.18600000, 0.18600000, 0.18600000, 0.18600000, 1,11,S&EAsia 
 2, 0.00080000, 0.05663955, 0.08097966, 0.10531978, 0.12965989, 0.15400000, 0.15400000, 0.15400000, 0.15400000, 2,11,S&EAsia 
 2, 0.00000000, 0.00000000, 0.08250000, 0.16500000, 0.24750000, 0.33000000, 0.33000000, 0.33000000, 0.33000000, 3,11,S&EAsia 
 2, 0.05730000, 0.07363294, 0.10172471, 0.12981647, 0.15790824, 0.18600000, 0.18600000, 0.18600000, 0.18600000, 1,12,EEurope 
 2, 0.00300000, 0.04466254, 0.07199691, 0.09933127, 0.12666564, 0.15400000, 0.15400000, 0.15400000, 0.15400000, 2,12,EEurope 
 2, 0.00000000, 0.01010068, 0.09007551, 0.17005034, 0.25002517, 0.33000000, 0.33000000, 0.33000000, 0.33000000, 3,12,EEurope 
 2, 0.05763074, 0.00538962, 0.05054221, 0.09569481, 0.14084740, 0.18600000, 0.18600000, 0.18600000, 0.18600000, 1,13,Korea   
 2, 0.01110491, 0.00054931, 0.03891198, 0.07727466, 0.11563733, 0.15400000, 0.15400000, 0.15400000, 0.15400000, 2,13,Korea   
 2, 0.00000000, 0.00000000, 0.08250000, 0.16500000, 0.24750000, 0.33000000, 0.33000000, 0.33000000, 0.33000000, 3,13,Korea   
 2, 0.00480000, 0.00011912, 0.04658934, 0.09305956, 0.13952978, 0.18600000, 0.18600000, 0.18600000, 0.18600000, 1,14,India   
 2, 0.00080000, 0.00990288, 0.04592716, 0.08195144, 0.11797572, 0.15400000, 0.15400000, 0.15400000, 0.15400000, 2,14,India   
 2, 0.00000000, 0.00000000, 0.08250000, 0.16500000, 0.24750000, 0.33000000, 0.33000000, 0.33000000, 0.33000000, 3,14,India   
 3, 0.00080000, 0.01390033, 0.01382525, 0.01375017, 0.01367508, 0.01360000, 0.01240000, 0.01120000, 0.01000000, 1, 1,USA     
 3, 0.00470000, 0.02659059, 0.02336857, 0.02014655, 0.01692453, 0.01370252, 0.01370252, 0.01370252, 0.01370252, 2, 1,USA     
 3, 0.00040000, 0.00000000, 0.00250000, 0.00500000, 0.00750000, 0.01000000, 0.01000000, 0.01000000, 0.01000000, 3, 1,USA     
 3, 0.01180000, 0.01425715, 0.01426787, 0.01427858, 0.01428929, 0.01430000, 0.01290000, 0.01140000, 0.01000000, 1, 2,Canada  
 3, 0.01220000, 0.03246298, 0.02855817, 0.02465337, 0.02074857, 0.01684377, 0.01684377, 0.01684377, 0.01684377, 2, 2,Canada  
 3, 0.50080000, 0.00000000, 0.00250000, 0.00500000, 0.00750000, 0.01000000, 0.01000000, 0.01000000, 0.01000000, 3, 2,Canada  
 3, 0.01180000, 0.05284657, 0.04463518, 0.03642378, 0.02821239, 0.02000100, 0.01500000, 0.01250000, 0.01000000, 1, 3,WEurope 
 3, 0.01220000, 0.02999637, 0.02632228, 0.02264819, 0.01897410, 0.01530001, 0.01537941, 0.01537941, 0.01537941, 2, 3,WEurope 
 3, 0.50080000, 0.04783717, 0.03837813, 0.02891909, 0.01946004, 0.01000100, 0.01000000, 0.01000000, 0.01000000, 3, 3,WEurope 
 3, 0.00580000, 0.00126768, 0.00135076, 0.00143384, 0.00151692, 0.00160000, 0.00160000, 0.00160000, 0.00160000, 1, 4,Japan   
 3, 0.00910000, 0.01612835, 0.01432919, 0.01253004, 0.01073088, 0.00893173, 0.00893173, 0.00893173, 0.00893173, 2, 4,Japan   
 3, 0.57790000, 0.00000000, 0.00250000, 0.00500000, 0.00750000, 0.01000000, 0.01000000, 0.01000000, 0.01000000, 3, 4,Japan   
 3, 0.00580000, 0.09786637, 0.09762478, 0.09738319, 0.09714159, 0.09690000, 0.06800000, 0.03900000, 0.01000000, 1, 5,Aus&NZ  
 3, 0.00910000, 0.04065116, 0.03517404, 0.02969692, 0.02421980, 0.01874268, 0.01874268, 0.01874268, 0.01874268, 2, 5,Aus&NZ  
 3, 0.57790000, 0.34376929, 0.26032696, 0.17688464, 0.09344232, 0.01000000, 0.01000000, 0.01000000, 0.01000000, 3, 5,Aus&NZ  
 3, 0.11600000, 0.21355265, 0.21016449, 0.20677632, 0.20338816, 0.20000000, 0.13670000, 0.07330000, 0.01000000, 1, 6,FSU     
 3, 0.01510000, 0.02102049, 0.02206537, 0.02311025, 0.02415512, 0.02520000, 0.02520000, 0.02520000, 0.02520000, 2, 6,FSU     
 3, 0.86740000, 0.00011529, 0.00258647, 0.00505764, 0.00752882, 0.01000000, 0.01000000, 0.01000000, 0.01000000, 3, 6,FSU     
 3, 0.60080000, 0.85369844, 0.69027383, 0.52684922, 0.36342461, 0.20000000, 0.13670000, 0.07330000, 0.01000000, 1, 7,China&Re
 3, 0.06600000, 0.13353725, 0.14300294, 0.15246862, 0.16193431, 0.17140000, 0.13090000, 0.09050000, 0.05000000, 2, 7,China&Re
 3, 0.99520000, 0.00759261, 0.00819446, 0.00879631, 0.00939815, 0.01000000, 0.01000000, 0.01000000, 0.01000000, 3, 7,China&Re
 3, 0.00000000, 0.03724494, 0.03868370, 0.04012247, 0.04156123, 0.04300000, 0.03200000, 0.02100000, 0.01000000, 1, 8,MiddleEa
 3, 0.00670000, 0.00203446, 0.00202584, 0.00201723, 0.00200861, 0.00200000, 0.00200000, 0.00200000, 0.00200000, 2, 8,MiddleEa
 3, 0.00000000, 0.00000000, 0.00250000, 0.00500000, 0.00750000, 0.01000000, 0.01000000, 0.01000000, 0.01000000, 3, 8,MiddleEa
 3, 0.01590000, 0.79118575, 0.64338931, 0.49559287, 0.34779644, 0.20000000, 0.13670000, 0.07330000, 0.01000000, 1, 9,Africa  
 3, 0.01920000, 0.05047258, 0.05320444, 0.05593629, 0.05866815, 0.06140000, 0.05760000, 0.05380000, 0.05000000, 2, 9,Africa  
 3, 0.91740000, 0.80003590, 0.60252693, 0.40501795, 0.20750898, 0.01000000, 0.01000000, 0.01000000, 0.01000000, 3, 9,Africa  
 3, 0.00030000, 0.34430137, 0.30822603, 0.27215069, 0.23607534, 0.20000000, 0.13670000, 0.07330000, 0.01000000, 1,10,LatinAme
 3, 0.00880000, 0.02688111, 0.02681083, 0.02674055, 0.02667028, 0.02660000, 0.02660000, 0.02660000, 0.02660000, 2,10,LatinAme
 3, 0.00000000, 0.02142410, 0.01856807, 0.01571205, 0.01285602, 0.01000000, 0.01000000, 0.01000000, 0.01000000, 3,10,LatinAme
 3, 0.02560000, 0.44026091, 0.38019569, 0.32013046, 0.26006523, 0.20000000, 0.13670000, 0.07330000, 0.01000000, 1,11,S&EAsia 
 3, 0.01890000, 0.06791446, 0.06993585, 0.07195723, 0.07397862, 0.07600000, 0.06730000, 0.05870000, 0.05000000, 2,11,S&EAsia 
 3, 0.97680000, 0.16716497, 0.12787373, 0.08858248, 0.04929124, 0.01000000, 0.01000000, 0.01000000, 0.01000000, 3,11,S&EAsia 
 3, 0.11600000, 0.19946549, 0.19959912, 0.19973275, 0.19986637, 0.20000000, 0.13670000, 0.07330000, 0.01000000, 1,12,EEurope 
 3, 0.01510000, 0.03742010, 0.03934008, 0.04126005, 0.04318003, 0.04510000, 0.04510000, 0.04510000, 0.04510000, 2,12,EEurope 
 3, 0.86740000, 0.11423566, 0.08817674, 0.06211783, 0.03605891, 0.01000000, 0.01000000, 0.01000000, 0.01000000, 3,12,EEurope 
 3, 0.57993090, 0.17162239, 0.17871679, 0.18581119, 0.19290560, 0.20000000, 0.13670000, 0.07330000, 0.01000000, 1,13,Korea   
 3, 0.63609600, 0.03054808, 0.03388606, 0.03722404, 0.04056202, 0.04390000, 0.04390000, 0.04390000, 0.04390000, 2,13,Korea   
 3, 0.00000000, 0.00000000, 0.00250000, 0.00500000, 0.00750000, 0.01000000, 0.01000000, 0.01000000, 0.01000000, 3,13,Korea   
 3, 0.02560000, 0.74231387, 0.60673541, 0.47115694, 0.33557847, 0.20000000, 0.13670000, 0.07330000, 0.01000000, 1,14,India   
 3, 0.01890000, 0.17462526, 0.18531895, 0.19601263, 0.20670632, 0.21740000, 0.16160000, 0.10580000, 0.05000000, 2,14,India   
 3, 0.97680000, 0.01023496, 0.01017622, 0.01011748, 0.01005874, 0.01000000, 0.01000000, 0.01000000, 0.01000000, 3,14,India   
 4, 0.58580000, 0.79066849, 0.74625137, 0.70183425, 0.65741712, 0.61300000, 0.61300000, 0.61300000, 0.61300000, 1, 1,USA     
 4, 0.79580000, 0.76609851, 0.73157388, 0.69704926, 0.66252463, 0.62800000, 0.62800000, 0.62800000, 0.62800000, 2, 1,USA     
 4, 0.29660000, 0.00278243, 0.08458682, 0.16639121, 0.24819561, 0.33000000, 0.33000000, 0.33000000, 0.33000000, 3, 1,USA     
 4, 0.35770000, 0.74184368, 0.70963276, 0.67742184, 0.64521092, 0.61300000, 0.61300000, 0.61300000, 0.61300000, 1, 2,Canada  
 4, 0.58630000, 0.77404087, 0.73753065, 0.70102043, 0.66451022, 0.62800000, 0.62800000, 0.62800000, 0.62800000, 2, 2,Canada  
 4, 0.42560000, 0.01051042, 0.09038282, 0.17025521, 0.25012761, 0.33000000, 0.33000000, 0.33000000, 0.33000000, 3, 2,Canada  
 4, 0.35770000, 0.58363564, 0.59097673, 0.59831782, 0.60565891, 0.61300000, 0.61300000, 0.61300000, 0.61300000, 1, 3,WEurope 
 4, 0.58630000, 0.74586209, 0.71639656, 0.68693104, 0.65746552, 0.62800000, 0.62800000, 0.62800000, 0.62800000, 2, 3,WEurope 
 4, 0.42560000, 0.62164194, 0.54873146, 0.47582097, 0.40291049, 0.33000000, 0.33000000, 0.33000000, 0.33000000, 3, 3,WEurope 
 4, 0.47870000, 0.69733978, 0.67625483, 0.65516989, 0.63408494, 0.61300000, 0.61300000, 0.61300000, 0.61300000, 1, 4,Japan   
