# File: EPA_ODSS_FireExt.csv
# Title: HFC emissions from Fire Extinguishers
# Source: EPA Global mitigation of Non-CO2 GHG Gases (https://www.epa.gov/global-mitigation-non-co2-greenhouse-gases/global-non-co2-greenhouse-gas-emission-projections)
# Description: Sector ODS Substitutes (Industry)
# Units: MTCO2eq
# Column types: cnnnnnnnnn
country,1990,1995,2000,2005,2010,2015,2020,2025,2030
Afghanistan,0,6.91E-05,0.001253747,0.002881496,0.003963783,0.008815162,0.022125403,0.028384452,0.035977619
Albania,0,8.68E-05,0.001658767,0.003626751,0.005412281,0.004927258,0.003428466,0.003828962,0.004260167
Algeria,0,4.34E-06,0.000111332,0.000319629,0.000564905,0.000813287,0.001007645,0.001149299,0.00129115
Andorra,0,0,1.71E-05,0.000106343,0.000292165,0.000476752,0.000683133,0.000856881,0.000960949
Angola,0,5.16E-05,0.000900431,0.002030514,0.002818609,0.004934734,0.00821623,0.010042438,0.012097008
Antigua and Barbuda,0,7.71E-06,0.000210814,0.000617019,0.001102749,0.001616425,0.002067451,0.002430331,0.002794436
Argentina,0,0.002040365,0.037585702,0.09496666,0.134653171,0.231997755,0.358335964,0.426524201,0.502282327
Armenia,0,6.84E-05,0.001306207,0.002855908,0.004261936,0.003880001,0.002699768,0.003015141,0.003354696
Australia,0,0.001844083,0.158052043,0.757395358,1.635861999,2.684869102,2.271437123,1.842451109,1.140132709
Austria,0,0,0.001003315,0.005075444,0.012432122,0.020166466,0.017050471,0.010577185,0.008085397
Azerbaijan,0,0,0.006223809,0.027245828,0.062960806,0.105229378,0.154612879,0.200635383,0.23843432
"Bahamas, The",0,3.02E-06,8.25E-05,0.000241442,0.000431511,0.000632514,0.000809003,0.000950999,0.001093475
Bahrain,0,0.000327854,0.005505135,0.012743956,0.017858338,0.033146508,0.060180359,0.072729825,0.086754919
Bangladesh,0,0.000204078,0.003700103,0.008503974,0.011698056,0.02601562,0.065297278,0.083769204,0.10617843
Barbados,0,1.56E-05,0.000287974,0.000727616,0.001031686,0.001777522,0.002745501,0.003267946,0.00384839
Belarus,0,0,0.000132747,0.000685128,0.000425072,0.000710442,0.001043849,0.001354563,0.001609758
Belgium,0,0,0.003430577,0.016853876,0.045962336,0.075476596,0.065222032,0.040460201,0.030928529
Belize,0,1.65E-05,0.000303169,0.000766009,0.001086123,0.001871313,0.002890367,0.003440379,0.00405145
Benin,0,0.000123749,0.002161343,0.004873931,0.006765629,0.011845056,0.019721771,0.024105298,0.02903697
Bhutan,0,1.82E-06,3.30E-05,7.58E-05,0.000104222,0.000231783,0.000581758,0.000746331,0.000945984
Bolivia,0,3.54E-05,0.00065197,0.001647312,0.002335723,0.004024284,0.006215774,0.007398582,0.008712699
Bosnia and Herzegovina,0,3.28E-05,0.000641953,0.001351445,0.00208992,0.001558814,0.000892132,0.001074269,0.001281176
Botswana,0,2.06E-05,0.000359701,0.000811143,0.001125969,0.001971312,0.003282193,0.004011721,0.004832474
Brazil,0,0.0012373,0.033821962,0.098991285,0.176919356,0.259330821,0.331691041,0.38990965,0.44832477
Brunei,0,3.46E-05,0.00062741,0.001441981,0.001983588,0.004411354,0.011072171,0.014204373,0.018004207
Bulgaria,0,5.17E-06,0.000237875,0.002301362,0.009082114,0.02411905,0.021057922,0.012379164,0.00943235
Burkina Faso,0,0.000141222,0.002466529,0.005562139,0.007720947,0.013517598,0.022506519,0.027509007,0.03313704
