# File: EPA_ODSS_Solvents.csv
# Title: HFC emissions from Solvents
# Source: EPA Global mitigation of Non-CO2 GHG Gases (https://www.epa.gov/global-mitigation-non-co2-greenhouse-gases/global-non-co2-greenhouse-gas-emission-projections)
# Description: Sector ODS Substitutes (Industry)
# Units: MTCO2eq
# Column types: cnnnnnnnnn
country,1990,1995,2000,2005,2010,2015,2020,2025,2030
Afghanistan,0,0.000186718,0.000469837,0.000458885,0.0004075,0.00071919,0.001655913,0.002073086,0.00259415
Albania,0,5.90E-05,0.000156487,0.000145399,0.000140073,0.000101199,6.46E-05,7.04E-05,7.73E-05
Algeria,0,0.00043139,0.00109554,0.001623826,0.002521944,0.002909491,0.003391764,0.004046437,0.004813237
Andorra,0,1.08E-06,3.10E-05,4.98E-05,7.67E-05,8.22E-05,8.87E-05,9.64E-05,0.00010461
Angola,0,3.50E-05,8.49E-05,8.14E-05,7.29E-05,0.000101352,0.000154802,0.000184643,0.000219582
Antigua and Barbuda,0,5.12E-05,0.000205772,0.000350377,0.00062205,0.000719583,0.000788633,0.000916239,0.001065464
Argentina,0,0.00550939,0.014085107,0.015123678,0.013843145,0.018927675,0.026818645,0.031151604,0.036216845
Armenia,0,4.65E-05,0.000123227,0.000114495,0.000110301,7.97E-05,5.09E-05,5.54E-05,6.09E-05
Australia,0,0.002416036,0.032546622,0.07651187,0.123033292,0.166372825,0.138165717,0.112302482,0.069581951
Austria,0,0.009519175,0.01807376,0.021701099,0.024750807,0.027322736,0.018035407,0.009727654,0.007116314
Azerbaijan,0,5.89E-05,0.000254877,0.000470803,0.000843151,0.000994887,0.001166369,0.00137586,0.001620621
"Bahamas, The",0,1.27E-05,2.68E-05,3.19E-05,4.44E-05,5.13E-05,5.62E-05,6.53E-05,7.60E-05
Bahrain,0,0.00088527,0.00206303,0.002029507,0.001835943,0.002704278,0.004504029,0.005311892,0.006255425
Bangladesh,0,0.00055105,0.0013866,0.001354279,0.00120263,0.0021225,0.004886991,0.006118164,0.007655949
Barbados,0,1.06E-05,2.72E-05,2.92E-05,2.67E-05,3.65E-05,5.17E-05,6.01E-05,6.99E-05
Belarus,0,4.58E-05,0.000125447,0.00026317,0.000106477,0.000103063,0.000115541,0.000135801,0.000159928
Belgium,0,0.019677806,0.03962291,0.046203539,0.058669716,0.06556536,0.044233536,0.023857988,0.01745343
Belize,0,1.12E-05,2.86E-05,3.07E-05,2.81E-05,3.84E-05,5.45E-05,6.33E-05,7.35E-05
Benin,0,0.000334146,0.000809956,0.000776186,0.000695547,0.000966386,0.00147602,0.001760554,0.002093698
Bhutan,0,1.24E-06,3.11E-06,3.04E-06,2.70E-06,4.76E-06,1.10E-05,1.37E-05,1.72E-05
