# File: EPA_2019_MACC_Ag_updated_baseline.csv
# Title: nonCO2 GHG emissions MACC in EPA 2019 updated agriculture baseline data
# Source: EPA Global mitigation of Non-CO2 GHG Gases (https://www.epa.gov/global-mitigation-non-co2-greenhouse-gases/global-non-co2-greenhouse-gas-emission-projections)
# Units: MMTCO2e
# Description: this is the original raw data tap containing all species eventually should be only read in this file for all processes
# Column types: cciccn
source,country,year,gas,unit,value
CROP,Afghanistan,2005,CH4,MMTCO2e,-0.164423326
CROP,Afghanistan,2005,N2O,MMTCO2e,3.012603023
CROP,Afghanistan,2005,dSOC,MMTCO2e,-0.051952671
CROP,Afghanistan,2010,CH4,MMTCO2e,-0.161068482
CROP,Afghanistan,2010,N2O,MMTCO2e,7.188642191
CROP,Afghanistan,2010,dSOC,MMTCO2e,-0.051944441
CROP,Afghanistan,2015,CH4,MMTCO2e,-0.15673547
CROP,Afghanistan,2015,N2O,MMTCO2e,8.693162935
CROP,Afghanistan,2015,dSOC,MMTCO2e,-0.051756337
CROP,Afghanistan,2020,CH4,MMTCO2e,-0.159880832
CROP,Afghanistan,2020,N2O,MMTCO2e,8.818973192
CROP,Afghanistan,2020,dSOC,MMTCO2e,-0.05139366
CROP,Afghanistan,2025,CH4,MMTCO2e,-0.162320597
CROP,Afghanistan,2025,N2O,MMTCO2e,7.96196936
CROP,Afghanistan,2025,dSOC,MMTCO2e,-0.050710273
CROP,Afghanistan,2030,CH4,MMTCO2e,-0.151464485
CROP,Afghanistan,2030,N2O,MMTCO2e,13.71462458
CROP,Afghanistan,2030,dSOC,MMTCO2e,-0.049291825
CROP,Afghanistan,2035,CH4,MMTCO2e,-0.146184547
CROP,Afghanistan,2035,N2O,MMTCO2e,11.74132447
CROP,Afghanistan,2035,dSOC,MMTCO2e,-0.047667006
CROP,Afghanistan,2040,CH4,MMTCO2e,-0.140754888
CROP,Afghanistan,2040,N2O,MMTCO2e,11.92539331
CROP,Afghanistan,2040,dSOC,MMTCO2e,-0.045863407
CROP,Afghanistan,2045,CH4,MMTCO2e,-0.134948593
CROP,Afghanistan,2045,N2O,MMTCO2e,12.05909695
CROP,Afghanistan,2045,dSOC,MMTCO2e,-0.043937772
CROP,Afghanistan,2050,CH4,MMTCO2e,-0.128544906
CROP,Afghanistan,2050,N2O,MMTCO2e,12.11538948
CROP,Afghanistan,2050,dSOC,MMTCO2e,-0.041826498
CROP,Afghanistan,2055,CH4,MMTCO2e,-0.122881247
CROP,Afghanistan,2055,N2O,MMTCO2e,12.21474322
CROP,Afghanistan,2055,dSOC,MMTCO2e,-0.039960619
CROP,Afghanistan,2060,CH4,MMTCO2e,-0.117492863
CROP,Afghanistan,2060,N2O,MMTCO2e,12.3172239
CROP,Afghanistan,2060,dSOC,MMTCO2e,-0.03818977
CROP,Afghanistan,2065,CH4,MMTCO2e,-0.112366407
CROP,Afghanistan,2065,N2O,MMTCO2e,12.42301223
CROP,Afghanistan,2065,dSOC,MMTCO2e,-0.036509248
CROP,Afghanistan,2070,CH4,MMTCO2e,-0.107489189
CROP,Afghanistan,2070,N2O,MMTCO2e,12.53230036
CROP,Afghanistan,2070,dSOC,MMTCO2e,-0.034914581
CROP,Afghanistan,2075,CH4,MMTCO2e,-0.102849137
CROP,Afghanistan,2075,N2O,MMTCO2e,12.64529269
CROP,Afghanistan,2075,dSOC,MMTCO2e,-0.033401522
CROP,Afghanistan,2080,CH4,MMTCO2e,-0.098434771
CROP,Afghanistan,2080,N2O,MMTCO2e,12.76220659
CROP,Afghanistan,2080,dSOC,MMTCO2e,-0.031966032
CROP,Albania,2005,CH4,MMTCO2e,-0.014470529
CROP,Albania,2005,N2O,MMTCO2e,0.366140454
CROP,Albania,2005,dSOC,MMTCO2e,-0.005687392
CROP,Albania,2010,CH4,MMTCO2e,-0.014421135
CROP,Albania,2010,N2O,MMTCO2e,0.971386729
CROP,Albania,2010,dSOC,MMTCO2e,-0.005835743
CROP,Albania,2015,CH4,MMTCO2e,-0.014976113
CROP,Albania,2015,N2O,MMTCO2e,1.118957168
CROP,Albania,2015,dSOC,MMTCO2e,-0.005978984
CROP,Albania,2020,CH4,MMTCO2e,-0.014283793
CROP,Albania,2020,N2O,MMTCO2e,1.228206478
CROP,Albania,2020,dSOC,MMTCO2e,-0.006114121
CROP,Albania,2025,CH4,MMTCO2e,-0.014848818
CROP,Albania,2025,N2O,MMTCO2e,1.322152381
CROP,Albania,2025,dSOC,MMTCO2e,-0.006290726
