Lifetimes,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,
2000,,,,,,,,,,,,
,,,,lifetime,,,,,,,,
region,supplysector,subsector,technology,1975,1990,2005,2020,2035,2050,2065,2080,2095
ALL,refined liquids enduse,coal to liquids,coal to liquids CCS Level 1,-1,-1,-1,45,45,45,45,45,45
ALL,refined liquids industrial,coal to liquids,coal to liquids CCS Level 1,-1,-1,-1,45,45,45,45,45,45
ALL,refined liquids enduse,coal to liquids,coal to liquids CCS Level 2,-1,-1,-1,45,45,45,45,45,45
ALL,refined liquids industrial,coal to liquids,coal to liquids CCS Level 2,-1,-1,-1,45,45,45,45,45,45

Phased shutdown decider for partial retirement of capital stocks,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,
2001,,,,phased-shutdown-decider,,,,,,,,
,,,,shutdown-rate,,,,,,,,
region,supplysector,subsector,technology,2005,2020,2035,2050,2065,2080,2095,,
ALL,refined liquids enduse,coal to liquids,coal to liquids CCS Level 1,0.03,0.03,0.03,0.03,0.03,0.03,0.03,,
ALL,refined liquids industrial,coal to liquids,coal to liquids CCS Level 1,0.03,0.03,0.03,0.03,0.03,0.03,0.03,,
ALL,refined liquids enduse,coal to liquids,coal to liquids CCS Level 2,0.03,0.03,0.03,0.03,0.03,0.03,0.03,,
ALL,refined liquids industrial,coal to liquids,coal to liquids CCS Level 2,0.03,0.03,0.03,0.03,0.03,0.03,0.03,,

Shareweights,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,
2005,,,,,,,,,,,,
,,,,sharewt,,,,,,,,
region,supplysector,subsector,technology,1975,1990,2005,2020,2035,2050,2065,2080,2095
ALL,refined liquids enduse,coal to liquids,coal to liquids CCS Level 1,0,0,0,0.333,1,1,1,1,1
ALL,refined liquids industrial,coal to liquids,coal to liquids CCS Level 1,0,0,0,0.333,1,1,1,1,1
ALL,refined liquids enduse,coal to liquids,coal to liquids CCS Level 2,0,0,0,0.333,1,1,1,1,1
ALL,refined liquids industrial,coal to liquids,coal to liquids CCS Level 2,0,0,0,0.333,1,1,1,1,1

IO coefficients,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,
2010,,,,,,,,,,,,,
,,,,,coefficient,,,,,,,,
region,supplysector,subsector,technology,minicam-energy-input,1975,1990,2005,2020,2035,2050,2065,2080,2095
ALL,refined liquids enduse,coal to liquids,coal to liquids CCS Level 1,regional coal,2.112,2.112,2.112,2.112,2.080,2.049,2.019,1.989,1.959
ALL,refined liquids industrial,coal to liquids,coal to liquids CCS Level 1,regional coal,2.112,2.112,2.112,2.112,2.080,2.049,2.019,1.989,1.959
ALL,refined liquids enduse,coal to liquids,coal to liquids CCS Level 2,regional coal,2.112,2.112,2.112,2.112,2.080,2.049,2.019,1.989,1.959
ALL,refined liquids industrial,coal to liquids,coal to liquids CCS Level 2,regional coal,2.112,2.112,2.112,2.112,2.080,2.049,2.019,1.989,1.959

Secondary output,,,,,,,,,,,,,
TABLE NOT READ,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,
2015,,,,,,,,,,,,,
