# File: income_shares.csv
# Title: Income shares
# Units: share
# Description: Net income shares for the 32 GCAM regions from 1967-2100. 
# Column types: iicncn 
# ----------
GCAM_region_ID,year,category,shares,sce,gini
4,2020,d1,0.008213786,SSP4,0.590534276
4,2020,d1,0.008351401,SSP3,0.588568915
4,2020,d1,0.008526518,SSP2,0.587185377
4,2020,d1,0.008625924,SSP1,0.586717221
4,2020,d1,0.008648414,SSP5,0.586679626
9,2020,d1,0.006392126,SSP4,0.559348305
9,2020,d1,0.006587214,SSP3,0.555625756
9,2020,d1,0.006675941,SSP2,0.549779226
2,2020,d1,0.018153821,SSP4,0.450260384
9,2020,d1,0.006720215,SSP1,0.545110888
2,2020,d1,0.018360789,SSP3,0.448052088
9,2020,d1,0.006725759,SSP5,0.544988713
2,2020,d1,0.018780131,SSP2,0.443423097
2,2020,d1,0.019166302,SSP1,0.439147332
2,2020,d1,0.01917308,SSP5,0.439084537
5,2020,d1,0.013235666,SSP4,0.499941869
5,2020,d1,0.013451839,SSP3,0.497256707
5,2020,d1,0.013770848,SSP2,0.493421831
5,2020,d1,0.01416371,SSP1,0.488959796
5,2020,d1,0.014169686,SSP5,0.488782981
17,2020,d1,0.003140287,SSP4,0.597491409
17,2020,d1,0.003743791,SSP3,0.591037465
24,2020,d1,0.001767025,SSP4,0.650049585
24,2020,d1,0.002020063,SSP3,0.647344438
24,2020,d1,0.00240318,SSP2,0.64324867
4,2020,d2,0.016244033,SSP4,0.590534276
4,2020,d2,0.016456555,SSP3,0.588568915
4,2020,d2,0.016672657,SSP2,0.587185377
24,2020,d1,0.002670882,SSP1,0.64038676
24,2020,d1,0.002670835,SSP5,0.640387255
4,2020,d2,0.016761543,SSP1,0.586717221
4,2020,d2,0.016767035,SSP5,0.586679626
27,2020,d1,0.021880682,SSP4,0.437035873
27,2020,d1,0.022090842,SSP3,0.434441832
27,2020,d1,0.022478309,SSP2,0.430604003
17,2020,d1,0.007541137,SSP2,0.550428219
27,2020,d1,0.023048072,SSP1,0.4250515
27,2020,d1,0.023024113,SSP5,0.425069814
2,2020,d2,0.030931543,SSP4,0.450260384
2,2020,d2,0.031205166,SSP3,0.448052088
2,2020,d2,0.031746642,SSP2,0.443423097
2,2020,d2,0.032196384,SSP1,0.439147332
5,2020,d2,0.021649828,SSP4,0.499941869
2,2020,d2,0.03220044,SSP5,0.439084537
5,2020,d2,0.021934747,SSP3,0.497256707
5,2020,d2,0.022374616,SSP2,0.493421831
5,2020,d2,0.022924776,SSP1,0.488959796
5,2020,d2,0.022935918,SSP5,0.488782981
4,2020,d3,0.023729452,SSP3,0.588568915
4,2020,d3,0.023540398,SSP4,0.590534276
4,2020,d3,0.023867686,SSP2,0.587185377
21,2020,d1,0.009071951,SSP4,0.559275709
4,2020,d3,0.023916799,SSP1,0.586717221
21,2020,d1,0.009240612,SSP3,0.555638153
4,2020,d3,0.023936699,SSP5,0.586679626
21,2020,d1,0.009366851,SSP2,0.552443203
21,2020,d1,0.009671838,SSP1,0.54780329
21,2020,d1,0.009559614,SSP5,0.549724511
17,2020,d2,0.011887494,SSP4,0.597491409
17,2020,d1,0.01230715,SSP1,0.49945995
17,2020,d1,0.012262411,SSP5,0.499938394
29,2020,d1,0.012425979,SSP4,0.534828359
17,2020,d2,0.012691707,SSP3,0.591037465
2,2020,d3,0.039903359,SSP4,0.450260384
29,2020,d1,0.012720391,SSP3,0.530929241
2,2020,d3,0.040191073,SSP3,0.448052088
2,2020,d3,0.040789414,SSP2,0.443423097
29,2020,d1,0.013072252,SSP2,0.526927013
29,2020,d1,0.013287721,SSP1,0.524069437
29,2020,d1,0.013293847,SSP5,0.523853249
2,2020,d3,0.041454041,SSP1,0.439147332
2,2020,d3,0.041448848,SSP5,0.439084537
4,2020,d4,0.031473787,SSP4,0.590534276
10,2020,d1,0.013987807,SSP4,0.45185684
10,2020,d1,0.014056259,SSP3,0.451994447
4,2020,d4,0.031736638,SSP3,0.588568915
5,2020,d3,0.032682882,SSP4,0.499941869
5,2020,d3,0.033038994,SSP3,0.497256707
10,2020,d1,0.014261101,SSP2,0.448903703
26,2020,d1,0.010858205,SSP4,0.504399989
4,2020,d4,0.031886551,SSP2,0.587185377
5,2020,d3,0.033519017,SSP2,0.493421831
10,2020,d1,0.014430316,SSP1,0.446716676
27,2020,d2,0.031680508,SSP4,0.437035873
27,2020,d2,0.031996635,SSP3,0.434441832
4,2020,d4,0.031901003,SSP1,0.586717221
26,2020,d1,0.011275611,SSP3,0.499438398
10,2020,d1,0.014421102,SSP5,0.446341845
4,2020,d4,0.031872828,SSP5,0.586679626
27,2020,d2,0.032435565,SSP2,0.430604003
5,2020,d3,0.034113685,SSP1,0.488959796
5,2020,d3,0.034133904,SSP5,0.488782981
2,2020,d4,0.05025023,SSP4,0.450260384
26,2020,d1,0.011935685,SSP2,0.491741657
2,2020,d4,0.05056928,SSP3,0.448052088
27,2020,d2,0.03308287,SSP1,0.4250515
27,2020,d2,0.033028192,SSP5,0.425069814
26,2020,d1,0.012414148,SSP1,0.486325514
2,2020,d4,0.051248198,SSP2,0.443423097
26,2020,d1,0.012422947,SSP5,0.486248797
2,2020,d4,0.051901056,SSP1,0.439147332
2,2020,d4,0.051893336,SSP5,0.439084537
9,2020,d2,0.016548442,SSP4,0.559348305
9,2020,d2,0.016947234,SSP3,0.555625756
4,2020,d5,0.039352489,SSP4,0.590534276
4,2020,d5,0.039659846,SSP3,0.588568915
17,2020,d2,0.017751938,SSP2,0.550428219
22,2020,d1,0.031216853,SSP4,0.330137486
22,2020,d1,0.031367498,SSP3,0.328526921
4,2020,d5,0.039900924,SSP2,0.587185377
5,2020,d4,0.042964296,SSP4,0.499941869
9,2020,d2,0.017233774,SSP2,0.549779226
5,2020,d4,0.043311764,SSP3,0.497256707
22,2020,d1,0.03184352,SSP2,0.323437711
4,2020,d5,0.04005084,SSP1,0.586717221
5,2020,d4,0.043825149,SSP2,0.493421831
4,2020,d5,0.040058488,SSP5,0.586679626
22,2020,d1,0.032554971,SSP1,0.315831503
22,2020,d1,0.032563708,SSP5,0.31573809
9,2020,d2,0.017445345,SSP1,0.545110888
9,2020,d2,0.017419311,SSP5,0.544988713
5,2020,d4,0.044440762,SSP1,0.488959796
5,2020,d4,0.044458702,SSP5,0.488782981
2,2020,d5,0.060855969,SSP4,0.450260384
2,2020,d5,0.061135988,SSP3,0.448052088
2,2020,d5,0.061764084,SSP2,0.443423097
24,2020,d2,0.008001884,SSP4,0.650049585
17,2020,d3,0.020672229,SSP4,0.597491409
2,2020,d5,0.062313237,SSP1,0.439147332
2,2020,d5,0.062326598,SSP5,0.439084537
17,2020,d3,0.021533013,SSP3,0.591037465
24,2020,d2,0.008339028,SSP3,0.647344438
27,2020,d3,0.042916105,SSP4,0.437035873
27,2020,d3,0.043225438,SSP3,0.434441832
27,2020,d3,0.043710705,SSP2,0.430604003
27,2020,d3,0.044467234,SSP1,0.4250515
24,2020,d2,0.008849486,SSP2,0.64324867
27,2020,d3,0.044455936,SSP5,0.425069814
25,2020,d1,0.020671112,SSP4,0.389656931
25,2020,d1,0.020911996,SSP3,0.387097825
4,2020,d6,0.052018712,SSP4,0.590534276
2,2020,d6,0.073199316,SSP4,0.450260384
5,2020,d5,0.054558308,SSP4,0.499941869
4,2020,d6,0.052273417,SSP3,0.588568915
24,2020,d2,0.009206167,SSP1,0.64038676
2,2020,d6,0.073465531,SSP3,0.448052088
24,2020,d2,0.009206105,SSP5,0.640387255
5,2020,d5,0.054909128,SSP3,0.497256707
25,2020,d1,0.021372132,SSP2,0.382151533
4,2020,d6,0.052362599,SSP2,0.587185377
2,2020,d6,0.074037399,SSP2,0.443423097
17,2020,d2,0.024102985,SSP1,0.49945995
17,2020,d2,0.024043367,SSP5,0.499938394
32,2020,d1,0.010624857,SSP4,0.523292434
5,2020,d5,0.055464097,SSP2,0.493421831
25,2020,d1,0.021624642,SSP1,0.379446985
4,2020,d6,0.05224612,SSP1,0.586717221
2,2020,d6,0.074614514,SSP1,0.439147332
25,2020,d1,0.021667346,SSP5,0.378948666
4,2020,d6,0.0521969,SSP5,0.586679626
2,2020,d6,0.074645087,SSP5,0.439084537
5,2020,d5,0.056051434,SSP1,0.488959796
5,2020,d5,0.056071242,SSP5,0.488782981
27,2020,d4,0.052613801,SSP4,0.437035873
32,2020,d1,0.01116777,SSP3,0.517486742
17,2020,d3,0.026949203,SSP2,0.550428219
27,2020,d4,0.052977914,SSP3,0.434441832
1,2020,d1,0.008986286,SSP3,0.499270982
22,2020,d2,0.047515742,SSP4,0.330137486
1,2020,d1,0.008838396,SSP4,0.500811955
22,2020,d2,0.047716463,SSP3,0.328526921
